[2025-10-01 08:46:53] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-10-01 08:46:53, Temp: 33.8, Umid: 34.6
[2025-10-01 08:47:10] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-10-01 08:47:10, Temp: 33.7, Umid: 36.6
[2025-10-01 08:47:28] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-01 08:47:28, Temp: 34.0, Umid: 36.9
[2025-10-01 08:50:12] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-10-01 08:50:12, Temp: 33.9, Umid: 36.3
[2025-10-01 08:50:30] Dispositivo: Pico W_11f0bb, Leitura: 2, Horario: 2025-10-01 08:50:31, Temp: 33.9, Umid: 37.0
[2025-10-01 08:53:14] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-10-01 08:53:15, Temp: 36.5, Umid: 32.5
[2025-10-01 08:53:32] Dispositivo: Pico W_11f0bb, Leitura: 3, Horario: 2025-10-01 08:53:33, Temp: 33.8, Umid: 37.3
[2025-10-01 08:56:16] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-10-01 08:56:17, Temp: 37.7, Umid: 30.8
[2025-10-01 08:56:35] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-10-01 08:56:35, Temp: 33.8, Umid: 37.7
[2025-10-01 08:59:19] Dispositivo: Pico W_11f60f, Leitura: 5, Horario: 2025-10-01 08:59:19, Temp: 39.8, Umid: 29.4
[2025-10-01 08:59:37] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-10-01 08:59:38, Temp: 34.7, Umid: 37.1
[2025-10-01 09:02:21] Dispositivo: Pico W_11f60f, Leitura: 6, Horario: 2025-10-01 09:02:22, Temp: 41.9, Umid: 27.1
[2025-10-01 09:02:39] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-10-01 09:02:40, Temp: 35.7, Umid: 35.9
[2025-10-01 09:05:23] Dispositivo: Pico W_11f60f, Leitura: 7, Horario: 2025-10-01 09:05:24, Temp: 42.8, Umid: 24.9
[2025-10-01 09:05:41] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-10-01 09:05:42, Temp: 37.5, Umid: 33.5
[2025-10-01 09:08:26] Dispositivo: Pico W_11f60f, Leitura: 8, Horario: 2025-10-01 09:08:26, Temp: 41.1, Umid: 26.5
[2025-10-01 09:08:44] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-10-01 09:08:44, Temp: 38.9, Umid: 32.3
[2025-10-01 09:11:28] Dispositivo: Pico W_11f60f, Leitura: 9, Horario: 2025-10-01 09:11:29, Temp: 41.4, Umid: 25.8
[2025-10-01 09:11:46] Dispositivo: Pico W_11f0bb, Leitura: 9, Horario: 2025-10-01 09:11:47, Temp: 41.2, Umid: 29.6
[2025-10-01 09:14:30] Dispositivo: Pico W_11f60f, Leitura: 10, Horario: 2025-10-01 09:14:31, Temp: 41.0, Umid: 26.3
[2025-10-01 09:14:48] Dispositivo: Pico W_11f0bb, Leitura: 10, Horario: 2025-10-01 09:14:49, Temp: 41.9, Umid: 28.3
[2025-10-01 09:17:33] Dispositivo: Pico W_11f60f, Leitura: 11, Horario: 2025-10-01 09:17:33, Temp: 40.2, Umid: 26.8
