[2025-10-01 18:15:42] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-01 18:15:42, Temp: 25.8, Umid: 52.2
[2025-10-01 18:15:59] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-10-01 18:16:00, Temp: 27.9, Umid: 49.7
[2025-10-01 18:18:44] Dispositivo: Pico W_11f0bb, Leitura: 2, Horario: 2025-10-01 18:18:44, Temp: 25.8, Umid: 52.1
[2025-10-01 18:19:02] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-10-01 18:19:02, Temp: 27.9, Umid: 49.7
[2025-10-01 18:21:46] Dispositivo: Pico W_11f0bb, Leitura: 3, Horario: 2025-10-01 18:21:46, Temp: 25.7, Umid: 49.9
[2025-10-01 18:22:04] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-10-01 18:22:04, Temp: 26.3, Umid: 47.7
[2025-10-01 18:24:49] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-10-01 18:24:49, Temp: 25.7, Umid: 49.6
[2025-10-01 18:25:06] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-10-01 18:25:07, Temp: 25.8, Umid: 48.7
[2025-10-01 18:27:51] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-10-01 18:27:51, Temp: 25.6, Umid: 49.7
[2025-10-01 18:28:09] Dispositivo: Pico W_11f60f, Leitura: 5, Horario: 2025-10-01 18:28:09, Temp: 25.8, Umid: 49.1
[2025-10-01 18:30:53] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-10-01 18:30:53, Temp: 25.5, Umid: 49.8
[2025-10-01 18:31:11] Dispositivo: Pico W_11f60f, Leitura: 6, Horario: 2025-10-01 18:31:11, Temp: 25.5, Umid: 49.8
[2025-10-01 18:33:55] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-10-01 18:33:56, Temp: 25.5, Umid: 50.2
[2025-10-01 18:34:13] Dispositivo: Pico W_11f60f, Leitura: 7, Horario: 2025-10-01 18:34:13, Temp: 25.4, Umid: 50.2
[2025-10-01 18:36:58] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-10-01 18:36:58, Temp: 25.6, Umid: 49.6
[2025-10-01 18:37:16] Dispositivo: Pico W_11f60f, Leitura: 8, Horario: 2025-10-01 18:37:16, Temp: 25.6, Umid: 49.8
[2025-10-01 18:40:00] Dispositivo: Pico W_11f0bb, Leitura: 9, Horario: 2025-10-01 18:40:00, Temp: 25.2, Umid: 49.0
