Leitura,Data,Hora,Temperatura(C),Umidade(%)
1,2025-10-02,09:45:35,23.40,60.70
2,2025-10-02,09:45:55,23.40,60.70
3,2025-10-02,09:46:15,23.40,60.80
4,2025-10-02,09:46:35,23.30,60.90
5,2025-10-02,09:46:55,23.40,61.10
6,2025-10-02,09:47:15,23.30,61.10
7,2025-10-02,09:47:35,23.20,61.10
8,2025-10-02,09:47:55,23.10,61.20
9,2025-10-02,09:48:15,23.00,61.60
10,2025-10-02,09:48:35,23.00,61.80
11,2025-10-02,09:48:55,23.00,62.00
12,2025-10-02,09:49:15,23.10,62.00
13,2025-10-02,09:49:35,23.00,62.10
14,2025-10-02,09:49:55,23.00,62.00
15,2025-10-02,09:50:15,23.00,62.10
16,2025-10-02,09:50:35,23.00,62.20
17,2025-10-02,09:50:55,23.00,62.30
18,2025-10-02,09:51:15,22.90,62.40
19,2025-10-02,09:51:35,22.90,62.50
20,2025-10-02,09:51:55,22.90,62.50
21,2025-10-02,09:52:15,22.90,62.30
22,2025-10-02,09:52:35,22.90,62.60
23,2025-10-02,09:52:55,22.90,62.60
24,2025-10-02,09:53:15,22.90,62.60
25,2025-10-02,09:53:35,22.80,62.60
26,2025-10-02,09:53:55,22.80,62.70
27,2025-10-02,09:54:15,22.80,62.70
28,2025-10-02,09:54:35,22.80,62.70
29,2025-10-02,09:54:55,22.80,62.90
30,2025-10-02,09:55:15,22.80,63.00
31,2025-10-02,09:55:35,22.80,62.90
32,2025-10-02,09:55:55,22.70,62.90
33,2025-10-02,09:56:15,22.70,62.90
34,2025-10-02,09:56:35,22.70,63.00
35,2025-10-02,09:56:55,22.70,63.30
36,2025-10-02,09:57:15,22.70,63.20
37,2025-10-02,09:57:35,22.60,63.20
38,2025-10-02,09:57:55,22.60,63.40
39,2025-10-02,09:58:15,22.60,63.50
40,2025-10-02,09:58:35,22.50,63.50
41,2025-10-02,09:58:55,22.50,63.60
42,2025-10-02,09:59:15,22.60,63.80
43,2025-10-02,09:59:35,22.60,63.70
44,2025-10-02,09:59:55,22.60,63.60
45,2025-10-02,10:00:15,22.60,63.70
46,2025-10-02,10:00:35,22.60,63.80
47,2025-10-02,10:00:55,22.60,63.80
48,2025-10-02,10:01:15,22.60,63.70
49,2025-10-02,10:01:35,22.60,63.50
50,2025-10-02,10:01:55,22.60,63.70
51,2025-10-02,10:02:15,22.70,63.40
52,2025-10-02,10:02:35,22.70,63.40
53,2025-10-02,10:02:55,22.70,63.40
54,2025-10-02,10:03:15,22.70,63.20
55,2025-10-02,10:03:35,22.70,63.20
56,2025-10-02,10:03:55,22.70,63.10
57,2025-10-02,10:04:15,22.60,63.30
58,2025-10-02,10:04:35,22.60,63.30
59,2025-10-02,10:04:55,22.60,63.40
60,2025-10-02,10:05:15,22.70,63.30
61,2025-10-02,10:05:35,22.70,63.50
62,2025-10-02,10:05:54,22.70,63.40
63,2025-10-02,10:06:14,22.70,63.30
64,2025-10-02,10:06:34,22.70,63.10
65,2025-10-02,10:06:54,22.70,63.10
66,2025-10-02,10:07:14,22.70,62.90
67,2025-10-02,10:07:34,22.70,62.80
68,2025-10-02,10:07:54,22.70,63.00
69,2025-10-02,10:08:14,22.70,63.10
70,2025-10-02,10:08:34,22.70,63.10
71,2025-10-02,10:08:54,22.80,63.20
72,2025-10-02,10:09:14,22.80,63.00
73,2025-10-02,10:09:34,22.80,62.80
74,2025-10-02,10:09:54,22.90,63.00
75,2025-10-02,10:10:14,22.90,63.10
76,2025-10-02,10:10:34,22.90,62.90
77,2025-10-02,10:10:54,23.00,63.00
78,2025-10-02,10:11:14,23.00,62.50
79,2025-10-02,10:11:34,23.00,62.20
80,2025-10-02,10:11:54,22.90,62.00
81,2025-10-02,10:12:14,22.90,62.10
82,2025-10-02,10:12:34,22.90,62.30
83,2025-10-02,10:12:54,22.90,62.30
84,2025-10-02,10:13:14,22.90,62.40
85,2025-10-02,10:13:34,22.90,62.40
86,2025-10-02,10:13:54,22.90,62.20
87,2025-10-02,10:14:14,22.90,62.20
88,2025-10-02,10:14:34,22.90,62.30
89,2025-10-02,10:14:54,22.90,62.70
90,2025-10-02,10:15:14,22.90,62.50
91,2025-10-02,10:15:34,23.00,62.60
92,2025-10-02,10:15:54,23.00,62.30
93,2025-10-02,10:16:14,23.00,62.20
94,2025-10-02,10:16:34,23.00,62.20
95,2025-10-02,10:16:54,23.00,62.30
96,2025-10-02,10:17:14,23.00,62.30
97,2025-10-02,10:17:34,23.00,62.50
98,2025-10-02,10:17:54,23.00,62.50
99,2025-10-02,10:18:14,23.00,62.20
100,2025-10-02,10:18:34,23.00,61.90
101,2025-10-02,10:18:54,23.00,61.90
102,2025-10-02,10:19:14,23.00,62.10
103,2025-10-02,10:19:34,23.10,62.00
104,2025-10-02,10:19:54,23.00,61.90
105,2025-10-02,10:20:14,23.00,62.10
106,2025-10-02,10:20:34,23.00,62.20
107,2025-10-02,10:20:54,23.00,62.10
108,2025-10-02,10:21:14,23.00,62.00
109,2025-10-02,10:21:34,23.00,62.10
110,2025-10-02,10:21:54,23.10,62.00
111,2025-10-02,10:22:14,23.10,62.20
112,2025-10-02,10:22:34,23.10,62.00
113,2025-10-02,10:22:54,23.10,61.90
114,2025-10-02,10:23:14,23.10,62.00
115,2025-10-02,10:23:34,23.10,61.80
116,2025-10-02,10:23:54,23.10,62.00
117,2025-10-02,10:24:14,23.10,61.90
118,2025-10-02,10:24:34,23.10,61.70
119,2025-10-02,10:24:54,23.10,61.90
120,2025-10-02,10:25:14,23.10,62.10
121,2025-10-02,10:25:34,23.10,62.10
122,2025-10-02,10:25:54,23.10,62.20
123,2025-10-02,10:26:14,23.10,61.80
124,2025-10-02,10:26:34,23.10,61.80
125,2025-10-02,10:26:54,23.10,62.10
126,2025-10-02,10:27:14,23.20,62.10
127,2025-10-02,10:27:34,23.10,61.90
128,2025-10-02,10:27:54,23.10,61.80
129,2025-10-02,10:28:14,23.10,61.70
130,2025-10-02,10:28:34,23.10,61.70
131,2025-10-02,10:28:54,23.10,61.80
132,2025-10-02,10:29:14,23.00,61.90
133,2025-10-02,10:29:34,23.00,62.00
134,2025-10-02,10:29:54,23.00,61.90
135,2025-10-02,10:30:14,23.00,62.00
136,2025-10-02,10:30:34,23.00,62.10
137,2025-10-02,10:30:54,23.00,62.30
138,2025-10-02,10:31:14,23.00,62.70
139,2025-10-02,10:31:34,23.10,62.90
140,2025-10-02,10:31:54,23.10,62.50
141,2025-10-02,10:32:14,23.10,62.40
142,2025-10-02,10:32:34,23.10,62.20
143,2025-10-02,10:32:54,23.10,62.30
144,2025-10-02,10:33:14,23.10,62.20
145,2025-10-02,10:33:34,23.10,62.10
146,2025-10-02,10:33:54,23.10,62.10
147,2025-10-02,10:34:14,23.00,61.80
148,2025-10-02,10:34:34,23.00,62.00
149,2025-10-02,10:34:54,22.90,62.10
150,2025-10-02,10:35:14,22.90,62.30
151,2025-10-02,10:35:34,23.00,62.40
152,2025-10-02,10:35:54,23.00,62.40
153,2025-10-02,10:36:14,23.00,62.40
154,2025-10-02,10:36:34,23.00,62.30
155,2025-10-02,10:36:54,23.00,62.20
156,2025-10-02,10:37:14,23.00,62.10
157,2025-10-02,10:37:34,23.00,62.30
158,2025-10-02,10:37:54,23.00,62.20
159,2025-10-02,10:38:14,23.10,62.10
160,2025-10-02,10:38:34,23.10,61.80
161,2025-10-02,10:38:54,23.00,61.90
162,2025-10-02,10:39:14,23.00,62.10
163,2025-10-02,10:39:34,23.00,61.90
164,2025-10-02,10:39:54,23.00,62.00
165,2025-10-02,10:40:14,22.90,62.10
166,2025-10-02,10:40:34,23.00,62.40
167,2025-10-02,10:40:54,23.00,62.50
168,2025-10-02,10:41:14,23.00,62.30
169,2025-10-02,10:41:34,23.10,62.30
170,2025-10-02,10:41:54,23.10,62.30
171,2025-10-02,10:42:14,23.10,62.10
172,2025-10-02,10:42:34,23.10,62.20
173,2025-10-02,10:42:54,23.10,62.30
174,2025-10-02,10:43:14,23.20,62.30
175,2025-10-02,10:43:34,23.30,62.10
176,2025-10-02,10:43:54,23.20,61.70
177,2025-10-02,10:44:14,23.20,61.50
178,2025-10-02,10:44:34,23.20,61.70
179,2025-10-02,10:44:54,23.10,61.80
180,2025-10-02,10:45:14,23.10,61.90
181,2025-10-02,10:45:34,23.10,62.00
182,2025-10-02,10:45:54,23.10,62.10
183,2025-10-02,10:46:14,23.20,62.30
184,2025-10-02,10:46:34,23.20,62.20
185,2025-10-02,10:46:54,23.20,62.00
186,2025-10-02,10:47:14,23.20,62.00
187,2025-10-02,10:47:34,23.20,62.10
188,2025-10-02,10:47:54,23.20,61.90
189,2025-10-02,10:48:14,23.20,61.90
190,2025-10-02,10:48:34,23.20,61.80
191,2025-10-02,10:48:54,23.20,61.90
192,2025-10-02,10:49:14,23.20,61.80
193,2025-10-02,10:49:34,23.20,61.90
194,2025-10-02,10:49:54,23.20,61.90
195,2025-10-02,10:50:14,23.20,62.10
196,2025-10-02,10:50:34,23.20,62.10
197,2025-10-02,10:50:54,23.20,62.00
198,2025-10-02,10:51:14,23.30,62.00
199,2025-10-02,10:51:34,23.30,61.70
200,2025-10-02,10:51:54,23.30,61.70
201,2025-10-02,10:52:14,23.30,61.60
202,2025-10-02,10:52:34,23.30,61.60
203,2025-10-02,10:52:54,23.30,61.70
204,2025-10-02,10:53:14,23.30,62.00
205,2025-10-02,10:53:34,23.30,61.80
206,2025-10-02,10:53:54,23.30,62.00
207,2025-10-02,10:54:14,23.30,61.80
208,2025-10-02,10:54:34,23.40,61.90
209,2025-10-02,10:54:54,23.40,61.70
210,2025-10-02,10:55:14,23.30,61.60
211,2025-10-02,10:55:34,23.40,61.80
212,2025-10-02,10:55:54,23.40,61.70
213,2025-10-02,10:56:14,23.40,61.70
214,2025-10-02,10:56:34,23.40,61.70
215,2025-10-02,10:56:54,23.40,61.60
216,2025-10-02,10:57:14,23.40,61.30
217,2025-10-02,10:57:34,23.40,61.40
218,2025-10-02,10:57:54,23.40,61.70
219,2025-10-02,10:58:14,23.40,61.70
220,2025-10-02,10:58:34,23.40,61.60
221,2025-10-02,10:58:54,23.40,61.70
222,2025-10-02,10:59:14,23.40,61.60
223,2025-10-02,10:59:34,23.30,61.60
224,2025-10-02,10:59:54,23.30,61.80
225,2025-10-02,11:00:14,23.30,61.90
226,2025-10-02,11:00:34,23.30,61.80
227,2025-10-02,11:00:54,23.30,61.70
228,2025-10-02,11:01:14,23.30,61.90
229,2025-10-02,11:01:34,23.30,62.00
230,2025-10-02,11:01:54,23.40,62.10
231,2025-10-02,11:02:14,23.30,62.00
232,2025-10-02,11:02:34,23.40,61.80
233,2025-10-02,11:02:54,23.40,61.70
234,2025-10-02,11:03:14,23.40,61.70
235,2025-10-02,11:03:34,23.40,61.70
236,2025-10-02,11:03:54,23.40,61.80
237,2025-10-02,11:04:14,23.40,61.70
238,2025-10-02,11:04:34,23.40,61.40
239,2025-10-02,11:04:54,23.40,61.40
240,2025-10-02,11:05:14,23.40,61.30
241,2025-10-02,11:05:34,23.40,61.20
242,2025-10-02,11:05:54,23.40,61.30
243,2025-10-02,11:06:14,23.40,61.60
244,2025-10-02,11:06:34,23.50,61.30
245,2025-10-02,11:06:54,23.40,61.20
246,2025-10-02,11:07:14,23.40,61.50
247,2025-10-02,11:07:34,23.40,61.30
248,2025-10-02,11:07:54,23.30,61.40
249,2025-10-02,11:08:14,23.30,61.40
250,2025-10-02,11:08:34,23.30,61.60
251,2025-10-02,11:08:54,23.30,61.60
252,2025-10-02,11:09:14,23.40,61.70
253,2025-10-02,11:09:34,23.30,61.70
254,2025-10-02,11:09:54,23.40,61.60
255,2025-10-02,11:10:14,23.40,61.60
256,2025-10-02,11:10:34,23.40,61.60
257,2025-10-02,11:10:54,23.40,61.90
258,2025-10-02,11:11:14,23.40,61.80
259,2025-10-02,11:11:34,23.40,61.60
260,2025-10-02,11:11:54,23.40,61.40
261,2025-10-02,11:12:14,23.40,61.50
262,2025-10-02,11:12:34,23.40,61.70
263,2025-10-02,11:12:54,23.40,61.50
264,2025-10-02,11:13:14,23.50,61.80
265,2025-10-02,11:13:34,23.50,61.90
266,2025-10-02,11:13:54,23.60,61.60
267,2025-10-02,11:14:14,23.60,61.40
268,2025-10-02,11:14:34,23.70,61.10
269,2025-10-02,11:14:54,23.70,61.00
270,2025-10-02,11:15:14,23.70,60.80
271,2025-10-02,11:15:34,23.70,60.80
272,2025-10-02,11:15:54,23.70,60.50
273,2025-10-02,11:16:14,23.60,61.00
274,2025-10-02,11:16:34,23.70,60.90
275,2025-10-02,11:16:54,23.70,60.70
276,2025-10-02,11:17:14,23.70,60.70
277,2025-10-02,11:17:34,23.70,60.60
278,2025-10-02,11:17:54,23.70,60.70
279,2025-10-02,11:18:14,23.80,60.90
280,2025-10-02,11:18:34,23.70,60.70
281,2025-10-02,11:18:54,23.80,60.90
282,2025-10-02,11:19:14,23.80,60.80
283,2025-10-02,11:19:34,23.70,60.90
284,2025-10-02,11:19:54,23.70,60.80
285,2025-10-02,11:20:14,23.70,60.70
286,2025-10-02,11:20:34,23.80,61.30
287,2025-10-02,11:20:54,23.80,61.40
288,2025-10-02,11:21:14,23.90,60.90
289,2025-10-02,11:21:34,23.90,60.30
290,2025-10-02,11:21:54,23.90,60.30
291,2025-10-02,11:22:14,23.90,60.60
292,2025-10-02,11:22:34,24.00,60.50
293,2025-10-02,11:22:54,24.00,60.30
294,2025-10-02,11:23:14,24.00,60.50
295,2025-10-02,11:23:34,24.00,60.20
296,2025-10-02,11:23:54,24.00,60.10
297,2025-10-02,11:24:14,24.00,60.10
298,2025-10-02,11:24:34,24.00,59.80
299,2025-10-02,11:24:54,24.00,60.10
300,2025-10-02,11:25:14,24.00,60.40
301,2025-10-02,11:25:34,24.10,60.30
302,2025-10-02,11:25:54,24.10,60.00
303,2025-10-02,11:26:14,24.10,60.00
304,2025-10-02,11:26:34,24.20,60.00
305,2025-10-02,11:26:54,24.20,59.50
306,2025-10-02,11:27:14,24.20,59.40
307,2025-10-02,11:27:34,24.20,59.40
308,2025-10-02,11:27:54,24.20,59.40
309,2025-10-02,11:28:14,24.20,59.60
310,2025-10-02,11:28:34,24.30,59.30
311,2025-10-02,11:28:54,24.40,59.30
312,2025-10-02,11:29:14,24.60,59.00
313,2025-10-02,11:29:34,24.60,58.90
314,2025-10-02,11:29:54,24.60,58.80
315,2025-10-02,11:30:14,24.60,58.60
316,2025-10-02,11:30:34,24.60,58.70
317,2025-10-02,11:30:54,24.70,58.70
318,2025-10-02,11:31:14,24.70,58.80
319,2025-10-02,11:31:34,24.70,58.40
320,2025-10-02,11:31:54,24.70,58.20
321,2025-10-02,11:32:14,24.70,58.10
322,2025-10-02,11:32:34,24.70,58.10
323,2025-10-02,11:32:54,24.70,58.00
324,2025-10-02,11:33:14,24.70,58.20
325,2025-10-02,11:33:34,24.70,57.90
326,2025-10-02,11:33:54,24.70,57.90
327,2025-10-02,11:34:14,24.70,58.00
328,2025-10-02,11:34:34,24.60,58.20
329,2025-10-02,11:34:54,24.60,58.20
330,2025-10-02,11:35:14,24.50,58.20
331,2025-10-02,11:35:34,24.50,58.60
332,2025-10-02,11:35:54,24.40,58.80
333,2025-10-02,11:36:13,24.40,58.90
334,2025-10-02,11:36:33,24.50,59.30
335,2025-10-02,11:36:53,24.50,59.30
336,2025-10-02,11:37:13,24.50,58.80
337,2025-10-02,11:37:33,24.50,58.70
338,2025-10-02,11:37:53,24.50,58.60
339,2025-10-02,11:38:13,24.40,58.80
340,2025-10-02,11:38:33,24.40,58.80
341,2025-10-02,11:38:53,24.30,58.80
342,2025-10-02,11:39:13,24.30,58.90
343,2025-10-02,11:39:33,24.20,59.00
344,2025-10-02,11:39:53,24.10,59.20
345,2025-10-02,11:40:13,24.10,59.40
346,2025-10-02,11:40:33,24.10,59.50
347,2025-10-02,11:40:53,24.10,59.30
348,2025-10-02,11:41:13,24.00,59.50
349,2025-10-02,11:41:33,24.00,59.50
350,2025-10-02,11:41:53,24.00,59.80
351,2025-10-02,11:42:13,24.00,59.90
352,2025-10-02,11:42:33,24.10,59.90
353,2025-10-02,11:42:53,24.10,60.00
354,2025-10-02,11:43:13,24.10,59.70
355,2025-10-02,11:43:33,24.20,59.20
356,2025-10-02,11:43:53,24.20,59.50
357,2025-10-02,11:44:13,24.20,59.30
358,2025-10-02,11:44:33,24.20,59.00
359,2025-10-02,11:44:53,24.10,59.00
360,2025-10-02,11:45:13,24.10,59.00
361,2025-10-02,11:45:33,24.10,59.20
362,2025-10-02,11:45:53,24.10,59.10
363,2025-10-02,11:46:13,24.10,58.90
364,2025-10-02,11:46:33,24.10,59.30
365,2025-10-02,11:46:53,24.10,59.30
366,2025-10-02,11:47:13,24.10,59.40
367,2025-10-02,11:47:33,24.10,59.60
368,2025-10-02,11:47:53,24.10,59.50
369,2025-10-02,11:48:13,24.10,59.20
370,2025-10-02,11:48:33,24.10,59.30
371,2025-10-02,11:48:53,24.20,59.50
372,2025-10-02,11:49:13,24.20,59.20
373,2025-10-02,11:49:33,24.20,59.10
374,2025-10-02,11:49:53,24.20,59.40
375,2025-10-02,11:50:13,24.20,59.10
376,2025-10-02,11:50:33,24.30,59.30
377,2025-10-02,11:50:53,24.30,59.00
378,2025-10-02,11:51:13,24.30,58.80
379,2025-10-02,11:51:33,24.30,58.80
380,2025-10-02,11:51:53,24.30,59.10
381,2025-10-02,11:52:13,24.30,58.80
382,2025-10-02,11:52:33,24.30,58.80
383,2025-10-02,11:52:53,24.30,59.00
384,2025-10-02,11:53:13,24.30,59.20
385,2025-10-02,11:53:33,24.30,59.20
386,2025-10-02,11:53:53,24.40,59.10
387,2025-10-02,11:54:13,24.40,59.20
388,2025-10-02,11:54:33,24.50,59.00
389,2025-10-02,11:54:53,24.50,58.80
390,2025-10-02,11:55:13,24.50,58.80
391,2025-10-02,11:55:33,24.50,58.50
392,2025-10-02,11:55:53,24.60,58.60
393,2025-10-02,11:56:13,24.60,58.50
394,2025-10-02,11:56:33,24.70,58.30
395,2025-10-02,11:56:53,24.70,58.20
396,2025-10-02,11:57:13,24.70,58.20
397,2025-10-02,11:57:33,24.70,58.00
398,2025-10-02,11:57:53,24.70,58.10
399,2025-10-02,11:58:13,24.70,58.00
400,2025-10-02,11:58:33,24.70,58.10
