Leitura,Data,Hora,Temperatura(C),Umidade(%)
1,2025-10-02,19:07:32,24.90,53.10
2,2025-10-02,19:07:52,24.70,55.60
3,2025-10-02,19:08:12,24.50,56.70
4,2025-10-02,19:08:32,24.30,57.50
5,2025-10-02,19:08:52,24.10,58.20
6,2025-10-02,19:09:12,24.00,58.50
7,2025-10-02,19:09:32,24.00,58.70
8,2025-10-02,19:09:52,24.00,58.60
9,2025-10-02,19:10:12,23.90,58.80
10,2025-10-02,19:10:32,23.90,58.90
11,2025-10-02,19:10:52,23.90,59.00
12,2025-10-02,19:11:12,23.90,59.10
13,2025-10-02,19:11:32,23.90,59.20
14,2025-10-02,19:11:52,23.80,59.50
15,2025-10-02,19:12:12,23.80,59.50
16,2025-10-02,19:12:32,23.80,59.60
17,2025-10-02,19:12:52,23.80,59.80
18,2025-10-02,19:13:12,23.70,59.90
19,2025-10-02,19:13:32,23.70,60.10
20,2025-10-02,19:13:52,23.70,60.20
21,2025-10-02,19:14:12,23.60,60.40
22,2025-10-02,19:14:32,23.60,60.50
23,2025-10-02,19:14:52,23.60,60.60
24,2025-10-02,19:15:12,23.60,60.60
25,2025-10-02,19:15:32,23.60,60.70
26,2025-10-02,19:15:52,23.50,60.80
27,2025-10-02,19:16:12,23.50,60.80
28,2025-10-02,19:16:32,23.50,60.90
29,2025-10-02,19:16:52,23.50,61.10
30,2025-10-02,19:17:12,23.40,61.20
31,2025-10-02,19:17:32,23.40,61.30
32,2025-10-02,19:17:52,23.40,61.40
33,2025-10-02,19:18:12,23.40,61.30
34,2025-10-02,19:18:32,23.30,61.40
35,2025-10-02,19:18:52,23.30,61.60
36,2025-10-02,19:19:12,23.30,61.60
37,2025-10-02,19:19:32,23.30,61.70
38,2025-10-02,19:19:52,23.20,61.90
39,2025-10-02,19:20:12,23.20,61.90
40,2025-10-02,19:20:32,23.30,61.80
41,2025-10-02,19:20:52,23.20,61.80
42,2025-10-02,19:21:12,23.20,61.70
43,2025-10-02,19:21:32,23.30,61.70
44,2025-10-02,19:21:52,23.20,61.80
45,2025-10-02,19:22:12,23.20,61.90
46,2025-10-02,19:22:32,23.20,61.90
47,2025-10-02,19:22:52,23.20,61.90
48,2025-10-02,19:23:12,23.20,61.80
49,2025-10-02,19:23:32,23.10,61.80
50,2025-10-02,19:23:52,23.10,61.70
51,2025-10-02,19:24:12,23.10,61.80
52,2025-10-02,19:24:32,23.10,61.90
53,2025-10-02,19:24:52,23.10,62.00
54,2025-10-02,19:25:12,23.10,62.00
55,2025-10-02,19:25:32,23.00,61.90
56,2025-10-02,19:25:52,23.00,61.90
57,2025-10-02,19:26:12,23.00,61.90
58,2025-10-02,19:26:32,23.00,61.90
59,2025-10-02,19:26:52,23.00,62.00
60,2025-10-02,19:27:12,23.00,61.90
61,2025-10-02,19:27:32,23.00,61.90
62,2025-10-02,19:27:52,23.00,61.90
63,2025-10-02,19:28:12,23.00,61.90
64,2025-10-02,19:28:32,23.00,62.00
65,2025-10-02,19:28:52,23.00,61.90
66,2025-10-02,19:29:12,23.00,61.80
67,2025-10-02,19:29:32,23.00,61.80
68,2025-10-02,19:29:52,23.00,61.80
69,2025-10-02,19:30:12,23.00,61.90
70,2025-10-02,19:30:32,22.90,61.90
71,2025-10-02,19:30:52,23.00,62.00
72,2025-10-02,19:31:12,22.90,62.00
73,2025-10-02,19:31:32,23.00,62.00
74,2025-10-02,19:31:52,22.90,61.90
75,2025-10-02,19:32:12,23.00,61.90
76,2025-10-02,19:32:32,23.00,61.80
77,2025-10-02,19:32:52,23.00,61.80
78,2025-10-02,19:33:12,23.00,61.90
79,2025-10-02,19:33:32,22.90,62.00
80,2025-10-02,19:33:52,22.90,61.90
81,2025-10-02,19:34:12,22.90,62.00
82,2025-10-02,19:34:32,23.00,62.00
83,2025-10-02,19:34:52,22.90,62.10
84,2025-10-02,19:35:12,22.90,62.00
85,2025-10-02,19:35:32,22.90,62.00
86,2025-10-02,19:35:52,22.90,61.90
87,2025-10-02,19:36:12,22.90,62.10
88,2025-10-02,19:36:32,22.90,62.20
89,2025-10-02,19:36:52,22.90,62.30
90,2025-10-02,19:37:12,22.90,62.20
91,2025-10-02,19:37:32,22.90,62.20
92,2025-10-02,19:37:52,22.90,62.20
93,2025-10-02,19:38:12,22.90,62.10
94,2025-10-02,19:38:32,22.90,62.10
95,2025-10-02,19:38:52,22.90,62.10
96,2025-10-02,19:39:12,22.90,61.90
97,2025-10-02,19:39:32,22.90,61.90
98,2025-10-02,19:39:52,22.90,61.90
99,2025-10-02,19:40:12,22.80,61.90
100,2025-10-02,19:40:32,22.90,61.90
101,2025-10-02,19:40:52,22.80,61.90
102,2025-10-02,19:41:12,22.80,62.00
103,2025-10-02,19:41:32,22.80,62.10
104,2025-10-02,19:41:52,22.80,62.10
105,2025-10-02,19:42:12,22.90,62.20
106,2025-10-02,19:42:32,22.90,62.30
107,2025-10-02,19:42:52,22.80,62.30
108,2025-10-02,19:43:12,22.80,62.40
109,2025-10-02,19:43:32,22.80,62.50
110,2025-10-02,19:43:52,22.80,62.50
111,2025-10-02,19:44:12,22.80,62.70
112,2025-10-02,19:44:32,22.80,62.70
113,2025-10-02,19:44:52,22.80,62.60
114,2025-10-02,19:45:12,22.80,62.50
115,2025-10-02,19:45:32,22.80,62.30
116,2025-10-02,19:45:52,22.80,62.30
117,2025-10-02,19:46:12,22.80,62.40
118,2025-10-02,19:46:32,22.80,62.50
119,2025-10-02,19:46:52,22.80,62.40
120,2025-10-02,19:47:12,22.80,62.40
121,2025-10-02,19:47:32,22.80,62.50
122,2025-10-02,19:47:52,22.80,62.50
123,2025-10-02,19:48:12,22.80,62.50
124,2025-10-02,19:48:32,22.80,62.50
125,2025-10-02,19:48:52,22.80,62.60
126,2025-10-02,19:49:12,22.70,62.70
127,2025-10-02,19:49:32,22.70,62.70
128,2025-10-02,19:49:52,22.70,62.90
129,2025-10-02,19:50:12,22.70,62.90
130,2025-10-02,19:50:32,22.70,62.90
131,2025-10-02,19:50:52,22.70,62.90
132,2025-10-02,19:51:12,22.70,62.80
133,2025-10-02,19:51:32,22.70,62.90
134,2025-10-02,19:51:52,22.70,62.90
135,2025-10-02,19:52:12,22.70,63.00
136,2025-10-02,19:52:32,22.70,63.00
137,2025-10-02,19:52:52,22.70,63.10
138,2025-10-02,19:53:12,22.70,63.20
139,2025-10-02,19:53:32,22.80,63.20
140,2025-10-02,19:53:52,22.70,63.10
141,2025-10-02,19:54:12,22.80,63.10
142,2025-10-02,19:54:32,22.70,63.10
143,2025-10-02,19:54:52,22.80,63.00
144,2025-10-02,19:55:12,22.80,62.90
