[2025-10-02 08:08:10] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-02 08:08:10, Temp: 26.0, Umid: 54.2
[2025-10-02 08:11:12] Dispositivo: Pico W_11f0bb, Leitura: 2, Horario: 2025-10-02 08:11:12, Temp: 26.0, Umid: 54.1
[2025-10-02 08:14:14] Dispositivo: Pico W_11f0bb, Leitura: 3, Horario: 2025-10-02 08:14:15, Temp: 25.7, Umid: 53.1
[2025-10-02 08:17:17] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-10-02 08:17:17, Temp: 25.6, Umid: 53.4
[2025-10-02 08:20:19] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-10-02 08:20:19, Temp: 25.6, Umid: 53.5
[2025-10-02 08:23:21] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-10-02 08:23:21, Temp: 25.7, Umid: 53.4
[2025-10-02 08:26:24] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-10-02 08:26:24, Temp: 25.7, Umid: 53.4
[2025-10-02 08:29:26] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-10-02 08:29:26, Temp: 25.6, Umid: 53.5
[2025-10-02 08:32:28] Dispositivo: Pico W_11f0bb, Leitura: 9, Horario: 2025-10-02 08:32:28, Temp: 25.7, Umid: 53.3
[2025-10-02 08:35:31] Dispositivo: Pico W_11f0bb, Leitura: 10, Horario: 2025-10-02 08:35:31, Temp: 25.8, Umid: 53.6
[2025-10-02 08:38:33] Dispositivo: Pico W_11f0bb, Leitura: 11, Horario: 2025-10-02 08:38:33, Temp: 25.5, Umid: 54.2
[2025-10-02 08:41:35] Dispositivo: Pico W_11f0bb, Leitura: 12, Horario: 2025-10-02 08:41:35, Temp: 25.5, Umid: 54.6
[2025-10-02 08:44:37] Dispositivo: Pico W_11f0bb, Leitura: 13, Horario: 2025-10-02 08:44:38, Temp: 25.2, Umid: 55.2
[2025-10-02 08:47:40] Dispositivo: Pico W_11f0bb, Leitura: 14, Horario: 2025-10-02 08:47:40, Temp: 25.1, Umid: 55.5
