Leitura,Data,Hora,Temperatura(C),Umidade(%)
1,2025-10-03,08:22:03,24.20,65.90
2,2025-10-03,08:22:23,24.20,65.60
3,2025-10-03,08:22:43,24.20,66.20
4,2025-10-03,08:23:03,24.20,66.10
5,2025-10-03,08:23:23,24.20,64.60
6,2025-10-03,08:23:43,24.20,66.10
7,2025-10-03,08:24:03,24.20,67.60
8,2025-10-03,08:24:23,24.20,67.20
9,2025-10-03,08:24:43,24.20,65.40
10,2025-10-03,08:25:03,24.10,64.90
11,2025-10-03,08:25:23,24.10,65.00
12,2025-10-03,08:25:43,24.10,65.40
13,2025-10-03,08:26:03,24.10,66.00
14,2025-10-03,08:26:23,24.00,67.30
15,2025-10-03,08:26:43,24.00,66.30
16,2025-10-03,08:27:03,24.00,65.50
17,2025-10-03,08:27:23,23.90,66.10
18,2025-10-03,08:27:43,23.90,65.20
19,2025-10-03,08:28:03,23.90,65.70
20,2025-10-03,08:28:23,23.90,66.40
21,2025-10-03,08:28:43,23.90,64.60
22,2025-10-03,08:29:03,23.80,64.20
23,2025-10-03,08:29:23,23.80,64.80
24,2025-10-03,08:29:43,23.80,67.80
25,2025-10-03,08:30:03,23.80,69.50
26,2025-10-03,08:30:23,23.80,69.80
27,2025-10-03,08:30:43,23.80,69.60
28,2025-10-03,08:31:03,23.80,68.90
29,2025-10-03,08:31:23,23.80,67.10
30,2025-10-03,08:31:43,23.80,65.80
31,2025-10-03,08:32:03,23.80,65.70
32,2025-10-03,08:32:23,23.70,65.30
33,2025-10-03,08:32:43,23.70,65.00
34,2025-10-03,08:33:03,23.80,65.60
35,2025-10-03,08:33:23,23.70,66.60
36,2025-10-03,08:33:43,23.80,67.30
37,2025-10-03,08:34:03,23.70,65.90
38,2025-10-03,08:34:23,23.70,65.30
39,2025-10-03,08:34:43,23.70,64.60
40,2025-10-03,08:35:03,23.70,63.90
41,2025-10-03,08:35:23,23.70,64.40
42,2025-10-03,08:35:43,23.70,64.20
43,2025-10-03,08:36:03,23.70,64.20
44,2025-10-03,08:36:23,23.60,64.00
45,2025-10-03,08:36:43,23.60,64.50
46,2025-10-03,08:37:03,23.60,65.30
47,2025-10-03,08:37:23,23.60,65.80
48,2025-10-03,08:37:43,23.60,66.40
49,2025-10-03,08:38:03,23.60,66.90
50,2025-10-03,08:38:23,23.70,66.70
51,2025-10-03,08:38:43,23.70,66.10
52,2025-10-03,08:39:03,23.70,66.30
53,2025-10-03,08:39:23,23.70,66.40
54,2025-10-03,08:39:43,23.70,66.30
55,2025-10-03,08:40:03,23.70,65.60
56,2025-10-03,08:40:23,23.70,65.00
57,2025-10-03,08:40:43,23.70,64.40
58,2025-10-03,08:41:03,23.70,64.80
59,2025-10-03,08:41:23,23.70,65.00
60,2025-10-03,08:41:43,23.70,64.30
61,2025-10-03,08:42:03,23.70,64.30
62,2025-10-03,08:42:23,23.70,64.50
63,2025-10-03,08:42:43,23.70,65.20
64,2025-10-03,08:43:03,23.70,65.30
65,2025-10-03,08:43:23,23.70,64.70
66,2025-10-03,08:43:43,23.80,65.20
67,2025-10-03,08:44:03,23.80,65.90
68,2025-10-03,08:44:23,23.80,66.40
69,2025-10-03,08:44:42,23.80,66.80
70,2025-10-03,08:45:02,23.80,67.10
71,2025-10-03,08:45:22,23.80,67.40
72,2025-10-03,08:45:42,23.80,67.10
73,2025-10-03,08:46:02,23.80,66.80
74,2025-10-03,08:46:22,23.80,66.30
75,2025-10-03,08:46:42,23.80,67.50
76,2025-10-03,08:47:02,23.80,67.40
77,2025-10-03,08:47:22,23.80,66.80
78,2025-10-03,08:47:42,23.80,66.00
79,2025-10-03,08:48:02,23.80,65.50
80,2025-10-03,08:48:22,23.80,65.00
81,2025-10-03,08:48:42,23.80,65.30
82,2025-10-03,08:49:02,23.80,65.80
83,2025-10-03,08:49:22,23.80,65.50
84,2025-10-03,08:49:42,23.80,64.40
85,2025-10-03,08:50:02,23.80,64.70
86,2025-10-03,08:50:22,23.80,64.80
87,2025-10-03,08:50:42,23.80,64.40
88,2025-10-03,08:51:02,23.80,64.40
89,2025-10-03,08:51:22,23.80,65.50
90,2025-10-03,08:51:42,23.80,67.20
91,2025-10-03,08:52:02,23.80,66.20
92,2025-10-03,08:52:22,23.80,64.80
93,2025-10-03,08:52:42,23.80,64.90
94,2025-10-03,08:53:02,23.80,65.70
95,2025-10-03,08:53:22,23.80,65.50
96,2025-10-03,08:53:42,23.80,66.10
97,2025-10-03,08:54:02,23.80,66.60
98,2025-10-03,08:54:22,23.80,66.30
99,2025-10-03,08:54:42,23.80,66.90
100,2025-10-03,08:55:02,23.80,67.80
101,2025-10-03,08:55:22,23.80,66.10
102,2025-10-03,08:55:42,23.80,66.00
103,2025-10-03,08:56:02,23.80,67.20
104,2025-10-03,08:56:22,23.80,68.40
105,2025-10-03,08:56:42,23.80,69.10
106,2025-10-03,08:57:02,23.80,70.00
107,2025-10-03,08:57:22,23.80,69.80
108,2025-10-03,08:57:42,23.80,69.50
109,2025-10-03,08:58:02,23.80,69.70
110,2025-10-03,08:58:22,23.80,69.60
111,2025-10-03,08:58:42,23.90,67.40
112,2025-10-03,08:59:02,23.90,67.40
113,2025-10-03,08:59:22,23.90,68.10
114,2025-10-03,08:59:42,23.90,66.20
115,2025-10-03,09:00:02,23.90,67.40
116,2025-10-03,09:00:22,23.90,68.10
117,2025-10-03,09:00:42,23.90,68.30
118,2025-10-03,09:01:02,23.90,68.50
119,2025-10-03,09:01:22,23.90,68.20
120,2025-10-03,09:01:42,23.90,67.50
121,2025-10-03,09:02:02,23.90,66.90
122,2025-10-03,09:02:22,23.90,66.40
123,2025-10-03,09:02:42,24.00,65.80
124,2025-10-03,09:03:02,23.90,65.50
125,2025-10-03,09:03:22,24.00,65.60
126,2025-10-03,09:03:42,24.00,66.50
127,2025-10-03,09:04:02,24.00,68.20
128,2025-10-03,09:04:22,24.00,67.70
129,2025-10-03,09:04:42,24.00,67.10
130,2025-10-03,09:05:02,24.00,66.80
131,2025-10-03,09:05:22,24.00,66.50
132,2025-10-03,09:05:42,24.00,64.90
133,2025-10-03,09:06:02,24.00,64.50
134,2025-10-03,09:06:22,24.10,65.20
135,2025-10-03,09:06:42,24.10,64.40
136,2025-10-03,09:07:02,24.10,64.40
137,2025-10-03,09:07:22,24.10,65.40
138,2025-10-03,09:07:42,24.10,66.80
139,2025-10-03,09:08:02,24.20,66.00
140,2025-10-03,09:08:22,24.20,66.10
141,2025-10-03,09:08:42,24.20,66.10
142,2025-10-03,09:09:02,24.30,65.10
143,2025-10-03,09:09:22,24.30,64.90
144,2025-10-03,09:09:42,24.30,64.00
145,2025-10-03,09:10:02,24.30,63.80
146,2025-10-03,09:10:22,24.30,64.10
147,2025-10-03,09:10:42,24.30,64.30
148,2025-10-03,09:11:02,24.40,65.20
149,2025-10-03,09:11:22,24.40,66.00
150,2025-10-03,09:11:42,24.40,65.40
151,2025-10-03,09:12:02,24.40,64.90
152,2025-10-03,09:12:22,24.50,63.50
153,2025-10-03,09:12:42,24.50,62.60
154,2025-10-03,09:13:02,24.50,63.10
155,2025-10-03,09:13:22,24.50,63.40
156,2025-10-03,09:13:42,24.60,63.70
157,2025-10-03,09:14:02,24.60,63.30
158,2025-10-03,09:14:22,24.60,64.10
159,2025-10-03,09:14:42,24.60,64.20
160,2025-10-03,09:15:02,24.60,64.10
161,2025-10-03,09:15:22,24.70,64.30
162,2025-10-03,09:15:42,24.70,64.20
163,2025-10-03,09:16:02,24.70,63.20
164,2025-10-03,09:16:22,24.80,62.70
165,2025-10-03,09:16:42,24.80,62.90
166,2025-10-03,09:17:02,24.80,64.10
167,2025-10-03,09:17:22,24.80,64.70
168,2025-10-03,09:17:42,24.80,62.50
169,2025-10-03,09:18:02,24.80,62.20
170,2025-10-03,09:18:22,24.90,62.30
171,2025-10-03,09:18:42,24.90,62.40
172,2025-10-03,09:19:02,24.90,61.70
173,2025-10-03,09:19:22,24.90,62.00
174,2025-10-03,09:19:42,24.90,63.20
175,2025-10-03,09:20:02,24.90,63.10
176,2025-10-03,09:20:22,25.00,61.10
177,2025-10-03,09:20:42,25.00,60.50
178,2025-10-03,09:21:02,24.90,61.50
179,2025-10-03,09:21:22,25.00,62.10
180,2025-10-03,09:21:42,25.00,60.90
181,2025-10-03,09:22:02,25.00,60.00
182,2025-10-03,09:22:22,25.00,60.00
183,2025-10-03,09:22:42,25.00,59.80
184,2025-10-03,09:23:02,24.90,60.60
185,2025-10-03,09:23:22,25.00,60.60
186,2025-10-03,09:23:42,24.90,60.20
187,2025-10-03,09:24:02,25.00,60.30
188,2025-10-03,09:24:22,24.90,59.90
189,2025-10-03,09:24:42,25.00,59.90
190,2025-10-03,09:25:02,25.00,59.90
191,2025-10-03,09:25:22,25.00,60.40
192,2025-10-03,09:25:42,25.00,60.90
193,2025-10-03,09:26:02,25.00,60.40
194,2025-10-03,09:26:22,25.00,60.10
195,2025-10-03,09:26:42,25.00,60.60
196,2025-10-03,09:27:02,25.00,60.70
197,2025-10-03,09:27:22,25.00,60.00
198,2025-10-03,09:27:42,25.00,59.60
199,2025-10-03,09:28:02,25.00,59.50
200,2025-10-03,09:28:22,25.00,59.90
201,2025-10-03,09:28:42,25.00,60.50
202,2025-10-03,09:29:02,25.10,60.20
203,2025-10-03,09:29:22,25.10,59.80
204,2025-10-03,09:29:42,25.10,60.00
205,2025-10-03,09:30:02,25.10,61.10
206,2025-10-03,09:30:22,25.00,59.60
207,2025-10-03,09:30:42,25.00,58.90
208,2025-10-03,09:31:02,25.10,58.80
209,2025-10-03,09:31:22,25.10,58.90
210,2025-10-03,09:31:42,25.10,59.00
211,2025-10-03,09:32:02,25.10,59.70
212,2025-10-03,09:32:22,25.10,60.50
213,2025-10-03,09:32:42,25.10,60.50
214,2025-10-03,09:33:02,25.10,61.10
215,2025-10-03,09:33:22,25.10,60.20
216,2025-10-03,09:33:42,25.10,60.30
217,2025-10-03,09:34:02,25.10,60.90
218,2025-10-03,09:34:22,25.10,61.70
219,2025-10-03,09:34:42,25.20,62.20
220,2025-10-03,09:35:02,25.20,63.30
221,2025-10-03,09:35:22,25.20,63.70
222,2025-10-03,09:35:42,25.20,63.30
223,2025-10-03,09:36:02,25.20,63.50
224,2025-10-03,09:36:22,25.20,63.00
225,2025-10-03,09:36:42,25.20,61.80
226,2025-10-03,09:37:02,25.20,62.40
227,2025-10-03,09:37:22,25.30,63.50
228,2025-10-03,09:37:42,25.30,64.00
229,2025-10-03,09:38:02,25.30,63.70
230,2025-10-03,09:38:22,25.30,62.50
231,2025-10-03,09:38:42,25.30,61.70
232,2025-10-03,09:39:02,25.30,61.90
233,2025-10-03,09:39:22,25.30,61.90
234,2025-10-03,09:39:42,25.40,60.50
235,2025-10-03,09:40:02,25.40,60.60
236,2025-10-03,09:40:22,25.40,61.60
237,2025-10-03,09:40:42,25.40,62.00
238,2025-10-03,09:41:02,25.40,60.80
239,2025-10-03,09:41:22,25.40,59.70
240,2025-10-03,09:41:42,25.40,59.90
241,2025-10-03,09:42:02,25.50,60.00
242,2025-10-03,09:42:22,25.50,56.80
243,2025-10-03,09:42:42,25.50,55.90
244,2025-10-03,09:43:02,25.50,56.50
245,2025-10-03,09:43:22,25.50,57.60
246,2025-10-03,09:43:42,25.50,58.40
247,2025-10-03,09:44:02,25.50,60.10
248,2025-10-03,09:44:22,25.50,58.90
249,2025-10-03,09:44:42,25.50,58.90
250,2025-10-03,09:45:02,25.50,57.30
251,2025-10-03,09:45:22,25.60,56.10
252,2025-10-03,09:45:42,25.50,56.00
253,2025-10-03,09:46:02,25.60,56.50
254,2025-10-03,09:46:22,25.60,58.40
255,2025-10-03,09:46:42,25.60,57.50
256,2025-10-03,09:47:02,25.60,56.30
257,2025-10-03,09:47:22,25.60,57.90
258,2025-10-03,09:47:42,25.60,58.20
259,2025-10-03,09:48:02,25.60,57.70
260,2025-10-03,09:48:22,25.70,58.10
261,2025-10-03,09:48:42,25.70,58.00
262,2025-10-03,09:49:02,25.70,55.30
263,2025-10-03,09:49:22,25.70,54.60
264,2025-10-03,09:49:42,25.70,54.20
265,2025-10-03,09:50:02,25.70,56.90
266,2025-10-03,09:50:22,25.80,56.00
267,2025-10-03,09:50:42,25.80,56.30
268,2025-10-03,09:51:02,25.80,56.40
269,2025-10-03,09:51:22,25.80,56.70
270,2025-10-03,09:51:42,25.90,56.20
271,2025-10-03,09:52:02,25.90,55.90
272,2025-10-03,09:52:22,25.90,55.80
273,2025-10-03,09:52:42,25.90,57.00
274,2025-10-03,09:53:02,25.90,56.80
275,2025-10-03,09:53:22,26.00,56.50
276,2025-10-03,09:53:42,26.00,54.60
277,2025-10-03,09:54:02,26.00,53.50
278,2025-10-03,09:54:22,26.00,53.70
279,2025-10-03,09:54:42,26.00,54.60
280,2025-10-03,09:55:02,26.10,55.60
281,2025-10-03,09:55:22,26.10,54.50
282,2025-10-03,09:55:42,26.10,54.70
283,2025-10-03,09:56:02,26.10,54.50
284,2025-10-03,09:56:22,26.20,55.10
285,2025-10-03,09:56:42,26.20,55.20
286,2025-10-03,09:57:02,26.20,55.30
287,2025-10-03,09:57:22,26.30,55.50
288,2025-10-03,09:57:42,26.30,55.50
289,2025-10-03,09:58:02,26.30,54.80
290,2025-10-03,09:58:22,26.30,55.10
291,2025-10-03,09:58:42,26.30,55.00
292,2025-10-03,09:59:02,26.40,53.40
293,2025-10-03,09:59:22,26.40,53.20
294,2025-10-03,09:59:42,26.40,53.80
295,2025-10-03,10:00:02,26.50,55.10
296,2025-10-03,10:00:22,26.40,56.40
297,2025-10-03,10:00:42,26.50,58.00
298,2025-10-03,10:01:02,26.50,59.20
299,2025-10-03,10:01:22,26.50,57.60
300,2025-10-03,10:01:42,26.50,56.70
301,2025-10-03,10:02:02,26.50,55.10
302,2025-10-03,10:02:22,26.50,53.60
303,2025-10-03,10:02:42,26.50,52.80
304,2025-10-03,10:03:02,26.50,52.90
305,2025-10-03,10:03:22,26.50,51.90
306,2025-10-03,10:03:42,26.50,52.30
307,2025-10-03,10:04:02,26.50,53.20
308,2025-10-03,10:04:22,26.50,53.40
309,2025-10-03,10:04:42,26.50,53.40
310,2025-10-03,10:05:02,26.60,53.50
311,2025-10-03,10:05:22,26.50,54.90
312,2025-10-03,10:05:42,26.50,55.60
313,2025-10-03,10:06:02,26.50,52.60
314,2025-10-03,10:06:22,26.50,51.80
315,2025-10-03,10:06:42,26.50,51.80
316,2025-10-03,10:07:02,26.50,52.30
317,2025-10-03,10:07:22,26.50,52.30
318,2025-10-03,10:07:42,26.50,52.50
319,2025-10-03,10:08:02,26.60,53.20
320,2025-10-03,10:08:22,26.60,54.30
321,2025-10-03,10:08:42,26.60,54.80
322,2025-10-03,10:09:02,26.60,53.10
323,2025-10-03,10:09:22,26.60,52.90
324,2025-10-03,10:09:42,26.60,52.10
325,2025-10-03,10:10:02,26.70,51.60
326,2025-10-03,10:10:22,26.70,51.30
327,2025-10-03,10:10:42,26.70,51.90
328,2025-10-03,10:11:02,26.70,52.30
329,2025-10-03,10:11:22,26.80,53.00
330,2025-10-03,10:11:42,26.80,52.20
331,2025-10-03,10:12:02,26.80,52.50
332,2025-10-03,10:12:22,26.80,52.00
333,2025-10-03,10:12:42,26.80,52.50
334,2025-10-03,10:13:02,26.90,52.20
335,2025-10-03,10:13:22,26.90,50.50
336,2025-10-03,10:13:41,26.90,49.90
337,2025-10-03,10:14:01,26.90,50.00
338,2025-10-03,10:14:21,26.90,50.40
339,2025-10-03,10:14:41,26.90,50.50
340,2025-10-03,10:15:01,26.90,51.10
341,2025-10-03,10:15:21,26.90,52.00
342,2025-10-03,10:15:41,27.00,52.40
343,2025-10-03,10:16:01,27.00,51.70
344,2025-10-03,10:16:21,27.00,51.90
345,2025-10-03,10:16:41,27.00,52.80
346,2025-10-03,10:17:01,27.10,55.40
347,2025-10-03,10:17:21,27.10,56.00
348,2025-10-03,10:17:41,27.10,56.10
349,2025-10-03,10:18:01,27.10,53.50
