Leitura;Data;Hora;Temperatura(C);Umidade(%)
1;03/10/2025;18:31:31;25.7;59.9
2;03/10/2025;18:31:51;25.4;60.5
3;03/10/2025;18:32:11;25.2;61.3
4;03/10/2025;18:32:31;25.1;61.9
5;03/10/2025;18:32:51;25;62.2
6;03/10/2025;18:33:11;24.9;62.3
7;03/10/2025;18:33:31;24.7;62.7
8;03/10/2025;18:33:51;24.6;63.2
9;03/10/2025;18:34:11;24.5;63.6
10;03/10/2025;18:34:31;24.4;64
11;03/10/2025;18:34:51;24.3;64.1
12;03/10/2025;18:35:11;24.3;64.5
13;03/10/2025;18:35:31;24.1;64.7
14;03/10/2025;18:35:51;24;65
15;03/10/2025;18:36:11;23.9;65.3
16;03/10/2025;18:36:31;23.7;65.8
17;03/10/2025;18:36:51;23.7;66.2
18;03/10/2025;18:37:11;23.6;66.5
19;03/10/2025;18:37:31;23.5;66.8
20;03/10/2025;18:37:51;23.5;67
21;03/10/2025;18:38:11;23.5;67.2
22;03/10/2025;18:38:31;23.5;67.2
23;03/10/2025;18:38:51;23.5;67.2
24;03/10/2025;18:39:11;23.5;67.3
25;03/10/2025;18:39:31;23.4;67.4
26;03/10/2025;18:39:51;23.4;67.5
27;03/10/2025;18:40:11;23.3;67.7
28;03/10/2025;18:40:31;23.3;67.8
29;03/10/2025;18:40:51;23.3;67.8
30;03/10/2025;18:41:11;23.3;68
31;03/10/2025;18:41:31;23.3;68
32;03/10/2025;18:41:51;23.3;68
33;03/10/2025;18:42:11;23.2;68.1
34;03/10/2025;18:42:31;23.2;68.3
35;03/10/2025;18:42:51;23.2;68.4
36;03/10/2025;18:43:11;23.1;68.5
37;03/10/2025;18:43:31;23.2;68.6
38;03/10/2025;18:43:51;23.1;68.4
39;03/10/2025;18:44:11;23.1;68.8
40;03/10/2025;18:44:31;23.1;68.8
41;03/10/2025;18:44:51;23.1;68.9
42;03/10/2025;18:45:11;23;68.9
43;03/10/2025;18:45:31;23.1;69
44;03/10/2025;18:45:51;23.1;68.9
45;03/10/2025;18:46:11;23.1;68.9
46;03/10/2025;18:46:31;23.1;69
47;03/10/2025;18:46:51;23;69
48;03/10/2025;18:47:11;23;69.1
49;03/10/2025;18:47:31;23;69.1
50;03/10/2025;18:47:51;23;69.2
51;03/10/2025;18:48:11;23;69.2
52;03/10/2025;18:48:31;23;69.2
53;03/10/2025;18:48:51;23;69.2
54;03/10/2025;18:49:11;23;69.2
55;03/10/2025;18:49:31;23;69.3
56;03/10/2025;18:49:51;23;69.3
57;03/10/2025;18:50:11;23;69.4
58;03/10/2025;18:50:31;22.9;69.4
59;03/10/2025;18:50:51;23;69.4
60;03/10/2025;18:51:11;23;69.4
61;03/10/2025;18:51:31;23;69.4
62;03/10/2025;18:51:51;23;69.4
63;03/10/2025;18:52:11;23;69.4
64;03/10/2025;18:52:31;23;69.3
65;03/10/2025;18:52:51;23;69.2
66;03/10/2025;18:53:11;23;69.3
67;03/10/2025;18:53:31;23.1;69.1
68;03/10/2025;18:53:51;23.1;69.1
69;03/10/2025;18:54:11;23;69
70;03/10/2025;18:54:31;23;69
71;03/10/2025;18:54:51;23;69.1
72;03/10/2025;18:55:11;23;69.2
73;03/10/2025;18:55:31;23;69.4
74;03/10/2025;18:55:51;23;69.4
75;03/10/2025;18:56:11;23;69.4
76;03/10/2025;18:56:31;22.9;69.4
77;03/10/2025;18:56:51;23;69.4
78;03/10/2025;18:57:11;22.9;69.5
79;03/10/2025;18:57:31;22.9;69.5
80;03/10/2025;18:57:51;23;69.5
81;03/10/2025;18:58:11;23;69.4
82;03/10/2025;18:58:31;23;69.4
83;03/10/2025;18:58:51;23;69.4
84;03/10/2025;18:59:11;23;69.4
85;03/10/2025;18:59:31;23;69.5
86;03/10/2025;18:59:51;23;69.5
87;03/10/2025;19:00:11;23;69.4
88;03/10/2025;19:00:31;23;69.4
89;03/10/2025;19:00:51;23;69.5
90;03/10/2025;19:01:11;23;69.5
91;03/10/2025;19:01:31;23;69.5
92;03/10/2025;19:01:51;23;69.6
93;03/10/2025;19:02:11;22.9;69.5
94;03/10/2025;19:02:31;22.9;69.6
95;03/10/2025;19:02:51;22.9;69.6
96;03/10/2025;19:03:11;22.9;69.8
97;03/10/2025;19:03:31;22.8;69.8
98;03/10/2025;19:03:51;22.8;69.8
99;03/10/2025;19:04:11;22.8;69.9
100;03/10/2025;19:04:31;22.8;69.9
101;03/10/2025;19:04:51;22.8;69.9
102;03/10/2025;19:05:11;22.8;69.9
103;03/10/2025;19:05:31;22.8;69.9
104;03/10/2025;19:05:51;22.9;69.9
105;03/10/2025;19:06:11;22.8;69.8
106;03/10/2025;19:06:31;22.8;69.8
107;03/10/2025;19:06:51;22.9;69.8
108;03/10/2025;19:07:11;22.9;69.8
