[2025-10-03 18:31:55] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-03 18:31:55, Temp: 25.8, Umid: 60.1
[2025-10-03 18:32:42] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-10-03 18:32:43, Temp: 23.5, Umid: 71.4
[2025-10-03 18:32:43] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-03 18:32:44, Temp: 24.8, Umid: 62.8
[2025-10-03 18:33:05] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-10-03 18:33:05, Temp: 23.7, Umid: 70.1
[2025-10-03 18:33:06] Dispositivo: Pico W_11f0bb, Leitura: 2, Horario: 2025-10-03 18:33:06, Temp: 24.5, Umid: 64.0
[2025-10-03 18:33:27] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-10-03 18:33:27, Temp: 23.7, Umid: 69.6
[2025-10-03 18:33:28] Dispositivo: Pico W_11f0bb, Leitura: 3, Horario: 2025-10-03 18:33:29, Temp: 24.3, Umid: 64.5
[2025-10-03 18:33:49] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-10-03 18:33:50, Temp: 23.7, Umid: 69.4
[2025-10-03 18:33:50] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-10-03 18:33:51, Temp: 24.1, Umid: 65.1
[2025-10-03 18:34:12] Dispositivo: Pico W_11f60f, Leitura: 5, Horario: 2025-10-03 18:34:12, Temp: 23.7, Umid: 69.5
[2025-10-03 18:34:13] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-10-03 18:34:13, Temp: 24.0, Umid: 65.6
[2025-10-03 18:34:34] Dispositivo: Pico W_11f60f, Leitura: 6, Horario: 2025-10-03 18:34:34, Temp: 23.6, Umid: 69.4
[2025-10-03 18:34:35] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-10-03 18:34:36, Temp: 23.9, Umid: 66.1
[2025-10-03 18:34:56] Dispositivo: Pico W_11f60f, Leitura: 7, Horario: 2025-10-03 18:34:57, Temp: 23.6, Umid: 69.4
[2025-10-03 18:34:57] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-10-03 18:34:58, Temp: 23.8, Umid: 66.3
[2025-10-03 18:35:18] Dispositivo: Pico W_11f60f, Leitura: 8, Horario: 2025-10-03 18:35:19, Temp: 23.6, Umid: 69.3
[2025-10-03 18:35:20] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-10-03 18:35:20, Temp: 23.7, Umid: 66.5
[2025-10-03 18:35:41] Dispositivo: Pico W_11f60f, Leitura: 9, Horario: 2025-10-03 18:35:41, Temp: 23.6, Umid: 69.5
[2025-10-03 18:35:42] Dispositivo: Pico W_11f0bb, Leitura: 9, Horario: 2025-10-03 18:35:42, Temp: 23.7, Umid: 66.8
[2025-10-03 18:36:03] Dispositivo: Pico W_11f60f, Leitura: 10, Horario: 2025-10-03 18:36:04, Temp: 23.5, Umid: 69.6
[2025-10-03 18:36:04] Dispositivo: Pico W_11f0bb, Leitura: 10, Horario: 2025-10-03 18:36:05, Temp: 23.6, Umid: 67.1
[2025-10-03 18:36:25] Dispositivo: Pico W_11f60f, Leitura: 11, Horario: 2025-10-03 18:36:26, Temp: 23.4, Umid: 69.7
[2025-10-03 18:36:26] Dispositivo: Pico W_11f0bb, Leitura: 11, Horario: 2025-10-03 18:36:27, Temp: 23.5, Umid: 67.3
[2025-10-03 18:36:48] Dispositivo: Pico W_11f60f, Leitura: 12, Horario: 2025-10-03 18:36:48, Temp: 23.3, Umid: 70.1
[2025-10-03 18:36:49] Dispositivo: Pico W_11f0bb, Leitura: 12, Horario: 2025-10-03 18:36:49, Temp: 23.4, Umid: 67.8
[2025-10-03 18:37:10] Dispositivo: Pico W_11f60f, Leitura: 13, Horario: 2025-10-03 18:37:11, Temp: 23.3, Umid: 70.3
[2025-10-03 18:37:13] Dispositivo: Pico W_11f0bb, Leitura: 13, Horario: 2025-10-03 18:37:12, Temp: 23.3, Umid: 68.0
[2025-10-03 18:37:32] Dispositivo: Pico W_11f60f, Leitura: 14, Horario: 2025-10-03 18:37:33, Temp: 23.2, Umid: 70.5
[2025-10-03 18:37:33] Dispositivo: Pico W_11f0bb, Leitura: 14, Horario: 2025-10-03 18:37:34, Temp: 23.3, Umid: 68.3
[2025-10-03 18:37:55] Dispositivo: Pico W_11f60f, Leitura: 15, Horario: 2025-10-03 18:37:55, Temp: 23.2, Umid: 70.7
[2025-10-03 18:37:56] Dispositivo: Pico W_11f0bb, Leitura: 15, Horario: 2025-10-03 18:37:56, Temp: 23.2, Umid: 68.5
[2025-10-03 18:38:17] Dispositivo: Pico W_11f60f, Leitura: 16, Horario: 2025-10-03 18:38:17, Temp: 23.2, Umid: 70.6
[2025-10-03 18:38:18] Dispositivo: Pico W_11f0bb, Leitura: 16, Horario: 2025-10-03 18:38:19, Temp: 23.2, Umid: 68.4
[2025-10-03 18:38:39] Dispositivo: Pico W_11f60f, Leitura: 17, Horario: 2025-10-03 18:38:40, Temp: 23.3, Umid: 70.5
[2025-10-03 18:38:40] Dispositivo: Pico W_11f0bb, Leitura: 17, Horario: 2025-10-03 18:38:41, Temp: 23.3, Umid: 68.3
[2025-10-03 18:39:02] Dispositivo: Pico W_11f60f, Leitura: 18, Horario: 2025-10-03 18:39:02, Temp: 23.3, Umid: 70.5
