Contagem;Dispositivo;Data_Hora_Coleta;Temperatura_C;Umidade_%
2;Pico W_F0BB;2021-01-01 00:00:25;25.20;58.90
3;Pico W_F0BB;2021-01-01 00:00:46;25.10;59.60
4;Pico W_F0BB;2021-01-01 00:01:06;25.00;59.60
5;Pico W_F0BB;2021-01-01 00:01:26;24.90;59.90
6;Pico W_F0BB;2021-01-01 00:01:47;24.80;60.70
7;Pico W_F0BB;2021-01-01 00:02:07;24.70;60.70
8;Pico W_F0BB;2021-01-01 00:02:27;24.60;61.00
9;Pico W_F0BB;2021-01-01 00:02:48;24.60;60.70
10;Pico W_F0BB;2021-01-01 00:03:08;24.50;60.70
11;Pico W_F0BB;2021-01-01 00:03:28;24.50;61.60
12;Pico W_F0BB;2021-01-01 00:03:48;24.40;61.30
13;Pico W_F0BB;2021-01-01 00:04:09;24.40;61.80
14;Pico W_F0BB;2021-01-01 00:04:29;24.40;62.30
15;Pico W_F0BB;2021-01-01 00:04:49;24.30;63.10
16;Pico W_F0BB;2021-01-01 00:05:10;24.30;63.40
17;Pico W_F0BB;2021-01-01 00:05:30;24.30;63.10
18;Pico W_F0BB;2021-01-01 00:05:50;24.30;62.60
19;Pico W_F0BB;2021-01-01 00:06:11;24.30;62.40
20;Pico W_F0BB;2021-01-01 00:06:31;24.40;61.70
21;Pico W_F0BB;2021-01-01 00:06:51;24.40;62.40
22;Pico W_F0BB;2021-01-01 00:07:11;24.40;63.20
23;Pico W_F0BB;2021-01-01 00:07:32;24.30;63.10
24;Pico W_F0BB;2021-01-01 00:07:52;24.30;63.50
25;Pico W_F0BB;2021-01-01 00:08:12;24.30;63.70
26;Pico W_F0BB;2021-01-01 00:08:33;24.20;62.70
27;Pico W_F0BB;2021-01-01 00:08:53;24.20;63.00
28;Pico W_F0BB;2021-01-01 00:09:13;24.30;62.30
29;Pico W_F0BB;2021-01-01 00:09:34;24.30;62.00
30;Pico W_F0BB;2021-01-01 00:09:54;24.30;61.60
31;Pico W_F0BB;2021-01-01 00:10:14;24.30;62.10
32;Pico W_F0BB;2021-01-01 00:10:35;24.30;62.60
33;Pico W_F0BB;2021-01-01 00:10:55;24.30;63.10
34;Pico W_F0BB;2021-01-01 00:11:15;24.30;63.50
35;Pico W_F0BB;2021-01-01 00:11:35;24.20;63.40
36;Pico W_F0BB;2021-01-01 00:11:56;24.20;64.00
37;Pico W_F0BB;2021-01-01 00:12:16;24.10;63.70
38;Pico W_F0BB;2021-01-01 00:12:36;24.10;63.60
39;Pico W_F0BB;2021-01-01 00:12:57;24.00;63.90
40;Pico W_F0BB;2021-01-01 00:13:17;24.00;64.30
41;Pico W_F0BB;2021-01-01 00:13:37;24.00;63.80
42;Pico W_F0BB;2021-01-01 00:13:58;23.90;64.60
43;Pico W_F0BB;2021-01-01 00:14:18;23.80;65.90
44;Pico W_F0BB;2021-01-01 00:14:38;23.80;66.60
45;Pico W_F0BB;2021-01-01 00:14:58;23.70;67.10
