[2025-10-04 10:35:46] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-10-04 10:35:46, Temp: 24.3, Umid: 58.5
[2025-10-04 10:36:08] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-10-04 10:36:08, Temp: 24.4, Umid: 59.7
[2025-10-04 10:36:30] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-10-04 10:36:31, Temp: 24.4, Umid: 59.2
[2025-10-04 10:36:53] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-10-04 10:36:53, Temp: 24.4, Umid: 58.9
[2025-10-04 10:37:15] Dispositivo: Pico W_11f60f, Leitura: 5, Horario: 2025-10-04 10:37:15, Temp: 24.4, Umid: 58.8
[2025-10-04 10:37:37] Dispositivo: Pico W_11f60f, Leitura: 6, Horario: 2025-10-04 10:37:38, Temp: 24.4, Umid: 58.8
[2025-10-04 10:38:02] Dispositivo: Pico W_11f60f, Leitura: 7, Horario: 2025-10-04 10:38:00, Temp: 24.4, Umid: 58.9
[2025-10-04 10:38:22] Dispositivo: Pico W_11f60f, Leitura: 8, Horario: 2025-10-04 10:38:22, Temp: 24.5, Umid: 59.0
[2025-10-04 10:38:44] Dispositivo: Pico W_11f60f, Leitura: 9, Horario: 2025-10-04 10:38:44, Temp: 24.5, Umid: 58.7
[2025-10-04 10:39:06] Dispositivo: Pico W_11f60f, Leitura: 10, Horario: 2025-10-04 10:39:07, Temp: 24.5, Umid: 58.9
[2025-10-04 10:39:29] Dispositivo: Pico W_11f60f, Leitura: 11, Horario: 2025-10-04 10:39:29, Temp: 24.5, Umid: 58.8
[2025-10-04 10:39:51] Dispositivo: Pico W_11f60f, Leitura: 12, Horario: 2025-10-04 10:39:51, Temp: 24.5, Umid: 58.3
[2025-10-04 10:40:14] Dispositivo: Pico W_11f60f, Leitura: 13, Horario: 2025-10-04 10:40:14, Temp: 24.5, Umid: 57.7
[2025-10-04 10:40:36] Dispositivo: Pico W_11f60f, Leitura: 14, Horario: 2025-10-04 10:40:36, Temp: 24.5, Umid: 57.9
[2025-10-04 10:40:58] Dispositivo: Pico W_11f60f, Leitura: 15, Horario: 2025-10-04 10:40:58, Temp: 24.4, Umid: 58.4
[2025-10-04 10:41:20] Dispositivo: Pico W_11f60f, Leitura: 16, Horario: 2025-10-04 10:41:21, Temp: 24.4, Umid: 58.0
[2025-10-04 10:41:42] Dispositivo: Pico W_11f60f, Leitura: 17, Horario: 2025-10-04 10:41:43, Temp: 24.4, Umid: 57.7
[2025-10-04 10:42:05] Dispositivo: Pico W_11f60f, Leitura: 18, Horario: 2025-10-04 10:42:05, Temp: 24.4, Umid: 57.5
[2025-10-04 10:42:27] Dispositivo: Pico W_11f60f, Leitura: 19, Horario: 2025-10-04 10:42:28, Temp: 24.4, Umid: 57.8
[2025-10-04 10:42:49] Dispositivo: Pico W_11f60f, Leitura: 20, Horario: 2025-10-04 10:42:50, Temp: 24.4, Umid: 58.8
[2025-10-04 10:43:12] Dispositivo: Pico W_11f60f, Leitura: 21, Horario: 2025-10-04 10:43:12, Temp: 24.4, Umid: 57.9
[2025-10-04 10:43:34] Dispositivo: Pico W_11f60f, Leitura: 22, Horario: 2025-10-04 10:43:34, Temp: 24.5, Umid: 57.5
[2025-10-04 10:43:56] Dispositivo: Pico W_11f60f, Leitura: 23, Horario: 2025-10-04 10:43:57, Temp: 24.5, Umid: 57.7
[2025-10-04 10:44:19] Dispositivo: Pico W_11f60f, Leitura: 24, Horario: 2025-10-04 10:44:19, Temp: 24.5, Umid: 57.7
[2025-10-04 10:44:41] Dispositivo: Pico W_11f60f, Leitura: 25, Horario: 2025-10-04 10:44:41, Temp: 24.6, Umid: 57.6
[2025-10-04 10:45:03] Dispositivo: Pico W_11f60f, Leitura: 26, Horario: 2025-10-04 10:45:04, Temp: 24.6, Umid: 57.9
[2025-10-04 10:45:26] Dispositivo: Pico W_11f60f, Leitura: 27, Horario: 2025-10-04 10:45:26, Temp: 24.6, Umid: 57.8
[2025-10-04 10:45:48] Dispositivo: Pico W_11f60f, Leitura: 28, Horario: 2025-10-04 10:45:48, Temp: 24.6, Umid: 57.7
[2025-10-04 10:46:10] Dispositivo: Pico W_11f60f, Leitura: 29, Horario: 2025-10-04 10:46:11, Temp: 24.7, Umid: 57.5
[2025-10-04 10:46:32] Dispositivo: Pico W_11f60f, Leitura: 30, Horario: 2025-10-04 10:46:33, Temp: 24.7, Umid: 57.9
[2025-10-04 10:46:55] Dispositivo: Pico W_11f60f, Leitura: 31, Horario: 2025-10-04 10:46:55, Temp: 24.7, Umid: 57.8
[2025-10-04 10:47:17] Dispositivo: Pico W_11f60f, Leitura: 32, Horario: 2025-10-04 10:47:18, Temp: 24.7, Umid: 57.6
[2025-10-04 10:47:39] Dispositivo: Pico W_11f60f, Leitura: 33, Horario: 2025-10-04 10:47:40, Temp: 24.7, Umid: 57.7
[2025-10-04 10:48:02] Dispositivo: Pico W_11f60f, Leitura: 34, Horario: 2025-10-04 10:48:02, Temp: 24.7, Umid: 57.1
[2025-10-04 10:48:24] Dispositivo: Pico W_11f60f, Leitura: 35, Horario: 2025-10-04 10:48:24, Temp: 24.7, Umid: 56.8
[2025-10-04 10:48:46] Dispositivo: Pico W_11f60f, Leitura: 36, Horario: 2025-10-04 10:48:47, Temp: 24.7, Umid: 56.3
[2025-10-04 10:49:09] Dispositivo: Pico W_11f60f, Leitura: 37, Horario: 2025-10-04 10:49:09, Temp: 24.8, Umid: 58.1
[2025-10-04 10:49:31] Dispositivo: Pico W_11f60f, Leitura: 38, Horario: 2025-10-04 10:49:31, Temp: 24.8, Umid: 58.2
[2025-10-04 10:49:53] Dispositivo: Pico W_11f60f, Leitura: 39, Horario: 2025-10-04 10:49:54, Temp: 24.8, Umid: 57.5
[2025-10-04 10:50:16] Dispositivo: Pico W_11f60f, Leitura: 40, Horario: 2025-10-04 10:50:16, Temp: 24.8, Umid: 56.6
[2025-10-04 10:50:38] Dispositivo: Pico W_11f60f, Leitura: 41, Horario: 2025-10-04 10:50:38, Temp: 24.9, Umid: 56.5
[2025-10-04 10:51:00] Dispositivo: Pico W_11f60f, Leitura: 42, Horario: 2025-10-04 10:51:01, Temp: 24.9, Umid: 56.3
[2025-10-04 10:51:23] Dispositivo: Pico W_11f60f, Leitura: 43, Horario: 2025-10-04 10:51:23, Temp: 24.8, Umid: 56.1
[2025-10-04 10:51:45] Dispositivo: Pico W_11f60f, Leitura: 44, Horario: 2025-10-04 10:51:45, Temp: 24.9, Umid: 56.5
[2025-10-04 10:52:07] Dispositivo: Pico W_11f60f, Leitura: 45, Horario: 2025-10-04 10:52:08, Temp: 24.9, Umid: 56.4
[2025-10-04 10:52:29] Dispositivo: Pico W_11f60f, Leitura: 46, Horario: 2025-10-04 10:52:30, Temp: 24.9, Umid: 56.8
[2025-10-04 10:52:52] Dispositivo: Pico W_11f60f, Leitura: 47, Horario: 2025-10-04 10:52:52, Temp: 24.9, Umid: 56.3
[2025-10-04 10:53:14] Dispositivo: Pico W_11f60f, Leitura: 48, Horario: 2025-10-04 10:53:14, Temp: 24.9, Umid: 56.0
[2025-10-04 10:53:36] Dispositivo: Pico W_11f60f, Leitura: 49, Horario: 2025-10-04 10:53:37, Temp: 24.9, Umid: 56.7
[2025-10-04 10:53:59] Dispositivo: Pico W_11f60f, Leitura: 50, Horario: 2025-10-04 10:53:59, Temp: 24.9, Umid: 56.6
[2025-10-04 10:54:21] Dispositivo: Pico W_11f60f, Leitura: 51, Horario: 2025-10-04 10:54:21, Temp: 24.9, Umid: 56.6
[2025-10-04 10:54:43] Dispositivo: Pico W_11f60f, Leitura: 52, Horario: 2025-10-04 10:54:44, Temp: 24.9, Umid: 56.9
[2025-10-04 10:55:06] Dispositivo: Pico W_11f60f, Leitura: 53, Horario: 2025-10-04 10:55:06, Temp: 24.9, Umid: 57.2
[2025-10-04 10:55:28] Dispositivo: Pico W_11f60f, Leitura: 54, Horario: 2025-10-04 10:55:28, Temp: 24.9, Umid: 57.2
[2025-10-04 10:55:50] Dispositivo: Pico W_11f60f, Leitura: 55, Horario: 2025-10-04 10:55:51, Temp: 24.9, Umid: 56.5
[2025-10-04 10:56:12] Dispositivo: Pico W_11f60f, Leitura: 56, Horario: 2025-10-04 10:56:13, Temp: 24.9, Umid: 57.2
[2025-10-04 10:56:35] Dispositivo: Pico W_11f60f, Leitura: 57, Horario: 2025-10-04 10:56:35, Temp: 24.9, Umid: 56.9
[2025-10-04 10:56:57] Dispositivo: Pico W_11f60f, Leitura: 58, Horario: 2025-10-04 10:56:58, Temp: 24.8, Umid: 56.8
[2025-10-04 10:57:20] Dispositivo: Pico W_11f60f, Leitura: 59, Horario: 2025-10-04 10:57:20, Temp: 24.9, Umid: 57.4
[2025-10-04 10:57:42] Dispositivo: Pico W_11f60f, Leitura: 60, Horario: 2025-10-04 10:57:42, Temp: 24.8, Umid: 58.2
[2025-10-04 10:58:04] Dispositivo: Pico W_11f60f, Leitura: 61, Horario: 2025-10-04 10:58:04, Temp: 24.9, Umid: 57.2
[2025-10-04 10:58:26] Dispositivo: Pico W_11f60f, Leitura: 62, Horario: 2025-10-04 10:58:27, Temp: 24.9, Umid: 57.9
[2025-10-04 10:58:49] Dispositivo: Pico W_11f60f, Leitura: 63, Horario: 2025-10-04 10:58:49, Temp: 24.9, Umid: 57.8
[2025-10-04 10:59:11] Dispositivo: Pico W_11f60f, Leitura: 64, Horario: 2025-10-04 10:59:11, Temp: 24.9, Umid: 57.7
[2025-10-04 10:59:33] Dispositivo: Pico W_11f60f, Leitura: 65, Horario: 2025-10-04 10:59:34, Temp: 24.9, Umid: 57.0
[2025-10-04 10:59:56] Dispositivo: Pico W_11f60f, Leitura: 66, Horario: 2025-10-04 10:59:56, Temp: 25.0, Umid: 56.5
[2025-10-04 11:00:18] Dispositivo: Pico W_11f60f, Leitura: 67, Horario: 2025-10-04 11:00:18, Temp: 25.0, Umid: 56.4
[2025-10-04 11:00:41] Dispositivo: Pico W_11f60f, Leitura: 68, Horario: 2025-10-04 11:00:41, Temp: 25.0, Umid: 56.1
[2025-10-04 11:01:02] Dispositivo: Pico W_11f60f, Leitura: 69, Horario: 2025-10-04 11:01:03, Temp: 25.0, Umid: 56.5
[2025-10-04 11:01:26] Dispositivo: Pico W_11f60f, Leitura: 70, Horario: 2025-10-04 11:01:25, Temp: 25.0, Umid: 55.9
[2025-10-04 11:01:47] Dispositivo: Pico W_11f60f, Leitura: 71, Horario: 2025-10-04 11:01:48, Temp: 25.0, Umid: 56.2
[2025-10-04 11:02:09] Dispositivo: Pico W_11f60f, Leitura: 72, Horario: 2025-10-04 11:02:10, Temp: 25.1, Umid: 57.4
[2025-10-04 11:02:32] Dispositivo: Pico W_11f60f, Leitura: 73, Horario: 2025-10-04 11:02:32, Temp: 25.1, Umid: 57.4
[2025-10-04 11:02:57] Dispositivo: Pico W_11f60f, Leitura: 74, Horario: 2025-10-04 11:02:54, Temp: 25.2, Umid: 56.8
[2025-10-04 11:03:16] Dispositivo: Pico W_11f60f, Leitura: 75, Horario: 2025-10-04 11:03:17, Temp: 25.2, Umid: 56.9
[2025-10-04 11:03:39] Dispositivo: Pico W_11f60f, Leitura: 76, Horario: 2025-10-04 11:03:39, Temp: 25.2, Umid: 56.2
[2025-10-04 11:04:01] Dispositivo: Pico W_11f60f, Leitura: 77, Horario: 2025-10-04 11:04:01, Temp: 25.2, Umid: 56.2
[2025-10-04 11:04:23] Dispositivo: Pico W_11f60f, Leitura: 78, Horario: 2025-10-04 11:04:24, Temp: 25.2, Umid: 55.8
[2025-10-04 11:04:46] Dispositivo: Pico W_11f60f, Leitura: 79, Horario: 2025-10-04 11:04:46, Temp: 25.2, Umid: 56.0
[2025-10-04 11:05:08] Dispositivo: Pico W_11f60f, Leitura: 80, Horario: 2025-10-04 11:05:08, Temp: 25.2, Umid: 56.7
[2025-10-04 11:05:30] Dispositivo: Pico W_11f60f, Leitura: 81, Horario: 2025-10-04 11:05:31, Temp: 25.2, Umid: 57.4
[2025-10-04 11:05:52] Dispositivo: Pico W_11f60f, Leitura: 82, Horario: 2025-10-04 11:05:53, Temp: 25.2, Umid: 56.9
[2025-10-04 11:06:15] Dispositivo: Pico W_11f60f, Leitura: 83, Horario: 2025-10-04 11:06:15, Temp: 25.2, Umid: 56.5
[2025-10-04 11:06:37] Dispositivo: Pico W_11f60f, Leitura: 84, Horario: 2025-10-04 11:06:38, Temp: 25.2, Umid: 56.0
[2025-10-04 11:07:00] Dispositivo: Pico W_11f60f, Leitura: 85, Horario: 2025-10-04 11:07:00, Temp: 25.3, Umid: 56.0
[2025-10-04 11:07:22] Dispositivo: Pico W_11f60f, Leitura: 86, Horario: 2025-10-04 11:07:22, Temp: 25.3, Umid: 56.4
[2025-10-04 11:07:44] Dispositivo: Pico W_11f60f, Leitura: 87, Horario: 2025-10-04 11:07:44, Temp: 25.3, Umid: 56.6
[2025-10-04 11:08:06] Dispositivo: Pico W_11f60f, Leitura: 88, Horario: 2025-10-04 11:08:07, Temp: 25.3, Umid: 56.6
[2025-10-04 11:08:29] Dispositivo: Pico W_11f60f, Leitura: 89, Horario: 2025-10-04 11:08:29, Temp: 25.3, Umid: 56.7
[2025-10-04 11:08:51] Dispositivo: Pico W_11f60f, Leitura: 90, Horario: 2025-10-04 11:08:51, Temp: 25.4, Umid: 57.2
[2025-10-04 11:09:13] Dispositivo: Pico W_11f60f, Leitura: 91, Horario: 2025-10-04 11:09:14, Temp: 25.4, Umid: 56.3
[2025-10-04 11:09:36] Dispositivo: Pico W_11f60f, Leitura: 92, Horario: 2025-10-04 11:09:36, Temp: 25.4, Umid: 56.6
[2025-10-04 11:09:58] Dispositivo: Pico W_11f60f, Leitura: 93, Horario: 2025-10-04 11:09:58, Temp: 25.4, Umid: 55.5
[2025-10-04 11:10:20] Dispositivo: Pico W_11f60f, Leitura: 94, Horario: 2025-10-04 11:10:21, Temp: 25.5, Umid: 54.9
[2025-10-04 11:10:43] Dispositivo: Pico W_11f60f, Leitura: 95, Horario: 2025-10-04 11:10:43, Temp: 25.5, Umid: 54.9
[2025-10-04 11:11:05] Dispositivo: Pico W_11f60f, Leitura: 96, Horario: 2025-10-04 11:11:05, Temp: 25.6, Umid: 55.5
[2025-10-04 11:11:27] Dispositivo: Pico W_11f60f, Leitura: 97, Horario: 2025-10-04 11:11:28, Temp: 25.6, Umid: 54.9
[2025-10-04 11:11:49] Dispositivo: Pico W_11f60f, Leitura: 98, Horario: 2025-10-04 11:11:50, Temp: 25.6, Umid: 54.7
[2025-10-04 11:12:12] Dispositivo: Pico W_11f60f, Leitura: 99, Horario: 2025-10-04 11:12:12, Temp: 25.6, Umid: 55.0
[2025-10-04 11:12:34] Dispositivo: Pico W_11f60f, Leitura: 100, Horario: 2025-10-04 11:12:34, Temp: 25.6, Umid: 55.0
[2025-10-04 11:12:56] Dispositivo: Pico W_11f60f, Leitura: 101, Horario: 2025-10-04 11:12:57, Temp: 25.6, Umid: 55.4
[2025-10-04 11:13:19] Dispositivo: Pico W_11f60f, Leitura: 102, Horario: 2025-10-04 11:13:19, Temp: 25.6, Umid: 55.6
[2025-10-04 11:13:41] Dispositivo: Pico W_11f60f, Leitura: 103, Horario: 2025-10-04 11:13:41, Temp: 25.6, Umid: 55.2
[2025-10-04 11:14:03] Dispositivo: Pico W_11f60f, Leitura: 104, Horario: 2025-10-04 11:14:04, Temp: 25.6, Umid: 55.5
[2025-10-04 11:14:26] Dispositivo: Pico W_11f60f, Leitura: 105, Horario: 2025-10-04 11:14:26, Temp: 25.6, Umid: 55.0
[2025-10-04 11:14:48] Dispositivo: Pico W_11f60f, Leitura: 106, Horario: 2025-10-04 11:14:48, Temp: 25.6, Umid: 54.7
[2025-10-04 11:15:10] Dispositivo: Pico W_11f60f, Leitura: 107, Horario: 2025-10-04 11:15:11, Temp: 25.6, Umid: 54.6
[2025-10-04 11:15:33] Dispositivo: Pico W_11f60f, Leitura: 108, Horario: 2025-10-04 11:15:33, Temp: 25.6, Umid: 54.5
[2025-10-04 11:15:55] Dispositivo: Pico W_11f60f, Leitura: 109, Horario: 2025-10-04 11:15:55, Temp: 25.6, Umid: 54.3
[2025-10-04 11:16:17] Dispositivo: Pico W_11f60f, Leitura: 110, Horario: 2025-10-04 11:16:18, Temp: 25.5, Umid: 54.3
[2025-10-04 11:16:39] Dispositivo: Pico W_11f60f, Leitura: 111, Horario: 2025-10-04 11:16:40, Temp: 25.5, Umid: 54.3
[2025-10-04 11:17:02] Dispositivo: Pico W_11f60f, Leitura: 112, Horario: 2025-10-04 11:17:02, Temp: 25.5, Umid: 54.1
[2025-10-04 11:17:24] Dispositivo: Pico W_11f60f, Leitura: 113, Horario: 2025-10-04 11:17:25, Temp: 25.5, Umid: 54.7
[2025-10-04 11:17:46] Dispositivo: Pico W_11f60f, Leitura: 114, Horario: 2025-10-04 11:17:47, Temp: 25.5, Umid: 54.3
[2025-10-04 11:18:09] Dispositivo: Pico W_11f60f, Leitura: 115, Horario: 2025-10-04 11:18:09, Temp: 25.5, Umid: 54.8
[2025-10-04 11:18:31] Dispositivo: Pico W_11f60f, Leitura: 116, Horario: 2025-10-04 11:18:31, Temp: 25.5, Umid: 54.7
[2025-10-04 11:18:53] Dispositivo: Pico W_11f60f, Leitura: 117, Horario: 2025-10-04 11:18:54, Temp: 25.5, Umid: 54.5
[2025-10-04 11:19:16] Dispositivo: Pico W_11f60f, Leitura: 118, Horario: 2025-10-04 11:19:16, Temp: 25.5, Umid: 54.5
[2025-10-04 11:19:38] Dispositivo: Pico W_11f60f, Leitura: 119, Horario: 2025-10-04 11:19:38, Temp: 25.5, Umid: 54.9
