Leitura;Data;Hora;Temperatura(C);Umidade(%)
1;01/01/2000;00:00:20;33.1;38.2
2;01/01/2000;00:00:40;33;37.6
3;01/01/2000;00:01:00;32.9;37.5
4;01/01/2000;00:01:20;32.9;37.6
5;01/01/2000;00:01:40;32.8;36.2
6;01/01/2000;00:02:00;32.7;36.1
7;01/01/2000;00:02:20;32.7;35.3
8;01/01/2000;00:02:40;32.6;34.5
9;01/01/2000;00:03:00;32.6;35.2
10;01/01/2000;00:03:20;32.6;36.2
11;01/01/2000;00:03:40;32.5;36.2
12;01/01/2000;00:04:00;32.5;36.2
13;01/01/2000;00:04:20;32.5;36.8
14;01/01/2000;00:04:40;32.5;37.2
15;01/01/2000;00:05:00;32.5;37.7
16;01/01/2000;00:05:20;32.5;37.8
17;01/01/2000;00:05:40;32.5;37.5
18;01/01/2000;00:06:00;32.5;36.9
19;01/01/2000;00:06:20;32.5;37.3
20;01/01/2000;00:06:40;32.5;36.8
21;01/01/2000;00:07:00;32.5;36.7
22;01/01/2000;00:07:20;32.4;36.5
23;01/01/2000;00:07:40;32.4;35.2
24;01/01/2000;00:08:00;32.4;35.1
25;01/01/2000;00:08:20;32.4;36
26;01/01/2000;00:08:40;32.4;35.7
27;01/01/2000;00:09:00;32.4;36.1
28;01/01/2000;00:09:19;32.5;35.3
29;01/01/2000;00:09:39;32.5;35
30;01/01/2000;00:09:59;32.5;35.9
31;01/01/2000;00:10:19;32.5;36.4
32;01/01/2000;00:10:39;32.5;37.1
33;01/01/2000;00:10:59;32.5;37.4
34;01/01/2000;00:11:19;32.5;37.3
35;01/01/2000;00:11:39;32.5;37.7
36;01/01/2000;00:11:59;32.5;37.7
37;01/01/2000;00:12:19;32.5;37.5
38;01/01/2000;00:12:39;32.5;36.2
39;01/01/2000;00:12:59;32.4;36.3
40;01/01/2000;00:13:19;32.5;36.8
41;01/01/2000;00:13:39;32.5;36.2
42;01/01/2000;00:13:59;32.5;36.2
43;01/01/2000;00:14:19;32.5;36.8
44;01/01/2000;00:14:39;32.5;35.7
45;01/01/2000;00:14:59;32.5;35.5
46;01/01/2000;00:15:19;32.5;36
47;01/01/2000;00:15:39;32.5;36.2
48;01/01/2000;00:15:59;32.5;36.4
49;01/01/2000;00:16:19;32.5;36
50;01/01/2000;00:16:39;32.6;35.6
51;01/01/2000;00:16:59;32.5;35.3
52;01/01/2000;00:17:19;32.5;35.5
53;01/01/2000;00:17:39;32.5;35.9
54;01/01/2000;00:17:59;32.5;36.2
55;01/01/2000;00:18:19;32.5;36.7
56;01/01/2000;00:18:39;32.5;36.4
57;01/01/2000;00:18:59;32.5;36.1
58;01/01/2000;00:19:19;32.5;37.1
59;01/01/2000;00:19:39;32.5;37.6
60;01/01/2000;00:19:59;32.5;37.9
61;01/01/2000;00:20:19;32.5;37.6
62;01/01/2000;00:20:39;32.5;37.7
63;01/01/2000;00:20:59;32.5;37.8
