Leitura;Data;Hora;Temperatura(C);Umidade(%)
133;01/01/2000;00:44:19;33.1;34
134;01/01/2000;00:44:39;33.1;34.2
135;01/01/2000;00:44:59;33.1;33.7
136;01/01/2000;00:45:19;33.2;33.8
137;01/01/2000;00:45:39;33.2;33.5
138;01/01/2000;00:45:59;33.3;33.5
139;01/01/2000;00:46:19;33.3;33
140;01/01/2000;00:46:39;33.3;34.1
141;01/01/2000;00:46:59;33.4;35
142;01/01/2000;00:47:19;33.4;34.6
143;01/01/2000;00:47:39;33.4;34.4
144;01/01/2000;00:47:59;33.5;34.6
145;01/01/2000;00:48:19;33.5;35.3
146;01/01/2000;00:48:39;33.5;35.4
147;01/01/2000;00:48:59;33.5;34.6
148;01/01/2000;00:49:19;33.5;35
149;01/01/2000;00:49:39;33.5;35
150;01/01/2000;00:49:59;33.5;32.5
151;01/01/2000;00:50:19;33.5;32.8
152;01/01/2000;00:50:39;33.5;33.9
153;01/01/2000;00:50:59;33.5;34
154;01/01/2000;00:51:19;33.5;34.7
155;01/01/2000;00:51:39;33.5;35.2
156;01/01/2000;00:51:59;33.5;34.6
157;01/01/2000;00:52:19;33.5;34.4
158;01/01/2000;00:52:39;33.5;33.7
159;01/01/2000;00:52:59;33.6;33.7
160;01/01/2000;00:53:19;33.5;34.3
161;01/01/2000;00:53:39;33.6;34.1
162;01/01/2000;00:53:59;33.6;34.6
163;01/01/2000;00:54:19;33.6;35
164;01/01/2000;00:54:39;33.6;35.5
165;01/01/2000;00:54:59;33.6;35.3
166;01/01/2000;00:55:19;33.6;35.5
167;01/01/2000;00:55:39;33.6;35.3
168;01/01/2000;00:55:59;33.6;35.1
169;01/01/2000;00:56:19;33.6;33.6
170;01/01/2000;00:56:39;33.6;34.3
171;01/01/2000;00:56:59;33.7;33.7
172;01/01/2000;00:57:19;33.7;33.3
173;01/01/2000;00:57:39;33.7;33.8
174;01/01/2000;00:57:59;33.7;33.8
175;01/01/2000;00:58:19;33.7;32.5
176;01/01/2000;00:58:39;33.8;33.9
177;01/01/2000;00:58:59;33.8;32.5
178;01/01/2000;00:59:19;33.8;31.6
179;01/01/2000;00:59:39;33.9;31.2
180;01/01/2000;00:59:59;33.9;31.1
181;01/01/2000;01:00:19;33.9;31.2
182;01/01/2000;01:00:39;33.9;31.5
183;01/01/2000;01:00:59;33.9;33.2
184;01/01/2000;01:01:19;33.9;34
185;01/01/2000;01:01:39;33.9;34.2
186;01/01/2000;01:01:59;33.9;33.9
187;01/01/2000;01:02:19;33.9;32.9
188;01/01/2000;01:02:39;33.9;33.3
189;01/01/2000;01:02:59;33.9;32.2
190;01/01/2000;01:03:19;34;32.2
191;01/01/2000;01:03:39;34;31.7
192;01/01/2000;01:03:59;34;31.7
193;01/01/2000;01:04:19;34;31.7
194;01/01/2000;01:04:39;34.1;31.6
195;01/01/2000;01:04:59;34.1;31.7
196;01/01/2000;01:05:19;34.1;32.1
197;01/01/2000;01:05:39;34.1;31.4
198;01/01/2000;01:05:59;34.1;30.9
