Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;2025-10-06;12:21:47;37.10;30.60
2;Pico W_F0BB;2025-10-06;12:22:07;37.00;29.90
3;Pico W_F0BB;2025-10-06;12:22:27;37.10;31.20
4;Pico W_F0BB;2025-10-06;12:22:48;37.20;31.20
5;Pico W_F0BB;2025-10-06;12:23:08;37.10;28.80
6;Pico W_F0BB;2025-10-06;12:23:28;37.20;29.50
7;Pico W_F0BB;2025-10-06;12:23:49;37.40;29.50
8;Pico W_F0BB;2025-10-06;12:24:09;37.60;29.80
9;Pico W_F0BB;2025-10-06;12:24:29;37.70;29.90
10;Pico W_F0BB;2025-10-06;12:24:50;37.80;30.00
11;Pico W_F0BB;2025-10-06;12:25:10;37.90;30.90
12;Pico W_F0BB;2025-10-06;12:25:30;38.00;30.20
13;Pico W_F0BB;2025-10-06;12:25:51;37.80;29.00
14;Pico W_F0BB;2025-10-06;12:26:11;37.60;28.40
15;Pico W_F0BB;2025-10-06;12:26:31;37.30;28.20
16;Pico W_F0BB;2025-10-06;12:26:51;37.30;28.60
17;Pico W_F0BB;2025-10-06;12:27:12;37.40;29.30
18;Pico W_F0BB;2025-10-06;12:27:32;37.40;29.90
19;Pico W_F0BB;2025-10-06;12:27:52;37.40;29.70
20;Pico W_F0BB;2025-10-06;12:28:13;37.50;29.40
21;Pico W_F0BB;2025-10-06;12:28:33;37.60;29.20
22;Pico W_F0BB;2025-10-06;12:28:53;37.60;29.30
23;Pico W_F0BB;2025-10-06;12:29:14;37.70;29.90
24;Pico W_F0BB;2025-10-06;12:29:34;37.50;30.00
25;Pico W_F0BB;2025-10-06;12:29:54;37.50;30.40
26;Pico W_F0BB;2025-10-06;12:30:14;37.50;30.80
27;Pico W_F0BB;2025-10-06;12:30:35;37.40;31.10
28;Pico W_F0BB;2025-10-06;12:30:55;37.20;31.70
29;Pico W_F0BB;2025-10-06;12:31:15;37.10;31.80
30;Pico W_F0BB;2025-10-06;12:31:36;37.00;31.80
31;Pico W_F0BB;2025-10-06;12:31:56;36.90;31.80
32;Pico W_F0BB;2025-10-06;12:32:16;36.80;32.00
33;Pico W_F0BB;2025-10-06;12:32:37;36.80;31.90
34;Pico W_F0BB;2025-10-06;12:32:57;36.80;31.20
35;Pico W_F0BB;2025-10-06;12:33:17;36.90;31.20
36;Pico W_F0BB;2025-10-06;12:33:38;36.90;31.40
37;Pico W_F0BB;2025-10-06;12:33:58;37.00;31.30
38;Pico W_F0BB;2025-10-06;12:34:18;37.20;31.00
39;Pico W_F0BB;2025-10-06;12:34:38;37.30;31.20
40;Pico W_F0BB;2025-10-06;12:34:59;37.50;30.40
41;Pico W_F0BB;2025-10-06;12:35:19;37.70;30.10
42;Pico W_F0BB;2025-10-06;12:35:39;37.80;30.30
43;Pico W_F0BB;2025-10-06;12:36:00;37.70;28.60
44;Pico W_F0BB;2025-10-06;12:36:20;37.80;29.60
45;Pico W_F0BB;2025-10-06;12:36:40;38.00;29.40
46;Pico W_F0BB;2025-10-06;12:37:01;38.40;30.00
47;Pico W_F0BB;2025-10-06;12:37:21;38.80;29.30
48;Pico W_F0BB;2025-10-06;12:37:41;39.10;29.30
49;Pico W_F0BB;2025-10-06;12:38:01;39.30;29.70
50;Pico W_F0BB;2025-10-06;12:38:22;39.40;29.60
51;Pico W_F0BB;2025-10-06;12:38:42;39.50;29.10
52;Pico W_F0BB;2025-10-06;12:39:02;39.60;29.40
53;Pico W_F0BB;2025-10-06;12:39:23;39.70;29.50
54;Pico W_F0BB;2025-10-06;12:39:43;39.60;28.90
55;Pico W_F0BB;2025-10-06;12:40:03;39.40;29.30
56;Pico W_F0BB;2025-10-06;12:40:24;39.40;29.00
57;Pico W_F0BB;2025-10-06;12:40:44;39.30;28.90
58;Pico W_F0BB;2025-10-06;12:41:04;39.30;28.50
59;Pico W_F0BB;2025-10-06;12:41:25;39.10;27.90
60;Pico W_F0BB;2025-10-06;12:41:45;39.00;28.70
