"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"30/09/2025";"0000";"24,0";"";"";"52,9";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"30/09/2025";"0100";"23,1";"";"";"52,7";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"30/09/2025";"0200";"22,7";"";"";"51,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"30/09/2025";"0300";"22,7";"";"";"50,6";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"30/09/2025";"0400";"21,8";"";"";"52,4";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"30/09/2025";"0500";"20,2";"";"";"57,3";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"30/09/2025";"0600";"19,7";"";"";"58,6";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"30/09/2025";"0700";"18,9";"";"";"63,1";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"30/09/2025";"0800";"18,5";"";"";"65,1";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"30/09/2025";"0900";"17,6";"";"";"69,2";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"30/09/2025";"1000";"17,8";"";"";"69,0";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"30/09/2025";"1100";"21,1";"";"";"58,7";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"30/09/2025";"1200";"24,8";"";"";"48,2";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"30/09/2025";"1300";"28,2";"";"";"37,6";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"30/09/2025";"1400";"30,4";"";"";"32,3";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"30/09/2025";"1500";"31,7";"";"";"28,6";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"30/09/2025";"1600";"32,8";"";"";"24,7";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"30/09/2025";"1700";"33,8";"";"";"22,4";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"30/09/2025";"1800";"34,4";"";"";"20,7";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"30/09/2025";"1900";"34,6";"";"";"19,7";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"30/09/2025";"2000";"33,8";"";"";"20,0";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"30/09/2025";"2100";"32,5";"";"";"21,4";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"30/09/2025";"2200";"29,5";"";"";"37,1";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"30/09/2025";"2300";"28,2";"";"";"45,9";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
