Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/10/2025;0;27,7;;;39,4;;;;;;;;;0,8;;;;0,0
01/10/2025;100;27,1;;;38,3;;;;;;;;;0,7;;;;0,0
01/10/2025;200;26,3;;;37,6;;;;;;;;;0,5;;;;0,0
01/10/2025;300;25,9;;;38,6;;;;;;;;;1,1;;;;0,0
01/10/2025;400;23,0;;;57,0;;;;;;;;;1,6;;;;0,0
01/10/2025;500;20,5;;;70,1;;;;;;;;;2,1;;;;0,0
01/10/2025;600;19,4;;;72,8;;;;;;;;;1,7;;;;0,0
01/10/2025;700;19,0;;;73,4;;;;;;;;;0,8;;;;0,0
01/10/2025;800;17,9;;;77,6;;;;;;;;;0,1;;;;0,0
01/10/2025;900;17,2;;;81,7;;;;;;;;;0,0;;;;0,0
01/10/2025;1000;17,8;;;79,8;;;;;;;;;0,1;;;;0,0
01/10/2025;1100;20,0;;;69,8;;;;;;;;;0,3;;;;0,0
01/10/2025;1200;22,4;;;59,5;;;;;;;;;0,5;;;;0,0
01/10/2025;1300;24,8;;;50,8;;;;;;;;;0,8;;;;0,0
01/10/2025;1400;26,9;;;43,4;;;;;;;;;1,0;;;;0,0
01/10/2025;1500;27,7;;;40,1;;;;;;;;;0,4;;;;0,0
01/10/2025;1600;27,7;;;40,8;;;;;;;;;0,6;;;;0,0
01/10/2025;1700;26,7;;;47,3;;;;;;;;;0,9;;;;0,0
01/10/2025;1800;25,4;;;52,1;;;;;;;;;1,1;;;;0,0
01/10/2025;1900;25,0;;;53,0;;;;;;;;;0,7;;;;0,0
01/10/2025;2000;25,0;;;53,3;;;;;;;;;1,2;;;;0,0
01/10/2025;2100;24,1;;;50,9;;;;;;;;;1,0;;;;0,0
01/10/2025;2200;22,7;;;52,0;;;;;;;;;0,6;;;;0,0
01/10/2025;2300;21,6;;;55,7;;;;;;;;;0,6;;;;0,0
02/10/2025;0;21,3;;;56,2;;;;;;;;;0,8;;;;0,0
02/10/2025;100;20,7;;;57,2;;;;;;;;;0,8;;;;0,0
02/10/2025;200;20,1;;;61,9;;;;;;;;;0,8;;;;0,0
02/10/2025;300;19,7;;;63,0;;;;;;;;;0,6;;;;0,0
02/10/2025;400;19,3;;;65,5;;;;;;;;;0,2;;;;0,0
02/10/2025;500;19,4;;;63,9;;;;;;;;;0,8;;;;0,0
02/10/2025;600;19,2;;;65,5;;;;;;;;;0,4;;;;0,0
02/10/2025;700;19,0;;;66,4;;;;;;;;;0,7;;;;0,0
02/10/2025;800;18,8;;;68,8;;;;;;;;;0,4;;;;0,0
02/10/2025;900;18,7;;;70,4;;;;;;;;;1,0;;;;0,0
02/10/2025;1000;18,8;;;70,4;;;;;;;;;0,9;;;;0,0
02/10/2025;1100;19,6;;;68,6;;;;;;;;;0,7;;;;0,0
02/10/2025;1200;20,8;;;65,8;;;;;;;;;0,9;;;;0,0
02/10/2025;1300;21,5;;;64,1;;;;;;;;;1,9;;;;0,0
02/10/2025;1400;22,2;;;61,9;;;;;;;;;1,6;;;;0,0
02/10/2025;1500;23,4;;;58,3;;;;;;;;;1,6;;;;0,0
02/10/2025;1600;25,0;;;53,8;;;;;;;;;1,3;;;;0,0
02/10/2025;1700;26,4;;;49,7;;;;;;;;;1,1;;;;0,0
02/10/2025;1800;26,7;;;49,5;;;;;;;;;1,5;;;;0,0
02/10/2025;1900;24,7;;;55,7;;;;;;;;;1,8;;;;0,0
02/10/2025;2000;23,2;;;60,8;;;;;;;;;1,3;;;;0,0
02/10/2025;2100;22,2;;;64,4;;;;;;;;;1,3;;;;0,0
02/10/2025;2200;21,0;;;68,4;;;;;;;;;1,4;;;;0,0
02/10/2025;2300;20,3;;;68,2;;;;;;;;;1,4;;;;0,0
03/10/2025;0;19,9;;;71,0;;;;;;;;;1,2;;;;0,0
03/10/2025;100;19,5;;;74,0;;;;;;;;;1,7;;;;0,0
