"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"06/10/2025";"0000";"26,8";"";"";"40,7";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"06/10/2025";"0100";"25,2";"";"";"46,3";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"06/10/2025";"0200";"24,6";"";"";"52,6";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"06/10/2025";"0300";"24,2";"";"";"56,1";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"06/10/2025";"0400";"22,8";"";"";"60,9";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"06/10/2025";"0500";"22,1";"";"";"63,2";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"06/10/2025";"0600";"21,7";"";"";"64,9";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"06/10/2025";"0700";"20,7";"";"";"67,0";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"06/10/2025";"0800";"20,0";"";"";"69,9";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"06/10/2025";"0900";"19,5";"";"";"72,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/10/2025";"1000";"20,1";"";"";"66,9";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"06/10/2025";"1100";"23,4";"";"";"56,0";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"06/10/2025";"1200";"27,0";"";"";"43,9";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"06/10/2025";"1300";"29,2";"";"";"37,7";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"06/10/2025";"1400";"31,0";"";"";"33,2";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"06/10/2025";"1500";"32,9";"";"";"28,7";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"06/10/2025";"1600";"34,1";"";"";"25,6";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"06/10/2025";"1700";"34,0";"";"";"24,8";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"06/10/2025";"1800";"34,6";"";"";"23,0";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"06/10/2025";"1900";"34,0";"";"";"22,7";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"06/10/2025";"2000";"33,8";"";"";"22,7";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"06/10/2025";"2100";"32,4";"";"";"24,7";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"06/10/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06/10/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
