Leitura,Data,Hora,Temperatura(C),Umidade(%)
1,2000-01-01,00:00:20,28.40,53.20
2,2000-01-01,00:00:40,29.30,51.80
3,2000-01-01,00:01:00,30.20,50.00
4,2000-01-01,00:01:20,30.90,48.10
5,2000-01-01,00:01:40,31.30,46.60
6,2000-01-01,00:02:00,31.10,45.90
7,2000-01-01,00:02:20,30.80,45.70
8,2000-01-01,00:02:40,30.90,45.80
9,2000-01-01,00:03:00,30.80,45.60
10,2000-01-01,00:03:20,30.70,45.70
11,2000-01-01,00:03:40,31.20,45.40
12,2000-01-01,00:04:00,31.80,44.90
13,2000-01-01,00:04:20,32.30,44.50
14,2000-01-01,00:04:40,32.70,44.10
15,2000-01-01,00:05:00,33.10,44.70
16,2000-01-01,00:05:20,33.40,43.40
17,2000-01-01,00:05:40,33.70,41.70
18,2000-01-01,00:06:00,34.10,41.00
19,2000-01-01,00:06:20,34.40,40.80
20,2000-01-01,00:06:40,34.60,40.00
21,2000-01-01,00:07:00,34.60,38.60
22,2000-01-01,00:07:20,34.30,38.50
23,2000-01-01,00:07:40,33.80,38.10
24,2000-01-01,00:08:00,32.60,39.30
25,2000-01-01,00:08:20,31.70,41.40
26,2000-01-01,00:08:40,31.50,43.30
27,2000-01-01,00:09:00,31.60,43.90
28,2000-01-01,00:09:20,31.90,43.00
29,2000-01-01,00:09:40,32.40,43.10
30,2000-01-01,00:09:59,32.80,42.70
31,2000-01-01,00:10:19,33.30,41.40
32,2000-01-01,00:10:39,33.60,40.30
33,2000-01-01,00:10:59,33.50,40.70
34,2000-01-01,00:11:19,33.70,40.70
35,2000-01-01,00:11:39,34.20,39.90
36,2000-01-01,00:11:59,34.50,39.80
37,2000-01-01,00:12:19,34.60,39.40
38,2000-01-01,00:12:39,34.80,39.20
39,2000-01-01,00:12:59,34.50,38.90
40,2000-01-01,00:13:19,34.80,38.30
41,2000-01-01,00:13:39,35.30,37.20
42,2000-01-01,00:13:59,35.70,36.70
43,2000-01-01,00:14:19,36.10,36.50
44,2000-01-01,00:14:39,36.40,35.90
45,2000-01-01,00:14:59,36.60,34.90
46,2000-01-01,00:15:19,36.80,34.80
47,2000-01-01,00:15:39,36.80,35.10
48,2000-01-01,00:15:59,36.90,35.20
49,2000-01-01,00:16:19,37.00,34.90
50,2000-01-01,00:16:39,37.00,35.10
51,2000-01-01,00:16:59,37.00,35.10
52,2000-01-01,00:17:19,36.90,35.60
53,2000-01-01,00:17:39,36.60,35.70
54,2000-01-01,00:17:59,36.60,35.70
55,2000-01-01,00:18:19,36.60,34.90
56,2000-01-01,00:18:39,36.70,34.90
57,2000-01-01,00:18:59,36.40,34.90
58,2000-01-01,00:19:19,36.30,35.20
59,2000-01-01,00:19:39,36.20,35.80
60,2000-01-01,00:19:59,36.30,35.10
61,2000-01-01,00:20:19,36.40,35.50
62,2000-01-01,00:20:39,36.40,35.60
63,2000-01-01,00:20:59,36.50,35.60
64,2000-01-01,00:21:19,36.60,35.30
65,2000-01-01,00:21:39,36.60,35.00
66,2000-01-01,00:21:59,36.20,35.60
67,2000-01-01,00:22:19,35.90,35.60
68,2000-01-01,00:22:39,35.90,36.40
69,2000-01-01,00:22:59,35.80,37.10
70,2000-01-01,00:23:19,35.90,36.90
71,2000-01-01,00:23:39,35.60,36.60
72,2000-01-01,00:23:59,35.50,37.30
73,2000-01-01,00:24:19,35.50,37.60
74,2000-01-01,00:24:39,35.70,36.60
75,2000-01-01,00:24:59,35.80,37.30
76,2000-01-01,00:25:19,35.90,36.60
77,2000-01-01,00:25:39,36.00,36.20
78,2000-01-01,00:25:59,36.10,35.40
79,2000-01-01,00:26:19,36.30,35.50
80,2000-01-01,00:26:39,36.60,35.90
81,2000-01-01,00:26:59,36.80,35.00
82,2000-01-01,00:27:19,36.90,35.00
83,2000-01-01,00:27:39,37.10,35.20
84,2000-01-01,00:27:59,37.40,35.80
85,2000-01-01,00:28:19,37.70,34.60
86,2000-01-01,00:28:39,37.70,33.60
87,2000-01-01,00:28:59,37.70,34.30
88,2000-01-01,00:29:19,38.00,34.70
89,2000-01-01,00:29:39,38.00,33.20
90,2000-01-01,00:29:59,37.70,33.50
