Leitura,Data,Hora,Temperatura(C),Umidade(%)
1,2025-10-11,13:56:52,29.00,48.80
2,2025-10-11,13:57:12,28.90,47.20
3,2025-10-11,13:57:32,28.90,48.00
4,2025-10-11,13:57:52,28.80,48.30
5,2025-10-11,13:58:12,28.80,50.30
6,2025-10-11,13:58:32,28.90,52.00
7,2025-10-11,13:58:52,28.90,52.10
8,2025-10-11,13:59:12,29.00,51.90
9,2025-10-11,13:59:32,29.00,50.50
10,2025-10-11,13:59:52,29.00,50.80
11,2025-10-11,14:00:12,29.00,51.40
12,2025-10-11,14:00:32,29.00,50.20
13,2025-10-11,14:00:52,29.10,48.30
14,2025-10-11,14:01:12,29.10,48.70
15,2025-10-11,14:01:32,29.00,48.00
16,2025-10-11,14:01:52,28.90,47.10
17,2025-10-11,14:02:12,28.80,48.30
18,2025-10-11,14:02:32,28.70,48.70
19,2025-10-11,14:02:52,28.70,48.20
20,2025-10-11,14:03:12,28.60,47.60
21,2025-10-11,14:03:32,28.60,48.00
22,2025-10-11,14:03:52,28.60,47.70
23,2025-10-11,14:04:12,28.50,47.80
24,2025-10-11,14:04:32,28.60,48.60
25,2025-10-11,14:04:52,28.60,49.90
26,2025-10-11,14:05:12,28.70,48.50
27,2025-10-11,14:05:32,28.80,48.60
28,2025-10-11,14:05:52,28.80,49.00
29,2025-10-11,14:06:12,28.80,51.30
30,2025-10-11,14:06:32,28.80,51.00
31,2025-10-11,14:06:52,28.70,50.10
32,2025-10-11,14:07:12,28.70,49.90
33,2025-10-11,14:07:32,28.70,48.40
34,2025-10-11,14:07:52,28.70,49.40
35,2025-10-11,14:08:12,28.70,50.30
36,2025-10-11,14:08:32,28.60,49.90
37,2025-10-11,14:08:52,28.60,49.10
38,2025-10-11,14:09:12,28.50,47.70
39,2025-10-11,14:09:32,28.50,49.30
40,2025-10-11,14:09:52,28.50,48.50
41,2025-10-11,14:10:12,28.40,47.90
42,2025-10-11,14:10:32,28.40,47.20
43,2025-10-11,14:10:52,28.30,47.40
44,2025-10-11,14:11:12,28.30,48.20
45,2025-10-11,14:11:32,28.20,48.00
46,2025-10-11,14:11:52,28.20,48.70
47,2025-10-11,14:12:12,28.10,49.10
48,2025-10-11,14:12:32,28.10,48.70
49,2025-10-11,14:12:52,28.10,49.00
50,2025-10-11,14:13:12,28.10,49.10
51,2025-10-11,14:13:32,28.10,48.90
52,2025-10-11,14:13:52,28.10,51.00
53,2025-10-11,14:14:12,28.00,51.90
54,2025-10-11,14:14:32,27.90,50.10
55,2025-10-11,14:14:52,27.90,50.00
56,2025-10-11,14:15:12,27.90,49.90
57,2025-10-11,14:15:32,27.90,49.70
58,2025-10-11,14:15:52,27.90,51.20
59,2025-10-11,14:16:12,27.90,50.10
60,2025-10-11,14:16:32,27.90,49.90
61,2025-10-11,14:16:52,27.90,50.90
62,2025-10-11,14:17:12,28.00,50.40
63,2025-10-11,14:17:32,28.00,50.80
64,2025-10-11,14:17:52,28.10,50.60
65,2025-10-11,14:18:12,28.10,48.90
66,2025-10-11,14:18:32,28.10,50.40
67,2025-10-11,14:18:52,28.10,49.00
68,2025-10-11,14:19:12,28.10,49.10
69,2025-10-11,14:19:32,28.10,48.90
70,2025-10-11,14:19:52,28.20,48.60
71,2025-10-11,14:20:12,28.10,49.20
72,2025-10-11,14:20:32,28.20,49.30
73,2025-10-11,14:20:52,28.20,48.20
74,2025-10-11,14:21:12,28.20,48.60
75,2025-10-11,14:21:32,28.20,48.50
76,2025-10-11,14:21:52,28.20,50.50
77,2025-10-11,14:22:12,28.30,50.50
78,2025-10-11,14:22:32,28.30,49.50
79,2025-10-11,14:22:52,28.30,49.30
80,2025-10-11,14:23:12,28.30,49.10
81,2025-10-11,14:23:32,28.30,49.10
82,2025-10-11,14:23:52,28.30,47.70
83,2025-10-11,14:24:12,28.30,48.00
84,2025-10-11,14:24:32,28.30,48.20
85,2025-10-11,14:24:52,28.30,48.50
86,2025-10-11,14:25:12,28.40,49.60
87,2025-10-11,14:25:32,28.40,50.00
88,2025-10-11,14:25:52,28.40,49.10
89,2025-10-11,14:26:12,28.50,48.70
90,2025-10-11,14:26:32,28.50,48.90
91,2025-10-11,14:26:52,28.50,48.90
92,2025-10-11,14:27:12,28.50,49.60
93,2025-10-11,14:27:32,28.60,49.40
94,2025-10-11,14:27:52,28.50,49.10
95,2025-10-11,14:28:12,28.50,50.10
96,2025-10-11,14:28:32,28.50,49.80
97,2025-10-11,14:28:52,28.50,49.10
98,2025-10-11,14:29:12,28.50,48.20
99,2025-10-11,14:29:32,28.40,48.50
100,2025-10-11,14:29:52,28.20,49.00
101,2025-10-11,14:30:12,28.20,48.50
102,2025-10-11,14:30:32,28.10,49.30
103,2025-10-11,14:30:52,28.00,51.00
104,2025-10-11,14:31:12,28.00,51.50
105,2025-10-11,14:31:32,27.90,49.90
106,2025-10-11,14:31:52,27.80,49.90
107,2025-10-11,14:32:12,27.80,50.90
108,2025-10-11,14:32:32,27.60,50.70
109,2025-10-11,14:32:52,27.60,50.80
110,2025-10-11,14:33:12,27.50,51.50
111,2025-10-11,14:33:32,27.40,50.70
112,2025-10-11,14:33:52,27.40,50.80
113,2025-10-11,14:34:12,27.30,50.60
114,2025-10-11,14:34:32,27.30,52.40
115,2025-10-11,14:34:52,27.20,51.40
116,2025-10-11,14:35:12,27.20,50.70
117,2025-10-11,14:35:32,27.10,51.80
118,2025-10-11,14:35:52,27.10,52.00
119,2025-10-11,14:36:12,27.10,53.20
120,2025-10-11,14:36:32,27.00,54.00
121,2025-10-11,14:36:52,27.00,53.80
122,2025-10-11,14:37:12,26.90,54.60
123,2025-10-11,14:37:32,26.90,54.70
124,2025-10-11,14:37:52,26.90,52.80
125,2025-10-11,14:38:12,26.90,52.50
126,2025-10-11,14:38:32,27.00,52.60
127,2025-10-11,14:38:52,27.00,53.20
128,2025-10-11,14:39:12,27.10,52.50
129,2025-10-11,14:39:32,27.20,52.60
130,2025-10-11,14:39:52,27.30,50.10
131,2025-10-11,14:40:12,27.40,49.20
132,2025-10-11,14:40:32,27.50,49.10
133,2025-10-11,14:40:52,27.50,49.20
134,2025-10-11,14:41:12,27.60,48.50
135,2025-10-11,14:41:32,27.60,48.70
136,2025-10-11,14:41:52,27.70,48.60
137,2025-10-11,14:42:12,27.80,48.80
138,2025-10-11,14:42:32,27.80,49.20
139,2025-10-11,14:42:52,27.90,49.70
140,2025-10-11,14:43:12,28.00,50.20
141,2025-10-11,14:43:32,28.10,50.20
142,2025-10-11,14:43:52,28.20,49.40
143,2025-10-11,14:44:12,28.30,48.80
144,2025-10-11,14:44:32,28.30,48.90
145,2025-10-11,14:44:52,28.30,49.00
146,2025-10-11,14:45:12,28.40,48.90
147,2025-10-11,14:45:32,28.40,48.50
148,2025-10-11,14:45:52,28.40,48.60
149,2025-10-11,14:46:12,28.50,49.00
150,2025-10-11,14:46:32,28.50,48.80
151,2025-10-11,14:46:52,28.60,48.00
152,2025-10-11,14:47:12,28.60,47.70
153,2025-10-11,14:47:32,28.60,47.60
154,2025-10-11,14:47:52,28.60,47.80
155,2025-10-11,14:48:12,28.60,49.10
156,2025-10-11,14:48:32,28.60,51.30
157,2025-10-11,14:48:52,28.60,51.00
158,2025-10-11,14:49:12,28.50,48.30
159,2025-10-11,14:49:32,28.50,47.30
160,2025-10-11,14:49:52,28.50,46.80
161,2025-10-11,14:50:12,28.50,46.80
162,2025-10-11,14:50:32,28.50,47.50
163,2025-10-11,14:50:52,28.50,48.00
164,2025-10-11,14:51:12,28.50,47.60
165,2025-10-11,14:51:32,28.40,48.50
166,2025-10-11,14:51:52,28.40,49.30
167,2025-10-11,14:52:12,28.40,47.90
168,2025-10-11,14:52:32,28.40,47.30
169,2025-10-11,14:52:52,28.30,47.20
170,2025-10-11,14:53:12,28.30,48.20
171,2025-10-11,14:53:32,28.20,47.30
172,2025-10-11,14:53:52,28.10,48.90
173,2025-10-11,14:54:12,28.00,48.00
174,2025-10-11,14:54:32,28.00,48.50
175,2025-10-11,14:54:52,27.90,48.90
176,2025-10-11,14:55:12,27.80,49.80
177,2025-10-11,14:55:32,27.80,48.80
178,2025-10-11,14:55:52,27.80,48.90
179,2025-10-11,14:56:12,27.70,48.80
180,2025-10-11,14:56:32,27.70,49.10
181,2025-10-11,14:56:52,27.60,49.70
182,2025-10-11,14:57:12,27.60,50.00
183,2025-10-11,14:57:32,27.60,49.60
