Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;12/10/2025;10:45:46;28.6;53.1
2;Pico W_F0BB;12/10/2025;10:46:06;28.7;52.7
3;Pico W_F0BB;12/10/2025;10:46:26;28.7;52.7
4;Pico W_F0BB;12/10/2025;10:46:47;28.7;52.5
5;Pico W_F0BB;12/10/2025;10:47:07;28.7;52.6
6;Pico W_F0BB;12/10/2025;10:47:27;28.8;52.6
7;Pico W_F0BB;12/10/2025;10:47:48;28.8;52.7
8;Pico W_F0BB;12/10/2025;10:48:08;28.8;52.6
9;Pico W_F0BB;12/10/2025;10:48:28;28.7;52.9
10;Pico W_F0BB;12/10/2025;10:48:49;28.7;52.9
11;Pico W_F0BB;12/10/2025;10:49:09;28.7;53
12;Pico W_F0BB;12/10/2025;10:49:29;28.7;53.1
13;Pico W_F0BB;12/10/2025;10:49:50;28.6;53
14;Pico W_F0BB;12/10/2025;10:50:10;28.5;53.1
15;Pico W_F0BB;12/10/2025;10:50:30;28.5;53.1
16;Pico W_F0BB;12/10/2025;10:50:50;28.5;53.2
17;Pico W_F0BB;12/10/2025;10:51:11;28.5;53.3
18;Pico W_F0BB;12/10/2025;10:51:31;28.5;53.3
19;Pico W_F0BB;12/10/2025;10:51:51;28.4;53.4
20;Pico W_F0BB;12/10/2025;10:52:12;28.4;53.5
21;Pico W_F0BB;12/10/2025;10:52:32;28.4;53.5
22;Pico W_F0BB;12/10/2025;10:52:52;28.4;53.6
23;Pico W_F0BB;12/10/2025;10:53:13;28.4;53.6
24;Pico W_F0BB;12/10/2025;10:53:33;28.5;53.5
25;Pico W_F0BB;12/10/2025;10:53:53;28.6;53.3
26;Pico W_F0BB;12/10/2025;10:54:13;28.6;53.3
27;Pico W_F0BB;12/10/2025;10:54:34;28.7;53.1
28;Pico W_F0BB;12/10/2025;10:54:54;28.7;53.3
29;Pico W_F0BB;12/10/2025;10:55:14;28.8;52.9
30;Pico W_F0BB;12/10/2025;10:55:35;28.8;52.6
31;Pico W_F0BB;12/10/2025;10:55:55;28.9;52.7
32;Pico W_F0BB;12/10/2025;10:56:15;28.9;52.7
33;Pico W_F0BB;12/10/2025;10:56:36;28.9;52.7
34;Pico W_F0BB;12/10/2025;10:56:56;29;52.6
35;Pico W_F0BB;12/10/2025;10:57:16;28.9;52.6
36;Pico W_F0BB;12/10/2025;10:57:37;28.9;52.7
37;Pico W_F0BB;12/10/2025;10:57:57;28.9;52.8
38;Pico W_F0BB;12/10/2025;10:58:17;29;52.6
39;Pico W_F0BB;12/10/2025;10:58:37;29;52.6
40;Pico W_F0BB;12/10/2025;10:58:58;29;52.5
41;Pico W_F0BB;12/10/2025;10:59:18;28.9;52.5
42;Pico W_F0BB;12/10/2025;10:59:38;28.9;52.7
43;Pico W_F0BB;12/10/2025;10:59:59;28.9;52.7
44;Pico W_F0BB;12/10/2025;11:00:19;28.9;52.8
45;Pico W_F0BB;12/10/2025;11:00:39;29;52.6
46;Pico W_F0BB;12/10/2025;11:01:00;29.2;52.7
47;Pico W_F0BB;12/10/2025;11:01:20;29.3;52.4
48;Pico W_F0BB;12/10/2025;11:01:40;29.4;52.1
49;Pico W_F0BB;12/10/2025;11:02:00;29.4;52
50;Pico W_F0BB;12/10/2025;11:02:21;29.3;52.3
51;Pico W_F0BB;12/10/2025;11:02:41;29.3;52.2
52;Pico W_F0BB;12/10/2025;11:03:01;29.2;52.2
53;Pico W_F0BB;12/10/2025;11:03:22;29.3;52
54;Pico W_F0BB;12/10/2025;11:03:42;29.3;52
55;Pico W_F0BB;12/10/2025;11:04:02;29.3;52
56;Pico W_F0BB;12/10/2025;11:04:23;29.3;52
57;Pico W_F0BB;12/10/2025;11:04:43;29.2;52.2
58;Pico W_F0BB;12/10/2025;11:05:03;29.1;52.3
59;Pico W_F0BB;12/10/2025;11:05:24;29.1;52.3
60;Pico W_F0BB;12/10/2025;11:05:44;29.1;52.6
61;Pico W_F0BB;12/10/2025;11:06:04;29.1;52.6
62;Pico W_F0BB;12/10/2025;11:06:24;29.1;52.5
63;Pico W_F0BB;12/10/2025;11:06:45;29.1;52.6
64;Pico W_F0BB;12/10/2025;11:07:05;29.1;52.9
65;Pico W_F0BB;12/10/2025;11:07:25;29.2;52.9
66;Pico W_F0BB;12/10/2025;11:07:46;29.2;52.6
67;Pico W_F0BB;12/10/2025;11:08:06;29.2;52.6
68;Pico W_F0BB;12/10/2025;11:08:26;29.3;52.5
69;Pico W_F0BB;12/10/2025;11:08:47;29.3;52.4
70;Pico W_F0BB;12/10/2025;11:09:07;29.3;52.4
71;Pico W_F0BB;12/10/2025;11:09:27;29.3;52.5
72;Pico W_F0BB;12/10/2025;11:09:48;29.3;52.3
73;Pico W_F0BB;12/10/2025;11:10:08;29.3;52.3
74;Pico W_F0BB;12/10/2025;11:10:28;29.3;51.9
75;Pico W_F0BB;12/10/2025;11:10:48;29.2;52.3
76;Pico W_F0BB;12/10/2025;11:11:09;29.2;52.4
77;Pico W_F0BB;12/10/2025;11:11:29;29.2;52.5
78;Pico W_F0BB;12/10/2025;11:11:49;29.2;52.4
79;Pico W_F0BB;12/10/2025;11:12:10;29.1;52.4
80;Pico W_F0BB;12/10/2025;11:12:30;29.1;52.4
81;Pico W_F0BB;12/10/2025;11:12:50;29.1;52.4
82;Pico W_F0BB;12/10/2025;11:13:11;29.1;52.5
83;Pico W_F0BB;12/10/2025;11:13:31;29.1;52.6
84;Pico W_F0BB;12/10/2025;11:13:51;29.1;52.5
85;Pico W_F0BB;12/10/2025;11:14:11;29.2;52.5
86;Pico W_F0BB;12/10/2025;11:14:32;29.2;52.5
87;Pico W_F0BB;12/10/2025;11:14:52;29.2;52.3
88;Pico W_F0BB;12/10/2025;11:15:12;29.1;52.3
89;Pico W_F0BB;12/10/2025;11:15:33;29;51.7
90;Pico W_F0BB;12/10/2025;11:15:53;29;52.1
91;Pico W_F0BB;12/10/2025;11:16:13;28.9;52.3
92;Pico W_F0BB;12/10/2025;11:16:34;28.9;52.3
93;Pico W_F0BB;12/10/2025;11:16:54;28.9;52.3
94;Pico W_F0BB;12/10/2025;11:17:14;28.9;52.5
95;Pico W_F0BB;12/10/2025;11:17:35;28.9;52.4
96;Pico W_F0BB;12/10/2025;11:17:55;28.9;52.3
97;Pico W_F0BB;12/10/2025;11:18:15;28.9;52.5
98;Pico W_F0BB;12/10/2025;11:18:35;28.9;52.7
99;Pico W_F0BB;12/10/2025;11:18:56;29;52.8
100;Pico W_F0BB;12/10/2025;11:19:16;29.1;53
101;Pico W_F0BB;12/10/2025;11:19:36;29.2;52.8
102;Pico W_F0BB;12/10/2025;11:19:57;29.3;52.4
103;Pico W_F0BB;12/10/2025;11:20:17;29.3;52.2
104;Pico W_F0BB;12/10/2025;11:20:37;29.4;52
105;Pico W_F0BB;12/10/2025;11:20:58;29.3;52
106;Pico W_F0BB;12/10/2025;11:21:18;29.3;51.7
107;Pico W_F0BB;12/10/2025;11:21:38;29.3;51.6
108;Pico W_F0BB;12/10/2025;11:21:59;29.3;51.9
109;Pico W_F0BB;12/10/2025;11:22:19;29.2;52
110;Pico W_F0BB;12/10/2025;11:22:39;29.2;51.9
111;Pico W_F0BB;12/10/2025;11:22:59;29.2;52.1
112;Pico W_F0BB;12/10/2025;11:23:20;29.2;52.2
113;Pico W_F0BB;12/10/2025;11:23:40;29.2;52
114;Pico W_F0BB;12/10/2025;11:24:00;29.2;51.9
115;Pico W_F0BB;12/10/2025;11:24:21;29.2;51.5
116;Pico W_F0BB;12/10/2025;11:24:41;29.2;51.2
117;Pico W_F0BB;12/10/2025;11:25:01;29.2;50.8
118;Pico W_F0BB;12/10/2025;11:25:22;29.2;51.6
119;Pico W_F0BB;12/10/2025;11:25:42;29.2;51.6
120;Pico W_F0BB;12/10/2025;11:26:02;29.2;51.9
121;Pico W_F0BB;12/10/2025;11:26:22;29.1;52
122;Pico W_F0BB;12/10/2025;11:26:43;29.1;51.2
123;Pico W_F0BB;12/10/2025;11:27:03;29.1;51.3
124;Pico W_F0BB;12/10/2025;11:27:23;29.2;51.3
125;Pico W_F0BB;12/10/2025;11:27:44;29.2;51.4
126;Pico W_F0BB;12/10/2025;11:28:04;29.2;51.5
127;Pico W_F0BB;12/10/2025;11:28:24;29.1;51.3
128;Pico W_F0BB;12/10/2025;11:28:45;29.2;50.7
129;Pico W_F0BB;12/10/2025;11:29:05;29.3;50.7
130;Pico W_F0BB;12/10/2025;11:29:25;29.3;51.2
