Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;13/10/2025;08:49:08;25.4;68.3
2;Pico W_F0BB;13/10/2025;08:49:28;25.5;68.1
3;Pico W_F0BB;13/10/2025;08:49:48;25.5;67.6
4;Pico W_F0BB;13/10/2025;08:50:09;25.3;67.7
5;Pico W_F0BB;13/10/2025;08:50:29;25.3;68.2
6;Pico W_F0BB;13/10/2025;08:50:49;25.3;68.3
7;Pico W_F0BB;13/10/2025;08:51:10;25.4;68.5
8;Pico W_F0BB;13/10/2025;08:51:30;25.4;68.4
9;Pico W_F0BB;13/10/2025;08:51:50;25.5;68.2
10;Pico W_F0BB;13/10/2025;08:52:11;25.6;67.8
11;Pico W_F0BB;13/10/2025;08:52:31;25.6;67.6
12;Pico W_F0BB;13/10/2025;08:52:51;25.7;67.3
13;Pico W_F0BB;13/10/2025;08:53:12;25.8;67.1
14;Pico W_F0BB;13/10/2025;08:53:32;25.8;66.9
15;Pico W_F0BB;13/10/2025;08:53:52;25.8;66.9
16;Pico W_F0BB;13/10/2025;08:54:12;25.8;66.6
17;Pico W_F0BB;13/10/2025;08:54:33;25.7;66.5
18;Pico W_F0BB;13/10/2025;08:54:53;25.7;66.7
19;Pico W_F0BB;13/10/2025;08:55:13;25.7;67.1
20;Pico W_F0BB;13/10/2025;08:55:34;25.6;67
21;Pico W_F0BB;13/10/2025;08:55:54;25.7;67.2
22;Pico W_F0BB;13/10/2025;08:56:14;25.7;67.1
23;Pico W_F0BB;13/10/2025;08:56:35;25.8;67.1
24;Pico W_F0BB;13/10/2025;08:56:55;25.8;67
25;Pico W_F0BB;13/10/2025;08:57:15;25.8;66.9
26;Pico W_F0BB;13/10/2025;08:57:35;25.8;66.9
27;Pico W_F0BB;13/10/2025;08:57:56;25.8;66.9
28;Pico W_F0BB;13/10/2025;08:58:16;25.8;66.9
29;Pico W_F0BB;13/10/2025;08:58:36;25.8;66.9
30;Pico W_F0BB;13/10/2025;08:58:57;25.7;67.1
31;Pico W_F0BB;13/10/2025;08:59:17;25.7;67.2
32;Pico W_F0BB;13/10/2025;08:59:37;25.7;67.3
33;Pico W_F0BB;13/10/2025;08:59:58;25.7;67.5
34;Pico W_F0BB;13/10/2025;09:00:18;25.6;67.3
35;Pico W_F0BB;13/10/2025;09:00:38;25.3;67.6
36;Pico W_F0BB;13/10/2025;09:00:59;25.2;68.2
37;Pico W_F0BB;13/10/2025;09:01:19;25.1;68.7
38;Pico W_F0BB;13/10/2025;09:01:39;25.1;68.9
39;Pico W_F0BB;13/10/2025;09:01:59;25.1;68.7
40;Pico W_F0BB;13/10/2025;09:02:20;25.2;68.7
41;Pico W_F0BB;13/10/2025;09:02:40;25.2;68.5
42;Pico W_F0BB;13/10/2025;09:03:00;25.2;68.6
43;Pico W_F0BB;13/10/2025;09:03:21;25.3;68.5
44;Pico W_F0BB;13/10/2025;09:03:41;25.3;68.7
45;Pico W_F0BB;13/10/2025;09:04:01;25.3;68.4
46;Pico W_F0BB;13/10/2025;09:04:22;25.3;68.4
47;Pico W_F0BB;13/10/2025;09:04:42;25.3;68.3
48;Pico W_F0BB;13/10/2025;09:05:02;25.4;68.3
49;Pico W_F0BB;13/10/2025;09:05:22;25.3;68.3
50;Pico W_F0BB;13/10/2025;09:05:43;25.4;68.4
51;Pico W_F0BB;13/10/2025;09:06:03;25.3;68.4
52;Pico W_F0BB;13/10/2025;09:06:23;25.4;68.3
53;Pico W_F0BB;13/10/2025;09:06:44;25.3;68.3
54;Pico W_F0BB;13/10/2025;09:07:04;25.3;68.3
55;Pico W_F0BB;13/10/2025;09:07:24;25.3;68.4
56;Pico W_F0BB;13/10/2025;09:07:45;25.3;68.4
57;Pico W_F0BB;13/10/2025;09:08:05;25.2;68.4
58;Pico W_F0BB;13/10/2025;09:08:25;25.2;68.6
59;Pico W_F0BB;13/10/2025;09:08:46;25.2;68.6
60;Pico W_F0BB;13/10/2025;09:09:06;25.2;68.7
