Dispositivo;Data;Hora;Temperatura;Umidade;;
INMET;15/10/2025;00:00;17,9;89;;
INMET;15/10/2025;01:00;17,7;90;;
INMET;15/10/2025;02:00;17,5;90;;
INMET;15/10/2025;03:00;17,5;90;;
INMET;15/10/2025;04:00;17,4;91;;
INMET;15/10/2025;05:00;17,2;92;;
INMET;15/10/2025;06:00;17;92;;
INMET;15/10/2025;07:00;17;91;;
INMET;15/10/2025;08:00;17,8;87;;
INMET;15/10/2025;09:00;19,4;77;;
INMET;15/10/2025;10:00;22,1;64;;
INMET;15/10/2025;11:00;23,8;58;;
INMET;15/10/2025;12:00;25,6;51;;
INMET;15/10/2025;13:00;27,2;45;;
INMET;15/10/2025;14:00;28,6;41;;
INMET;15/10/2025;15:00;29,3;39;;
INMET;15/10/2025;16:00;30,1;37;;
INMET;15/10/2025;17:00;28,7;42;;
INMET;15/10/2025;18:00;25,5;50;;
INMET;15/10/2025;19:00;23,2;58;;
INMET;15/10/2025;20:00;22;63;;
INMET;15/10/2025;21:00;21,3;66;;
INMET;15/10/2025;22:00;20,8;69;;
INMET;15/10/2025;23:00;20,5;71;;
