Leitura;Data;Hora;Temperatura;Umidade
1;16/10/2025;05:59:55;15.3;90.6
2;16/10/2025;06:00:15;15.3;90.5
3;16/10/2025;06:00:35;15.3;90.6
4;16/10/2025;06:00:55;15.3;90.4
5;16/10/2025;06:01:15;15.3;90.3
6;16/10/2025;06:01:35;15.3;90.2
7;16/10/2025;06:01:55;15.3;90.2
8;16/10/2025;06:02:15;15.3;90.2
9;16/10/2025;06:02:34;15.3;90.2
10;16/10/2025;06:02:54;15.4;90.2
11;16/10/2025;06:03:14;15.3;90.2
12;16/10/2025;06:03:34;15.3;90.3
13;16/10/2025;06:03:54;15.3;90.3
14;16/10/2025;06:04:14;15.3;90.2
15;16/10/2025;06:04:34;15.3;90
16;16/10/2025;06:04:54;15.4;90
17;16/10/2025;06:05:14;15.4;90
18;16/10/2025;06:05:34;15.4;90.1
19;16/10/2025;06:05:54;15.4;90.2
20;16/10/2025;06:06:14;15.4;90.1
21;16/10/2025;06:06:34;15.4;90.1
22;16/10/2025;06:06:54;15.4;90.1
23;16/10/2025;06:07:14;15.4;90.1
24;16/10/2025;06:07:34;15.4;89.9
25;16/10/2025;06:07:54;15.4;90
26;16/10/2025;06:08:14;15.4;89.9
27;16/10/2025;06:08:34;15.4;90
28;16/10/2025;06:08:54;15.3;90.1
29;16/10/2025;06:09:14;15.3;90.1
30;16/10/2025;06:09:34;15.3;90.2
31;16/10/2025;06:09:54;15.3;90.3
32;16/10/2025;06:10:14;15.3;90.3
33;16/10/2025;06:10:34;15.3;90.4
34;16/10/2025;06:10:54;15.3;90.5
35;16/10/2025;06:11:14;15.3;90.6
36;16/10/2025;06:11:34;15.3;90.7
37;16/10/2025;06:11:54;15.3;90.7
38;16/10/2025;06:12:14;15.3;90.9
39;16/10/2025;06:12:34;15.3;90.9
40;16/10/2025;06:12:54;15.3;90.9
41;16/10/2025;06:13:14;15.2;90.9
42;16/10/2025;06:13:34;15.3;91
43;16/10/2025;06:13:54;15.3;90.9
44;16/10/2025;06:14:14;15.3;90.9
45;16/10/2025;06:14:34;15.3;90.9
46;16/10/2025;06:14:54;15.3;90.9
47;16/10/2025;06:15:14;15.3;90.8
48;16/10/2025;06:15:34;15.3;90.9
49;16/10/2025;06:15:54;15.3;90.8
50;16/10/2025;06:16:14;15.3;90.8
51;16/10/2025;06:16:34;15.3;90.8
52;16/10/2025;06:16:54;15.3;90.8
53;16/10/2025;06:17:14;15.3;90.8
54;16/10/2025;06:17:34;15.3;90.8
55;16/10/2025;06:17:54;15.3;90.8
56;16/10/2025;06:18:14;15.3;90.8
57;16/10/2025;06:18:34;15.3;90.9
58;16/10/2025;06:18:54;15.3;90.9
59;16/10/2025;06:19:14;15.3;90.8
60;16/10/2025;06:19:34;15.3;90.8
61;16/10/2025;06:19:54;15.3;90.9
62;16/10/2025;06:20:14;15.4;90.9
63;16/10/2025;06:20:34;15.4;90.8
64;16/10/2025;06:20:54;15.4;90.9
65;16/10/2025;06:21:14;15.4;90.8
66;16/10/2025;06:21:34;15.4;90.9
67;16/10/2025;06:21:54;15.4;90.9
68;16/10/2025;06:22:14;15.4;90.8
69;16/10/2025;06:22:34;15.5;90.8
70;16/10/2025;06:22:54;15.5;90.9
71;16/10/2025;06:23:14;15.4;90.9
72;16/10/2025;06:23:34;15.5;90.9
73;16/10/2025;06:23:54;15.5;90.9
74;16/10/2025;06:24:14;15.5;90.9
75;16/10/2025;06:24:34;15.5;90.9
76;16/10/2025;06:24:54;15.5;91
77;16/10/2025;06:25:14;15.5;91
78;16/10/2025;06:25:34;15.5;91
79;16/10/2025;06:25:54;15.5;91
80;16/10/2025;06:26:14;15.5;91
81;16/10/2025;06:26:34;15.5;91
82;16/10/2025;06:26:54;15.5;90.8
83;16/10/2025;06:27:14;15.5;90.7
84;16/10/2025;06:27:34;15.5;90.7
85;16/10/2025;06:27:54;15.5;90.8
86;16/10/2025;06:28:14;15.6;90.8
87;16/10/2025;06:28:34;15.6;90.8
88;16/10/2025;06:28:54;15.5;90.8
89;16/10/2025;06:29:14;15.6;90.8
90;16/10/2025;06:29:34;15.6;90.8
91;16/10/2025;06:29:54;15.6;90.9
92;16/10/2025;06:30:14;15.6;90.9
93;16/10/2025;06:30:34;15.6;90.9
94;16/10/2025;06:30:54;15.6;90.9
95;16/10/2025;06:31:14;15.6;91
96;16/10/2025;06:31:34;15.6;91.1
97;16/10/2025;06:31:54;15.6;91.2
98;16/10/2025;06:32:14;15.6;91.2
99;16/10/2025;06:32:34;15.6;91.2
100;16/10/2025;06:32:54;15.7;91.3
101;16/10/2025;06:33:14;15.7;91.3
102;16/10/2025;06:33:34;15.7;91.2
103;16/10/2025;06:33:54;15.7;91.2
104;16/10/2025;06:34:14;15.7;91.3
105;16/10/2025;06:34:34;15.7;91.3
106;16/10/2025;06:34:54;15.8;91.3
107;16/10/2025;06:35:14;15.8;91.2
108;16/10/2025;06:35:34;15.8;91.2
109;16/10/2025;06:35:54;15.8;91.1
110;16/10/2025;06:36:14;15.8;91
111;16/10/2025;06:36:34;15.8;90.8
112;16/10/2025;06:36:54;15.9;90.9
113;16/10/2025;06:37:14;15.9;90.9
114;16/10/2025;06:37:34;15.9;90.9
115;16/10/2025;06:37:54;15.9;91
116;16/10/2025;06:38:14;15.9;91
117;16/10/2025;06:38:34;15.9;91
118;16/10/2025;06:38:54;15.9;90.9
119;16/10/2025;06:39:14;16;90.9
120;16/10/2025;06:39:34;16;90.9
121;16/10/2025;06:39:54;16;90.9
122;16/10/2025;06:40:14;16;90.9
123;16/10/2025;06:40:34;16;90.9
124;16/10/2025;06:40:54;16;90.9
125;16/10/2025;06:41:14;16;90.9
126;16/10/2025;06:41:34;16.1;90.8
127;16/10/2025;06:41:54;16.1;90.8
128;16/10/2025;06:42:14;16.1;90.8
129;16/10/2025;06:42:34;16.1;90.7
130;16/10/2025;06:42:54;16.1;90.7
131;16/10/2025;06:43:14;16.1;90.6
132;16/10/2025;06:43:34;16.1;90.7
133;16/10/2025;06:43:54;16.1;90.7
134;16/10/2025;06:44:14;16.1;90.6
135;16/10/2025;06:44:34;16.1;90.5
136;16/10/2025;06:44:54;16.2;90.5
137;16/10/2025;06:45:14;16.2;90.5
138;16/10/2025;06:45:34;16.2;90.4
139;16/10/2025;06:45:54;16.2;90.4
140;16/10/2025;06:46:14;16.2;90.3
141;16/10/2025;06:46:34;16.2;90.3
142;16/10/2025;06:46:54;16.2;90.3
143;16/10/2025;06:47:14;16.3;90.3
144;16/10/2025;06:47:34;16.3;90.2
145;16/10/2025;06:47:54;16.3;90.1
146;16/10/2025;06:48:14;16.3;90
147;16/10/2025;06:48:34;16.3;90
148;16/10/2025;06:48:54;16.3;89.9
149;16/10/2025;06:49:14;16.3;89.8
150;16/10/2025;06:49:34;16.4;89.8
151;16/10/2025;06:49:54;16.4;89.9
152;16/10/2025;06:50:14;16.4;89.7
153;16/10/2025;06:50:34;16.4;89.6
154;16/10/2025;06:50:54;16.4;89.4
155;16/10/2025;06:51:14;16.4;89.2
156;16/10/2025;06:51:34;16.4;88.7
157;16/10/2025;06:51:54;16.5;88.6
158;16/10/2025;06:52:14;16.5;88.9
159;16/10/2025;06:52:34;16.5;89.2
160;16/10/2025;06:52:54;16.5;89.3
161;16/10/2025;06:53:14;16.5;89.3
162;16/10/2025;06:53:34;16.5;89.2
163;16/10/2025;06:53:54;16.5;89
164;16/10/2025;06:54:14;16.5;88.9
165;16/10/2025;06:54:34;16.5;89.1
166;16/10/2025;06:54:54;16.5;89.2
167;16/10/2025;06:55:14;16.5;89.3
168;16/10/2025;06:55:34;16.6;89.4
169;16/10/2025;06:55:54;16.6;89.5
170;16/10/2025;06:56:14;16.6;89.7
171;16/10/2025;06:56:34;16.6;89.7
172;16/10/2025;06:56:54;16.6;89.6
173;16/10/2025;06:57:14;16.6;89.5
174;16/10/2025;06:57:34;16.6;89.6
175;16/10/2025;06:57:54;16.6;89.6
176;16/10/2025;06:58:14;16.7;89.3
177;16/10/2025;06:58:34;16.7;89.2
178;16/10/2025;06:58:54;16.7;89
179;16/10/2025;06:59:14;16.7;88.7
180;16/10/2025;06:59:34;16.8;88.6
181;16/10/2025;06:59:54;16.8;88.8
182;16/10/2025;07:00:14;16.8;88.8
183;16/10/2025;07:00:34;16.8;88.9
184;16/10/2025;07:00:54;16.8;89.1
185;16/10/2025;07:01:14;16.8;89
186;16/10/2025;07:01:34;16.8;88.9
187;16/10/2025;07:01:54;16.9;88.8
188;16/10/2025;07:02:14;16.9;88.5
189;16/10/2025;07:02:34;16.9;88.5
190;16/10/2025;07:02:54;16.9;88.3
191;16/10/2025;07:03:14;16.9;88.1
192;16/10/2025;07:03:34;17;87.9
193;16/10/2025;07:03:54;17;87.6
194;16/10/2025;07:04:14;17.1;87.4
195;16/10/2025;07:04:34;17.1;87.3
196;16/10/2025;07:04:54;17.1;87.3
197;16/10/2025;07:05:14;17.1;87.2
198;16/10/2025;07:05:34;17.2;87.1
199;16/10/2025;07:05:54;17.2;86.9
200;16/10/2025;07:06:14;17.2;86.6
201;16/10/2025;07:06:34;17.3;86.2
202;16/10/2025;07:06:54;17.3;86.2
203;16/10/2025;07:07:14;17.4;86.4
204;16/10/2025;07:07:34;17.4;86.4
205;16/10/2025;07:07:54;17.4;86.5
206;16/10/2025;07:08:14;17.4;86.5
207;16/10/2025;07:08:34;17.4;86.5
208;16/10/2025;07:08:54;17.5;86.5
209;16/10/2025;07:09:14;17.5;86.1
210;16/10/2025;07:09:34;17.5;85.8
211;16/10/2025;07:09:54;17.5;85.7
212;16/10/2025;07:10:14;17.6;85.6
213;16/10/2025;07:10:34;17.6;86
214;16/10/2025;07:10:54;17.6;86.4
215;16/10/2025;07:11:14;17.6;86.5
216;16/10/2025;07:11:34;17.6;86.6
217;16/10/2025;07:11:54;17.6;86.4
218;16/10/2025;07:12:14;17.6;86.1
219;16/10/2025;07:12:34;17.7;85.8
220;16/10/2025;07:12:54;17.7;85.6
221;16/10/2025;07:13:14;17.7;85.5
222;16/10/2025;07:13:34;17.7;85.6
223;16/10/2025;07:13:54;17.7;85.6
224;16/10/2025;07:14:14;17.8;85.7
225;16/10/2025;07:14:34;17.8;85.9
226;16/10/2025;07:14:54;17.8;86.1
227;16/10/2025;07:15:14;17.8;86.1
228;16/10/2025;07:15:34;17.8;85.9
229;16/10/2025;07:15:54;17.8;86
230;16/10/2025;07:16:14;17.8;86.1
231;16/10/2025;07:16:34;17.8;86.2
232;16/10/2025;07:16:54;17.8;86
233;16/10/2025;07:17:14;17.8;86.2
234;16/10/2025;07:17:34;17.8;86.3
235;16/10/2025;07:17:54;17.8;86.2
236;16/10/2025;07:18:14;17.8;86.1
237;16/10/2025;07:18:34;17.8;86.2
238;16/10/2025;07:18:54;17.8;86.3
239;16/10/2025;07:19:14;17.9;86.3
240;16/10/2025;07:19:34;17.9;86.1
241;16/10/2025;07:19:54;17.9;86
242;16/10/2025;07:20:14;17.9;86.1
243;16/10/2025;07:20:34;17.9;86
244;16/10/2025;07:20:54;17.9;86.1
245;16/10/2025;07:21:14;18;86
246;16/10/2025;07:21:34;18;86.2
247;16/10/2025;07:21:54;18;86.1
248;16/10/2025;07:22:14;18;86
249;16/10/2025;07:22:34;18;85.9
250;16/10/2025;07:22:54;18.1;85.8
251;16/10/2025;07:23:14;18;86
252;16/10/2025;07:23:34;18;86.1
253;16/10/2025;07:23:54;18;86.4
254;16/10/2025;07:24:13;18.1;86.4
255;16/10/2025;07:24:33;18;86.5
256;16/10/2025;07:24:53;18.1;86.4
257;16/10/2025;07:25:13;18.1;86.4
258;16/10/2025;07:25:33;18.1;86.4
259;16/10/2025;07:25:53;18.1;85.8
260;16/10/2025;07:26:13;18.2;85.8
261;16/10/2025;07:26:33;18.2;85.8
262;16/10/2025;07:26:53;18.2;85.9
263;16/10/2025;07:27:13;18.3;85.6
264;16/10/2025;07:27:33;18.3;85.4
265;16/10/2025;07:27:53;18.3;85.2
266;16/10/2025;07:28:13;18.4;85
267;16/10/2025;07:28:33;18.4;85
268;16/10/2025;07:28:53;18.4;85
269;16/10/2025;07:29:13;18.5;83.6
270;16/10/2025;07:29:33;18.5;82.2
271;16/10/2025;07:29:53;18.6;81.7
272;16/10/2025;07:30:13;18.6;81.9
273;16/10/2025;07:30:33;18.7;81.6
274;16/10/2025;07:30:53;18.8;80.6
275;16/10/2025;07:31:13;18.9;80
276;16/10/2025;07:31:33;19;79.6
277;16/10/2025;07:31:53;19;79.5
278;16/10/2025;07:32:13;19.1;79.3
279;16/10/2025;07:32:33;19.2;80.3
280;16/10/2025;07:32:53;19.2;81.7
281;16/10/2025;07:33:13;19.2;81.9
282;16/10/2025;07:33:33;19.2;81
283;16/10/2025;07:33:53;19.3;79.4
284;16/10/2025;07:34:13;19.3;78.6
285;16/10/2025;07:34:33;19.4;78.2
286;16/10/2025;07:34:53;19.5;77.8
287;16/10/2025;07:35:13;19.5;77.4
288;16/10/2025;07:35:33;19.6;77.2
289;16/10/2025;07:35:53;19.6;77.1
290;16/10/2025;07:36:13;19.6;76.8
291;16/10/2025;07:36:33;19.7;76.4
292;16/10/2025;07:36:53;19.7;75.9
293;16/10/2025;07:37:13;19.8;75.9
294;16/10/2025;07:37:33;19.8;76.1
295;16/10/2025;07:37:53;19.8;76.4
296;16/10/2025;07:38:13;19.9;76.7
297;16/10/2025;07:38:33;19.9;76.4
298;16/10/2025;07:38:53;19.9;75.4
299;16/10/2025;07:39:13;20;75
300;16/10/2025;07:39:33;20;75.2
301;16/10/2025;07:39:53;20;76.9
302;16/10/2025;07:40:13;20;77.8
303;16/10/2025;07:40:33;20;77
304;16/10/2025;07:40:53;20;76.5
305;16/10/2025;07:41:13;20.1;75.9
306;16/10/2025;07:41:33;20.1;75.1
307;16/10/2025;07:41:53;20.2;74.7
308;16/10/2025;07:42:13;20.2;74.2
309;16/10/2025;07:42:33;20.3;73.8
310;16/10/2025;07:42:53;20.3;73.6
311;16/10/2025;07:43:13;20.4;73.3
312;16/10/2025;07:43:33;20.4;73.2
313;16/10/2025;07:43:53;20.5;73.1
314;16/10/2025;07:44:13;20.5;72.9
315;16/10/2025;07:44:33;20.5;73.4
316;16/10/2025;07:44:53;20.6;73.6
317;16/10/2025;07:45:13;20.6;73.5
318;16/10/2025;07:45:33;20.6;73.1
319;16/10/2025;07:45:53;20.6;73.9
320;16/10/2025;07:46:13;20.6;75
321;16/10/2025;07:46:33;20.6;75.6
322;16/10/2025;07:46:53;20.6;75.8
323;16/10/2025;07:47:13;20.5;75.5
324;16/10/2025;07:47:33;20.5;75
325;16/10/2025;07:47:53;20.4;75.6
326;16/10/2025;07:48:13;20.4;76.2
327;16/10/2025;07:48:33;20.5;76.3
328;16/10/2025;07:48:53;20.5;76.5
329;16/10/2025;07:49:13;20.5;76.4
330;16/10/2025;07:49:33;20.5;75.2
331;16/10/2025;07:49:53;20.6;74
332;16/10/2025;07:50:13;20.7;74
333;16/10/2025;07:50:33;20.8;74.1
334;16/10/2025;07:50:53;20.8;75.7
335;16/10/2025;07:51:13;20.8;76
336;16/10/2025;07:51:33;20.8;74.9
337;16/10/2025;07:51:53;20.9;73.4
338;16/10/2025;07:52:13;20.9;73.7
339;16/10/2025;07:52:33;20.9;75.3
340;16/10/2025;07:52:53;21;75.5
341;16/10/2025;07:53:13;21;73.5
342;16/10/2025;07:53:33;21;74.4
343;16/10/2025;07:53:53;21;75.9
344;16/10/2025;07:54:13;21;75.3
345;16/10/2025;07:54:33;21;73.7
346;16/10/2025;07:54:53;21;74.3
347;16/10/2025;07:55:13;21;73.4
