Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
11/10/2025;0;17,6;;;93,1;;;;;;;;;1,5;;;;0,0
11/10/2025;100;17,7;;;94,4;;;;;;;;;1,7;;;;0,0
11/10/2025;200;17,5;;;96,8;;;;;;;;;0,9;;;;0,0
11/10/2025;300;17,4;;;98,9;;;;;;;;;1,8;;;;0,0
11/10/2025;400;17,1;;;100,0;;;;;;;;;2,7;;;;0,0
11/10/2025;500;16,9;;;100,0;;;;;;;;;2,2;;;;0,0
11/10/2025;600;16,5;;;100,0;;;;;;;;;1,9;;;;0,0
11/10/2025;700;16,2;;;100,0;;;;;;;;;2,3;;;;0,0
11/10/2025;800;16,0;;;100,0;;;;;;;;;2,4;;;;0,0
11/10/2025;900;16,0;;;100,0;;;;;;;;;2,7;;;;0,0
11/10/2025;1000;16,4;;;100,0;;;;;;;;;2,3;;;;0,0
11/10/2025;1100;18,0;;;93,6;;;;;;;;;2,9;;;;0,0
11/10/2025;1200;19,9;;;77,6;;;;;;;;;1,7;;;;0,0
11/10/2025;1300;21,2;;;71,8;;;;;;;;;1,3;;;;0,0
11/10/2025;1400;23,0;;;64,1;;;;;;;;;1,4;;;;0,0
11/10/2025;1500;24,8;;;55,4;;;;;;;;;3,0;;;;0,0
11/10/2025;1600;26,3;;;51,9;;;;;;;;;2,8;;;;0,0
11/10/2025;1700;27,1;;;48,7;;;;;;;;;2,3;;;;0,0
11/10/2025;1800;27,5;;;46,8;;;;;;;;;2,1;;;;0,0
11/10/2025;1900;28,0;;;45,0;;;;;;;;;2,0;;;;0,0
11/10/2025;2000;27,4;;;46,6;;;;;;;;;1,2;;;;0,0
