Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;17/10/2025;06:41:42;26.4;53.8
2;Pico W_F0BB;17/10/2025;06:42:02;26.4;53.9
3;Pico W_F0BB;17/10/2025;06:42:22;26.4;53.9
4;Pico W_F0BB;17/10/2025;06:42:43;26.9;52.6
5;Pico W_F0BB;17/10/2025;06:43:03;27.1;51.5
6;Pico W_F0BB;17/10/2025;06:43:23;27.2;51
7;Pico W_F0BB;17/10/2025;06:43:44;27.2;50.9
8;Pico W_F0BB;17/10/2025;06:44:04;27.3;50.7
9;Pico W_F0BB;17/10/2025;06:44:24;27.4;50.7
10;Pico W_F0BB;17/10/2025;06:44:45;27.5;50.3
11;Pico W_F0BB;17/10/2025;06:45:05;27.7;50.1
12;Pico W_F0BB;17/10/2025;06:45:25;27.9;49.7
13;Pico W_F0BB;17/10/2025;06:45:46;28.1;49.4
14;Pico W_F0BB;17/10/2025;06:46:06;28.2;49
15;Pico W_F0BB;17/10/2025;06:46:26;28.3;48.9
16;Pico W_F0BB;17/10/2025;06:46:46;28.4;48.9
17;Pico W_F0BB;17/10/2025;06:47:07;28.7;48.5
18;Pico W_F0BB;17/10/2025;06:47:27;28.9;48.1
19;Pico W_F0BB;17/10/2025;06:47:47;29.1;47.7
20;Pico W_F0BB;17/10/2025;06:48:08;29.2;47.5
21;Pico W_F0BB;17/10/2025;06:48:28;29.3;47.4
22;Pico W_F0BB;17/10/2025;06:48:48;29.3;47.2
23;Pico W_F0BB;17/10/2025;06:49:09;29.3;47.3
24;Pico W_F0BB;17/10/2025;06:49:29;29.1;47.3
25;Pico W_F0BB;17/10/2025;06:49:49;29;47.1
26;Pico W_F0BB;17/10/2025;06:50:09;28.8;47.3
27;Pico W_F0BB;17/10/2025;06:50:30;28.7;47.7
28;Pico W_F0BB;17/10/2025;06:50:50;28.6;47.7
29;Pico W_F0BB;17/10/2025;06:51:10;28.4;48
30;Pico W_F0BB;17/10/2025;06:51:31;28.4;48.3
31;Pico W_F0BB;17/10/2025;06:51:51;28.4;48.1
32;Pico W_F0BB;17/10/2025;06:52:11;28.5;48
33;Pico W_F0BB;17/10/2025;06:52:32;28.6;47.7
34;Pico W_F0BB;17/10/2025;06:52:52;28.8;47.6
35;Pico W_F0BB;17/10/2025;06:53:12;29;47.1
36;Pico W_F0BB;17/10/2025;06:53:33;29;46.9
37;Pico W_F0BB;17/10/2025;06:53:53;29;47
38;Pico W_F0BB;17/10/2025;06:54:13;29;47.2
39;Pico W_F0BB;17/10/2025;06:54:33;29;47.2
40;Pico W_F0BB;17/10/2025;06:54:54;29;47.2
41;Pico W_F0BB;17/10/2025;06:55:14;29.1;47.2
42;Pico W_F0BB;17/10/2025;06:55:34;29.1;47.3
43;Pico W_F0BB;17/10/2025;06:55:55;29.1;47.3
44;Pico W_F0BB;17/10/2025;06:56:15;29;47.4
45;Pico W_F0BB;17/10/2025;06:56:35;29;47.4
46;Pico W_F0BB;17/10/2025;06:56:56;28.9;47.5
47;Pico W_F0BB;17/10/2025;06:57:16;28.8;47.7
48;Pico W_F0BB;17/10/2025;06:57:36;28.8;47.8
49;Pico W_F0BB;17/10/2025;06:57:57;28.9;47.8
50;Pico W_F0BB;17/10/2025;06:58:17;29.1;47.8
51;Pico W_F0BB;17/10/2025;06:58:37;29.2;47.3
52;Pico W_F0BB;17/10/2025;06:58:57;29.3;47.3
53;Pico W_F0BB;17/10/2025;06:59:18;29.4;47.1
54;Pico W_F0BB;17/10/2025;06:59:38;29.5;47
55;Pico W_F0BB;17/10/2025;06:59:58;29.5;46.5
56;Pico W_F0BB;17/10/2025;07:00:19;29.6;46.5
57;Pico W_F0BB;17/10/2025;07:00:39;29.7;46.2
58;Pico W_F0BB;17/10/2025;07:00:59;29.9;45.9
59;Pico W_F0BB;17/10/2025;07:01:20;30.1;45.5
60;Pico W_F0BB;17/10/2025;07:01:40;30.2;45.2
61;Pico W_F0BB;17/10/2025;07:02:00;30.2;45
62;Pico W_F0BB;17/10/2025;07:02:20;30.3;44.9
63;Pico W_F0BB;17/10/2025;07:02:41;30.5;44.6
64;Pico W_F0BB;17/10/2025;07:03:01;30.5;44.3
65;Pico W_F0BB;17/10/2025;07:03:21;30.6;44.3
66;Pico W_F0BB;17/10/2025;07:03:42;30.6;44.4
67;Pico W_F0BB;17/10/2025;07:04:02;30.7;44.3
68;Pico W_F0BB;17/10/2025;07:04:22;30.8;44.1
69;Pico W_F0BB;17/10/2025;07:04:43;31;44
70;Pico W_F0BB;17/10/2025;07:05:03;31.1;43.8
71;Pico W_F0BB;17/10/2025;07:05:23;31.2;43.2
72;Pico W_F0BB;17/10/2025;07:05:44;31.3;43.1
73;Pico W_F0BB;17/10/2025;07:06:04;31.4;43
74;Pico W_F0BB;17/10/2025;07:06:24;31.6;42.8
75;Pico W_F0BB;17/10/2025;07:06:44;31.7;42.4
76;Pico W_F0BB;17/10/2025;07:07:05;31.8;42
77;Pico W_F0BB;17/10/2025;07:07:25;31.6;41.8
78;Pico W_F0BB;17/10/2025;07:07:45;31.5;42.1
79;Pico W_F0BB;17/10/2025;07:08:06;31.3;42.3
80;Pico W_F0BB;17/10/2025;07:08:26;31.2;42.6
81;Pico W_F0BB;17/10/2025;07:08:46;31.2;42.7
82;Pico W_F0BB;17/10/2025;07:09:07;31;42.6
