Leitura;Data;Temperatura C;Umidade %;Dispositivo
1;22/10/2025 11:15;22.4;40.4;Pico W_11f0bb
2;22/10/2025 11:15;22.4;36.8;Pico W_11f0bb
3;22/10/2025 11:15;22.4;32.3;Pico W_11f0bb
4;22/10/2025 11:16;22.4;31.8;Pico W_11f0bb
5;22/10/2025 11:16;22.4;32.9;Pico W_11f0bb
9;22/10/2025 11:18;23.2;34.6;Pico W_11f0bb
1;31/12/2020 21:00;23.3;35;Pico W_11f0bb
1;31/12/2020 21:00;23.7;33.2;Pico W_11f0bb
1;22/10/2025 11:19;24;31.2;Pico W_11f0bb
2;22/10/2025 11:20;24;31.2;Pico W_11f0bb
3;22/10/2025 11:20;24;31.4;Pico W_11f0bb
4;22/10/2025 11:20;24;29.9;Pico W_11f0bb
5;22/10/2025 11:21;23.9;30.3;Pico W_11f0bb
6;22/10/2025 11:21;23.9;30.6;Pico W_11f0bb
7;22/10/2025 11:22;24;30.3;Pico W_11f0bb
8;22/10/2025 11:22;23.9;29.9;Pico W_11f0bb
9;22/10/2025 11:22;23.9;30.1;Pico W_11f0bb
10;22/10/2025 11:23;23.8;30;Pico W_11f0bb
11;22/10/2025 11:23;23.7;30.1;Pico W_11f0bb
12;22/10/2025 11:23;23.7;31;Pico W_11f0bb
13;22/10/2025 11:24;23.7;30.8;Pico W_11f0bb
14;22/10/2025 11:24;23.7;31.2;Pico W_11f0bb
15;22/10/2025 11:24;23.7;31;Pico W_11f0bb
16;22/10/2025 11:25;23.7;31.8;Pico W_11f0bb
17;22/10/2025 11:25;23.8;31.4;Pico W_11f0bb
18;22/10/2025 11:26;23.8;31.3;Pico W_11f0bb
19;22/10/2025 11:26;24;31.4;Pico W_11f0bb
20;22/10/2025 11:26;24.1;30;Pico W_11f0bb
21;22/10/2025 11:27;24.1;29.7;Pico W_11f0bb
22;22/10/2025 11:27;24.2;29.6;Pico W_11f0bb
23;22/10/2025 11:27;24.1;29;Pico W_11f0bb
24;22/10/2025 11:28;24;29;Pico W_11f0bb
25;22/10/2025 11:28;24;29;Pico W_11f0bb
26;22/10/2025 11:29;23.9;28.7;Pico W_11f0bb
27;22/10/2025 11:29;24;29.4;Pico W_11f0bb
28;22/10/2025 11:29;24;28.9;Pico W_11f0bb
29;22/10/2025 11:30;24;29.2;Pico W_11f0bb
30;22/10/2025 11:30;24;28.5;Pico W_11f0bb
31;22/10/2025 11:30;24;28.7;Pico W_11f0bb
32;22/10/2025 11:31;24.1;29;Pico W_11f0bb
33;22/10/2025 11:31;24.2;29;Pico W_11f0bb
34;22/10/2025 11:32;24.2;28.7;Pico W_11f0bb
35;22/10/2025 11:32;24.2;29;Pico W_11f0bb
36;22/10/2025 11:32;24.2;28.7;Pico W_11f0bb
37;22/10/2025 11:33;24.2;28.2;Pico W_11f0bb
38;22/10/2025 11:33;24.2;27.9;Pico W_11f0bb
39;22/10/2025 11:33;24.2;28;Pico W_11f0bb
40;22/10/2025 11:34;24.1;28;Pico W_11f0bb
41;22/10/2025 11:34;24.1;27.9;Pico W_11f0bb
42;22/10/2025 11:35;24.1;28.2;Pico W_11f0bb
43;22/10/2025 11:35;24.2;28.5;Pico W_11f0bb
44;22/10/2025 11:35;24.2;29.1;Pico W_11f0bb
45;22/10/2025 11:36;24.4;29.4;Pico W_11f0bb
46;22/10/2025 11:36;24.3;30.5;Pico W_11f0bb
47;22/10/2025 11:36;24.2;33.9;Pico W_11f0bb
48;22/10/2025 11:37;24.2;36;Pico W_11f0bb
49;22/10/2025 11:37;24.2;36.8;Pico W_11f0bb
50;22/10/2025 11:38;24.2;36.1;Pico W_11f0bb
51;22/10/2025 11:38;24.3;36.1;Pico W_11f0bb
52;22/10/2025 11:38;24.4;36.1;Pico W_11f0bb
53;22/10/2025 11:39;24.4;36;Pico W_11f0bb
54;22/10/2025 11:39;24.6;36;Pico W_11f0bb
55;22/10/2025 11:39;24.7;36.1;Pico W_11f0bb
56;22/10/2025 11:40;24.8;36.2;Pico W_11f0bb
57;22/10/2025 11:40;24.9;36.3;Pico W_11f0bb
58;22/10/2025 11:40;25;33.7;Pico W_11f0bb
59;22/10/2025 11:41;25.4;28.6;Pico W_11f0bb
60;22/10/2025 11:41;26.1;28.1;Pico W_11f0bb
61;22/10/2025 11:42;26.7;28.1;Pico W_11f0bb
62;22/10/2025 11:42;28.3;26.4;Pico W_11f0bb
63;22/10/2025 11:42;29.5;26.1;Pico W_11f0bb
64;22/10/2025 11:43;30.6;25.4;Pico W_11f0bb
65;22/10/2025 11:43;31.4;22.8;Pico W_11f0bb
66;22/10/2025 11:43;31.7;21.4;Pico W_11f0bb
67;22/10/2025 11:44;32.1;20.9;Pico W_11f0bb
68;22/10/2025 11:44;32.5;21.2;Pico W_11f0bb
69;22/10/2025 11:45;32.9;21;Pico W_11f0bb
70;22/10/2025 11:45;33.2;20;Pico W_11f0bb
71;22/10/2025 11:45;33.1;19.6;Pico W_11f0bb
72;22/10/2025 11:46;32.8;18.9;Pico W_11f0bb
73;22/10/2025 11:46;32.3;19;Pico W_11f0bb
74;22/10/2025 11:46;32;19;Pico W_11f0bb
75;22/10/2025 11:47;32.2;19.6;Pico W_11f0bb
76;22/10/2025 11:47;32.7;19.4;Pico W_11f0bb
77;22/10/2025 11:48;33.1;19.3;Pico W_11f0bb
78;22/10/2025 11:48;32.3;19.1;Pico W_11f0bb
79;22/10/2025 11:48;32.1;19.8;Pico W_11f0bb
80;22/10/2025 11:49;32.1;20.1;Pico W_11f0bb
81;22/10/2025 11:49;32.5;20.5;Pico W_11f0bb
82;22/10/2025 11:49;33;20.1;Pico W_11f0bb
83;22/10/2025 11:50;33.3;20;Pico W_11f0bb
84;22/10/2025 11:50;33.8;19.6;Pico W_11f0bb
85;22/10/2025 11:51;34;19.6;Pico W_11f0bb
86;22/10/2025 11:51;34.2;19.7;Pico W_11f0bb
87;22/10/2025 11:51;34.3;20;Pico W_11f0bb
88;22/10/2025 11:52;34.5;19.8;Pico W_11f0bb
89;22/10/2025 11:52;34.6;20;Pico W_11f0bb
90;22/10/2025 11:52;34.9;19.7;Pico W_11f0bb
91;22/10/2025 11:53;35.3;19.8;Pico W_11f0bb
92;22/10/2025 11:53;35.3;19.3;Pico W_11f0bb
93;22/10/2025 11:54;34.7;19.3;Pico W_11f0bb
94;22/10/2025 11:54;34.4;19.7;Pico W_11f0bb
95;22/10/2025 11:54;34;19.5;Pico W_11f0bb
96;22/10/2025 11:55;33.7;20;Pico W_11f0bb
97;22/10/2025 11:55;34;20.2;Pico W_11f0bb
98;22/10/2025 11:55;33.8;20.1;Pico W_11f0bb
99;22/10/2025 11:56;34.1;20;Pico W_11f0bb
100;22/10/2025 11:56;34.7;19.9;Pico W_11f0bb
101;22/10/2025 11:57;35.2;19.5;Pico W_11f0bb
102;22/10/2025 11:57;35.1;19.4;Pico W_11f0bb
103;22/10/2025 11:57;34.8;19.3;Pico W_11f0bb
104;22/10/2025 11:58;34.7;19.4;Pico W_11f0bb
105;22/10/2025 11:58;34.1;19.7;Pico W_11f0bb
106;22/10/2025 11:58;34.2;20;Pico W_11f0bb
107;22/10/2025 11:59;34.6;20.8;Pico W_11f0bb
108;22/10/2025 11:59;34.9;19.5;Pico W_11f0bb
109;22/10/2025 11:59;34.7;19;Pico W_11f0bb
110;22/10/2025 12:00;34.5;19;Pico W_11f0bb
111;22/10/2025 12:00;34.3;18.9;Pico W_11f0bb
112;22/10/2025 12:01;34.1;18.8;Pico W_11f0bb
113;22/10/2025 12:01;34;18.8;Pico W_11f0bb
114;22/10/2025 12:01;34.1;18.9;Pico W_11f0bb
115;22/10/2025 12:02;34.1;19;Pico W_11f0bb
116;22/10/2025 12:02;34.1;18.2;Pico W_11f0bb
117;22/10/2025 12:02;34;18.3;Pico W_11f0bb
118;22/10/2025 12:03;34.1;18.4;Pico W_11f0bb
119;22/10/2025 12:03;34.2;18.6;Pico W_11f0bb
120;22/10/2025 12:04;34.1;18.2;Pico W_11f0bb
121;22/10/2025 12:04;33.9;17.4;Pico W_11f0bb
122;22/10/2025 12:04;33.8;17.3;Pico W_11f0bb
123;22/10/2025 12:05;33.6;17.6;Pico W_11f0bb
124;22/10/2025 12:05;33.8;18;Pico W_11f0bb
125;22/10/2025 12:05;33.9;18.1;Pico W_11f0bb
126;22/10/2025 12:06;33.9;18.3;Pico W_11f0bb
127;22/10/2025 12:06;34;18.4;Pico W_11f0bb
128;22/10/2025 12:07;34.2;18.4;Pico W_11f0bb
129;22/10/2025 12:07;34.4;18.5;Pico W_11f0bb
130;22/10/2025 12:07;34.9;18.5;Pico W_11f0bb
131;22/10/2025 12:08;35.2;17.8;Pico W_11f0bb
132;22/10/2025 12:08;35.2;17.7;Pico W_11f0bb
133;22/10/2025 12:08;35.7;17.8;Pico W_11f0bb
134;22/10/2025 12:09;36.1;17.7;Pico W_11f0bb
135;22/10/2025 12:09;36.2;17.9;Pico W_11f0bb
136;22/10/2025 12:10;36.3;17.9;Pico W_11f0bb
137;22/10/2025 12:10;36.6;18.3;Pico W_11f0bb
138;22/10/2025 12:10;36.9;18.3;Pico W_11f0bb
139;22/10/2025 12:11;37.1;18.1;Pico W_11f0bb
140;22/10/2025 12:11;36.7;17.9;Pico W_11f0bb
141;22/10/2025 12:11;36;17.7;Pico W_11f0bb
142;22/10/2025 12:12;36.1;17.8;Pico W_11f0bb
143;22/10/2025 12:12;35.9;18;Pico W_11f0bb
144;22/10/2025 12:13;35.6;17.7;Pico W_11f0bb
145;22/10/2025 12:13;35.1;18.1;Pico W_11f0bb
146;22/10/2025 12:13;34.4;18.3;Pico W_11f0bb
147;22/10/2025 12:14;33.7;18.3;Pico W_11f0bb
148;22/10/2025 12:14;33;18.5;Pico W_11f0bb
149;22/10/2025 12:14;32.8;19.3;Pico W_11f0bb
150;22/10/2025 12:15;32.8;19.4;Pico W_11f0bb
151;22/10/2025 12:15;32.8;19.5;Pico W_11f0bb
152;22/10/2025 12:15;33;19.3;Pico W_11f0bb
153;22/10/2025 12:16;33.4;19.1;Pico W_11f0bb
154;22/10/2025 12:16;33.6;19;Pico W_11f0bb
155;22/10/2025 12:17;33.8;18.7;Pico W_11f0bb
156;22/10/2025 12:17;33.5;18.7;Pico W_11f0bb
157;22/10/2025 12:17;33.4;19.2;Pico W_11f0bb
158;22/10/2025 12:18;33.7;19.3;Pico W_11f0bb
159;22/10/2025 12:18;33.9;19.5;Pico W_11f0bb
160;22/10/2025 12:18;34.5;20.1;Pico W_11f0bb
161;22/10/2025 12:19;34.7;19.6;Pico W_11f0bb
162;22/10/2025 12:19;34.8;19.3;Pico W_11f0bb
163;22/10/2025 12:20;34.6;19.4;Pico W_11f0bb
164;22/10/2025 12:20;34.4;19.4;Pico W_11f0bb
165;22/10/2025 12:20;34.2;19.6;Pico W_11f0bb
166;22/10/2025 12:21;34.4;20.1;Pico W_11f0bb
167;22/10/2025 12:21;34.4;19.4;Pico W_11f0bb
168;22/10/2025 12:21;34.2;18.9;Pico W_11f0bb
169;22/10/2025 12:22;34;18.9;Pico W_11f0bb
170;22/10/2025 12:22;33.9;19.1;Pico W_11f0bb
171;22/10/2025 12:23;33.8;19;Pico W_11f0bb
172;22/10/2025 12:23;33.8;18.8;Pico W_11f0bb
173;22/10/2025 12:23;33.7;18.8;Pico W_11f0bb
174;22/10/2025 12:24;33.7;19.3;Pico W_11f0bb
175;22/10/2025 12:24;34.2;19.2;Pico W_11f0bb
176;22/10/2025 12:24;34.6;18.8;Pico W_11f0bb
177;22/10/2025 12:25;34.7;18.5;Pico W_11f0bb
178;22/10/2025 12:25;34.5;18.2;Pico W_11f0bb
179;22/10/2025 12:26;34.6;18.4;Pico W_11f0bb
180;22/10/2025 12:26;34.9;18.8;Pico W_11f0bb
181;22/10/2025 12:26;35.3;19;Pico W_11f0bb
182;22/10/2025 12:27;35.2;18.1;Pico W_11f0bb
183;22/10/2025 12:27;35.2;17.7;Pico W_11f0bb
184;22/10/2025 12:27;35.2;17.9;Pico W_11f0bb
185;22/10/2025 12:28;35.2;18;Pico W_11f0bb
186;22/10/2025 12:28;34.9;18.2;Pico W_11f0bb
187;22/10/2025 12:29;33.9;18.7;Pico W_11f0bb
188;22/10/2025 12:29;33.6;19.6;Pico W_11f0bb
189;22/10/2025 12:29;33.4;19.9;Pico W_11f0bb
190;22/10/2025 12:30;33.4;19.9;Pico W_11f0bb
191;22/10/2025 12:30;33.5;20;Pico W_11f0bb
192;22/10/2025 12:30;33.6;19.8;Pico W_11f0bb
193;22/10/2025 12:31;33.6;19.9;Pico W_11f0bb
194;22/10/2025 12:31;33.5;20.1;Pico W_11f0bb
195;22/10/2025 12:31;33.7;19.5;Pico W_11f0bb
196;22/10/2025 12:32;34.1;19.4;Pico W_11f0bb
197;22/10/2025 12:32;34.4;19.5;Pico W_11f0bb
198;22/10/2025 12:33;34.5;19.4;Pico W_11f0bb
199;22/10/2025 12:33;34.4;19.3;Pico W_11f0bb
200;22/10/2025 12:33;33.6;19.4;Pico W_11f0bb
201;22/10/2025 12:34;33.1;20;Pico W_11f0bb
202;22/10/2025 12:34;33.1;20.4;Pico W_11f0bb
203;22/10/2025 12:34;33.4;20.4;Pico W_11f0bb
204;22/10/2025 12:35;33.7;20;Pico W_11f0bb
205;22/10/2025 12:35;33.8;19.8;Pico W_11f0bb
206;22/10/2025 12:36;34.1;20.1;Pico W_11f0bb
207;22/10/2025 12:36;34.3;20;Pico W_11f0bb
208;22/10/2025 12:36;34.2;19.7;Pico W_11f0bb
209;22/10/2025 12:37;34.2;19.9;Pico W_11f0bb
210;22/10/2025 12:37;34.1;20.4;Pico W_11f0bb
211;22/10/2025 12:37;34.1;20.8;Pico W_11f0bb
212;22/10/2025 12:38;34.1;20.5;Pico W_11f0bb
213;22/10/2025 12:38;33.9;20;Pico W_11f0bb
214;22/10/2025 12:39;33.8;19.7;Pico W_11f0bb
215;22/10/2025 12:39;33.5;20.1;Pico W_11f0bb
216;22/10/2025 12:39;33.6;20.1;Pico W_11f0bb
217;22/10/2025 12:40;33.5;20.1;Pico W_11f0bb
218;22/10/2025 12:40;33.6;20.1;Pico W_11f0bb
219;22/10/2025 12:40;33.4;19.9;Pico W_11f0bb
220;22/10/2025 12:41;33.6;19.9;Pico W_11f0bb
221;22/10/2025 12:41;34.1;19.9;Pico W_11f0bb
222;22/10/2025 12:42;34.4;19.9;Pico W_11f0bb
223;22/10/2025 12:42;34.5;19.4;Pico W_11f0bb
224;22/10/2025 12:42;34.3;19.4;Pico W_11f0bb
225;22/10/2025 12:43;34;19.2;Pico W_11f0bb
226;22/10/2025 12:43;33.1;19.3;Pico W_11f0bb
227;22/10/2025 12:43;33.1;20.3;Pico W_11f0bb
228;22/10/2025 12:44;33;20.3;Pico W_11f0bb
229;22/10/2025 12:44;33.3;20.4;Pico W_11f0bb
230;22/10/2025 12:45;33.1;20.6;Pico W_11f0bb
231;22/10/2025 12:45;32.9;20.6;Pico W_11f0bb
232;22/10/2025 12:45;32.6;20.6;Pico W_11f0bb
233;22/10/2025 12:46;32.3;20.8;Pico W_11f0bb
234;22/10/2025 12:46;32.1;21.4;Pico W_11f0bb
235;22/10/2025 12:46;32.1;21.7;Pico W_11f0bb
236;22/10/2025 12:47;32.1;21.5;Pico W_11f0bb
237;22/10/2025 12:47;31.9;21.7;Pico W_11f0bb
238;22/10/2025 12:48;32;21.6;Pico W_11f0bb
239;22/10/2025 12:48;32.1;21.5;Pico W_11f0bb
240;22/10/2025 12:48;32.1;21.1;Pico W_11f0bb
241;22/10/2025 12:49;32.6;21.1;Pico W_11f0bb
242;22/10/2025 12:49;32.9;21;Pico W_11f0bb
243;22/10/2025 12:49;33.4;20.8;Pico W_11f0bb
244;22/10/2025 12:50;33.5;20.7;Pico W_11f0bb
245;22/10/2025 12:50;33.7;20.6;Pico W_11f0bb
246;22/10/2025 12:50;34;20.7;Pico W_11f0bb
247;22/10/2025 12:51;33.6;20.6;Pico W_11f0bb
248;22/10/2025 12:51;33.2;20.6;Pico W_11f0bb
249;22/10/2025 12:52;32.8;20.6;Pico W_11f0bb
250;22/10/2025 12:52;32.5;20.8;Pico W_11f0bb
251;22/10/2025 12:52;32.7;20.7;Pico W_11f0bb
252;22/10/2025 12:53;32.8;20.8;Pico W_11f0bb
253;22/10/2025 12:53;32.9;20.9;Pico W_11f0bb
254;22/10/2025 12:53;33;20.5;Pico W_11f0bb
255;22/10/2025 12:54;33.2;20.6;Pico W_11f0bb
256;22/10/2025 12:54;32.9;20.6;Pico W_11f0bb
257;22/10/2025 12:55;32.8;20.7;Pico W_11f0bb
258;22/10/2025 12:55;32.7;21.3;Pico W_11f0bb
259;22/10/2025 12:55;32.7;21.1;Pico W_11f0bb
260;22/10/2025 12:56;33;21.4;Pico W_11f0bb
261;22/10/2025 12:56;33.4;21.2;Pico W_11f0bb
262;22/10/2025 12:56;33.7;20.6;Pico W_11f0bb
263;22/10/2025 12:57;33.7;20.3;Pico W_11f0bb
264;22/10/2025 12:57;33.4;20.3;Pico W_11f0bb
265;22/10/2025 12:58;32.9;20.5;Pico W_11f0bb
266;22/10/2025 12:58;32.4;20.6;Pico W_11f0bb
267;22/10/2025 12:58;32.2;21.1;Pico W_11f0bb
268;22/10/2025 12:59;32.6;21.2;Pico W_11f0bb
269;22/10/2025 12:59;33.3;21;Pico W_11f0bb
270;22/10/2025 12:59;34;20.9;Pico W_11f0bb
271;22/10/2025 13:00;34.4;20.4;Pico W_11f0bb
272;22/10/2025 13:00;34.4;20;Pico W_11f0bb
273;22/10/2025 13:01;34.5;20.5;Pico W_11f0bb
274;22/10/2025 13:01;34.9;20.2;Pico W_11f0bb
275;22/10/2025 13:01;34.8;20.1;Pico W_11f0bb
276;22/10/2025 13:02;34.8;19.8;Pico W_11f0bb
277;22/10/2025 13:02;34.9;19.7;Pico W_11f0bb
278;22/10/2025 13:02;34.9;19.8;Pico W_11f0bb
279;22/10/2025 13:03;34.9;19.7;Pico W_11f0bb
280;22/10/2025 13:03;35.1;19.3;Pico W_11f0bb
