Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%)
01/01/2025;0000;22,4;81,3
01/01/2025;0100;21,5;83,6
01/01/2025;0200;20,8;85,2
01/01/2025;0300;19,7;87,0
01/01/2025;0400;19,2;88,5
01/01/2025;0500;18,9;89,4
01/01/2025;0600;18,7;90,2
01/01/2025;0700;18,6;91,0
01/01/2025;0800;18,4;91,7
01/01/2025;0900;18,1;92,2
01/01/2025;1000;20,3;91,5
01/01/2025;1100;22,0;91,0
01/01/2025;1200;23,6;88,8
01/01/2025;1300;25,1;85,2
01/01/2025;1400;27,0;80,3
01/01/2025;1500;28,5;73,9
01/01/2025;1600;29,4;68,4
01/01/2025;1700;30,0;63,5
01/01/2025;1800;30,2;60,5
01/01/2025;1900;30,4;59,7
01/01/2025;2000;29,6;60,5
01/01/2025;2100;27,6;69,1
01/01/2025;2200;26,7;74,5
01/01/2025;2300;24,1;79,2
02/01/2025;0000;22,8;83,1
02/01/2025;0100;22,7;85,5
02/01/2025;0200;22,1;86,8
02/01/2025;0300;21,8;88,2
02/01/2025;0400;21,4;89,3
02/01/2025;0500;21,4;90,4
02/01/2025;0600;19,0;91,3
02/01/2025;0700;18,5;92,8
02/01/2025;0800;17,9;95,1
02/01/2025;0900;18,3;96,9
02/01/2025;1000;18,8;98,1
02/01/2025;1100;19,7;98,7
02/01/2025;1200;21,1;98,9
02/01/2025;1300;23,0;97,8
02/01/2025;1400;25,0;96,2
02/01/2025;1500;27,1;93,0
02/01/2025;1600;28,4;87,4
02/01/2025;1700;29,5;78,8
02/01/2025;1800;29,7;69,6
02/01/2025;1900;29,9;65,4
02/01/2025;2000;29,8;63,8
02/01/2025;2100;29,7;63,7
02/01/2025;2200;27,6;65,2
02/01/2025;2300;24,2;74,2
03/01/2025;0000;22,2;81,2
03/01/2025;0100;21,2;85,4
03/01/2025;0200;21,2;88,2
03/01/2025;0300;21,2;90,1
03/01/2025;0400;21,0;91,4
03/01/2025;0500;20,4;92,6
03/01/2025;0600;20,1;93,9
03/01/2025;0700;19,8;95,0
03/01/2025;0800;19,7;96,0
03/01/2025;0900;20,1;96,9
03/01/2025;1000;20,7;97,5
03/01/2025;1100;21,4;98,1
03/01/2025;1200;22,5;97,8
03/01/2025;1300;24,0;96,4
03/01/2025;1400;25,1;94,3
03/01/2025;1500;25,9;91,8
03/01/2025;1600;26,6;89,2
03/01/2025;1700;23,5;88,8
03/01/2025;1800;24,3;90,4
03/01/2025;1900;23,8;91,1
03/01/2025;2000;22,9;92,2
03/01/2025;2100;24,4;92,8
03/01/2025;2200;23,5;93,3
03/01/2025;2300;22,1;94,0
04/01/2025;0000;21,0;94,7
04/01/2025;0100;20,9;95,4
04/01/2025;0200;21,1;95,5
04/01/2025;0300;20,7;95,5
04/01/2025;0400;20,1;96,0
04/01/2025;0500;20,0;96,5
04/01/2025;0600;19,9;97,1
04/01/2025;0700;19,6;97,7
04/01/2025;0800;19,7;98,1
04/01/2025;0900;19,2;98,4
04/01/2025;1000;19,6;98,7
04/01/2025;1100;20,4;99,0
04/01/2025;1200;21,5;99,0
04/01/2025;1300;22,4;98,5
04/01/2025;1400;23,6;97,1
04/01/2025;1500;24,6;95,3
04/01/2025;1600;25,8;93,1
04/01/2025;1700;26,6;91,1
04/01/2025;1800;27,4;88,7
04/01/2025;1900;28,1;84,8
04/01/2025;2000;27,7;81,3
04/01/2025;2100;27,1;79,5
04/01/2025;2200;26,3;80,8
04/01/2025;2300;24,5;83,6
05/01/2025;0000;23,9;86,8
05/01/2025;0100;23,6;88,9
05/01/2025;0200;23,2;90,4
05/01/2025;0300;22,1;91,3
05/01/2025;0400;21,1;92,0
05/01/2025;0500;21,8;92,6
05/01/2025;0600;20,9;92,8
05/01/2025;0700;20,1;93,3
05/01/2025;0800;19,3;94,0
05/01/2025;0900;19,1;94,6
05/01/2025;1000;20,8;94,5
05/01/2025;1100;23,0;93,8
05/01/2025;1200;24,5;92,1
05/01/2025;1300;24,9;90,0
05/01/2025;1400;26,6;87,4
05/01/2025;1500;27,7;83,7
05/01/2025;1600;29,0;76,8
05/01/2025;1700;30,2;66,2
05/01/2025;1800;30,6;58,2
05/01/2025;1900;30,6;54,9
05/01/2025;2000;30,6;55,5
05/01/2025;2100;30,1;53,5
05/01/2025;2200;27,8;57,9
05/01/2025;2300;25,5;67,0
06/01/2025;0000;24,6;69,6
06/01/2025;0100;23,2;73,5
06/01/2025;0200;22,3;77,5
06/01/2025;0300;21,5;81,4
06/01/2025;0400;20,7;85,1
06/01/2025;0500;20,3;87,9
06/01/2025;0600;20,1;89,9
06/01/2025;0700;19,8;91,5
06/01/2025;0800;19,4;92,7
06/01/2025;0900;19,1;93,6
06/01/2025;1000;20,4;93,6
06/01/2025;1100;22,7;93,0
06/01/2025;1200;24,3;92,5
06/01/2025;1300;26,2;90,2
06/01/2025;1400;28,2;85,4
06/01/2025;1500;28,9;77,7
06/01/2025;1600;31,0;62,7
06/01/2025;1700;31,7;50,0
06/01/2025;1800;32,0;44,8
06/01/2025;1900;31,9;44,8
06/01/2025;2000;31,7;45,4
06/01/2025;2100;31,3;44,3
06/01/2025;2200;28,6;51,1
06/01/2025;2300;25,1;60,4
07/01/2025;0000;22,4;71,0
07/01/2025;0100;22,8;77,5
07/01/2025;0200;22,5;80,5
07/01/2025;0300;21,3;84,3
07/01/2025;0400;20,9;87,1
07/01/2025;0500;20,8;89,1
07/01/2025;0600;20,3;90,4
07/01/2025;0700;19,7;91,4
07/01/2025;0800;19,2;92,2
07/01/2025;0900;19,1;93,1
07/01/2025;1000;20,6;93,4
07/01/2025;1100;23,0;93,3
07/01/2025;1200;24,1;92,8
07/01/2025;1300;25,8;90,5
07/01/2025;1400;27,4;86,7
07/01/2025;1500;28,3;81,8
07/01/2025;1600;22,9;81,4
07/01/2025;1700;23,8;86,3
07/01/2025;1800;25,5;85,0
07/01/2025;1900;25,4;82,3
07/01/2025;2000;24,9;83,6
07/01/2025;2100;24,4;86,2
07/01/2025;2200;24,5;87,1
07/01/2025;2300;22,9;87,3
08/01/2025;0000;22,0;88,0
08/01/2025;0100;21,5;88,6
08/01/2025;0200;21,0;89,5
08/01/2025;0300;20,6;90,3
08/01/2025;0400;19,8;91,2
08/01/2025;0500;19,5;92,0
08/01/2025;0600;18,9;92,8
08/01/2025;0700;18,6;93,5
08/01/2025;0800;18,5;94,1
08/01/2025;0900;18,2;94,7
08/01/2025;1000;20,1;94,2
08/01/2025;1100;21,9;93,5
08/01/2025;1200;24,4;91,8
08/01/2025;1300;26,2;88,6
08/01/2025;1400;27,2;83,5
08/01/2025;1500;28,8;76,8
08/01/2025;1600;29,9;69,6
08/01/2025;1700;30,4;62,0
08/01/2025;1800;31,2;54,3
08/01/2025;1900;31,9;47,2
08/01/2025;2000;32,0;44,0
08/01/2025;2100;28,4;51,2
08/01/2025;2200;24,4;72,1
08/01/2025;2300;23,6;79,2
09/01/2025;0000;22,9;82,3
09/01/2025;0100;22,3;83,0
09/01/2025;0200;21,4;84,5
09/01/2025;0300;20,9;85,8
09/01/2025;0400;20,6;87,1
09/01/2025;0500;20,4;88,5
09/01/2025;0600;20,0;89,8
09/01/2025;0700;19,5;91,0
09/01/2025;0800;19,1;92,2
09/01/2025;0900;18,8;93,3
09/01/2025;1000;19,9;93,3
09/01/2025;1100;21,4;93,1
09/01/2025;1200;23,5;91,8
09/01/2025;1300;25,6;88,3
09/01/2025;1400;;
09/01/2025;1500;27,6;76,0
09/01/2025;1600;29,1;70,9
09/01/2025;1700;30,0;63,9
09/01/2025;1800;30,2;60,0
09/01/2025;1900;29,8;57,8
09/01/2025;2000;29,4;58,2
09/01/2025;2100;28,2;58,9
09/01/2025;2200;25,9;65,8
09/01/2025;2300;24,1;72,1
10/01/2025;0000;22,9;75,0
10/01/2025;0100;21,4;78,0
10/01/2025;0200;20,4;81,1
10/01/2025;0300;19,6;83,7
10/01/2025;0400;19,1;85,9
10/01/2025;0500;18,7;87,8
10/01/2025;0600;18,4;89,2
10/01/2025;0700;18,1;90,4
10/01/2025;0800;17,8;91,3
10/01/2025;0900;17,6;92,1
10/01/2025;1000;18,6;92,2
10/01/2025;1100;19,8;92,4
10/01/2025;1200;22,4;91,1
10/01/2025;1300;24,6;87,2
10/01/2025;1400;26,0;81,0
10/01/2025;1500;27,0;73,2
10/01/2025;1600;27,9;68,1
10/01/2025;1700;28,7;63,3
10/01/2025;1800;29,9;57,1
10/01/2025;1900;30,0;55,7
10/01/2025;2000;29,4;53,0
10/01/2025;2100;28,5;56,3
10/01/2025;2200;26,8;59,0
10/01/2025;2300;24,7;65,4
11/01/2025;0000;23,7;67,8
11/01/2025;0100;22,2;72,7
11/01/2025;0200;20,9;77,2
11/01/2025;0300;19,8;80,5
11/01/2025;0400;19,0;83,1
11/01/2025;0500;18,3;85,1
11/01/2025;0600;17,7;86,6
11/01/2025;0700;17,3;87,5
11/01/2025;0800;17,3;88,3
11/01/2025;0900;16,9;88,9
11/01/2025;1000;18,6;88,5
11/01/2025;1100;20,6;87,2
