Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2025;0000;24,8;25,2;24,6;71,0;75,0;69,0;19,3;20,0;19,2;950,1;950,2;949,7;2,0;138,0;5,0;;0,0
01/01/2025;0100;25,0;25,0;24,6;70,0;73,0;70,0;19,1;19,4;19,1;950,1;950,1;950,0;2,4;133,0;4,1;;0,0
01/01/2025;0200;25,1;25,3;24,7;68,0;71,0;67,0;18,7;19,2;18,6;949,9;950,1;949,9;1,5;127,0;4,1;;0,0
01/01/2025;0300;25,1;25,2;24,5;66,0;70,0;66,0;18,3;18,8;18,2;949,3;949,9;949,3;3,0;124,0;6,4;;0,0
01/01/2025;0400;25,2;25,2;24,7;66,0;68,0;66,0;18,3;18,4;18,2;948,7;949,3;948,7;3,6;112,0;6,4;;0,0
01/01/2025;0500;25,0;25,2;24,8;68,0;68,0;66,0;18,7;18,8;18,3;948,5;948,8;948,5;3,4;128,0;8,0;;0,0
01/01/2025;0600;24,6;25,1;24,6;70,0;70,0;68,0;18,8;18,8;18,7;948,3;948,5;948,2;2,9;113,0;7,2;;0,0
01/01/2025;0700;24,4;24,7;24,2;71,0;72,0;70,0;18,8;18,9;18,8;948,5;948,5;948,3;1,4;145,0;5,3;;0,0
01/01/2025;0800;23,9;24,4;23,8;73,0;73,0;71,0;18,7;18,8;18,6;948,9;948,9;948,4;1,1;154,0;6,7;;0,0
01/01/2025;0900;24,0;24,0;23,8;72,0;73,0;72,0;18,6;18,7;18,5;949,8;949,8;948,8;2,1;128,0;6,0;82,30;0,0
01/01/2025;1000;24,2;24,3;23,9;71,0;73,0;70,0;18,7;18,7;18,5;950,3;950,4;949,8;3,2;110,0;7,6;450,10;0,0
01/01/2025;1100;25,2;25,2;24,1;69,0;72,0;68,0;19,1;19,1;18,5;950,9;950,9;950,3;2,4;109,0;7,5;1093,60;0,0
01/01/2025;1200;26,5;27,0;25,2;62,0;69,0;60,0;18,5;19,1;18,2;951,4;951,4;950,9;3,5;117,0;7,7;3097,00;0,0
01/01/2025;1300;28,6;29,1;26,5;55,0;62,0;54,0;18,6;19,5;18,2;951,5;951,6;951,4;4,4;105,0;8,9;4122,60;0,0
01/01/2025;1400;30,1;30,2;27,9;49,0;57,0;48,0;18,3;19,1;17,9;951,0;951,6;951,0;2,6;110,0;8,9;4537,90;0,0
01/01/2025;1500;31,7;31,7;30,1;42,0;50,0;41,0;17,2;18,8;16,4;950,5;951,0;950,5;3,5;119,0;8,5;4451,70;0,0
01/01/2025;1600;32,6;32,6;31,4;38,0;43,0;37,0;16,4;17,7;15,7;949,8;950,5;949,8;0,7;110,0;7,9;4786,80;0,0
