Leitura,Horario,Temperatura(C),Umidade(%),Dispositivo
1,2025-10-26 12:19:51,31.6,32.9,Pico W_11f0bb
2,2025-10-26 12:20:14,31.6,32.6,Pico W_11f0bb
3,2025-10-26 12:20:36,31.6,34.9,Pico W_11f0bb
4,2025-10-26 12:20:58,31.6,33.7,Pico W_11f0bb
5,2025-10-26 12:21:21,32.3,32.6,Pico W_11f0bb
6,2025-10-26 12:21:43,33.4,31.6,Pico W_11f0bb
7,2025-10-26 12:22:05,34.3,29.7,Pico W_11f0bb
8,2025-10-26 12:22:28,34.7,29.1,Pico W_11f0bb
9,2025-10-26 12:22:50,34.9,28.2,Pico W_11f0bb
10,2025-10-26 12:23:12,34.9,27.4,Pico W_11f0bb
11,2025-10-26 12:23:35,35.7,27.8,Pico W_11f0bb
12,2025-10-26 12:23:57,36.4,25.9,Pico W_11f0bb
13,2025-10-26 12:24:19,37.2,26.2,Pico W_11f0bb
14,2025-10-26 12:24:42,37.9,25.5,Pico W_11f0bb
15,2025-10-26 12:25:04,38.6,25.5,Pico W_11f0bb
16,2025-10-26 12:25:27,38.9,24.4,Pico W_11f0bb
17,2025-10-26 12:25:49,38.5,24.3,Pico W_11f0bb
18,2025-10-26 12:26:11,38.5,26.8,Pico W_11f0bb
19,2025-10-26 12:26:34,38.5,24.8,Pico W_11f0bb
24,2025-10-26 12:28:25,40.7,25.2,Pico W_11f0bb
25,2025-10-26 12:28:47,41.1,24.8,Pico W_11f0bb
26,2025-10-26 12:29:10,40.9,24.8,Pico W_11f0bb
27,2025-10-26 12:29:32,41.1,22.6,Pico W_11f0bb
28,2025-10-26 12:29:54,40.8,24.8,Pico W_11f0bb
29,2025-10-26 12:30:17,41.1,22.6,Pico W_11f0bb
30,2025-10-26 12:30:39,40.9,22.1,Pico W_11f0bb
31,2025-10-26 12:31:02,40.8,22.0,Pico W_11f0bb
32,2025-10-26 12:31:24,40.6,22.5,Pico W_11f0bb
33,2025-10-26 12:31:46,40.2,22.6,Pico W_11f0bb
34,2025-10-26 12:32:09,40.2,22.5,Pico W_11f0bb
35,2025-10-26 12:32:31,40.3,22.4,Pico W_11f0bb
36,2025-10-26 12:32:53,40.4,22.7,Pico W_11f0bb
37,2025-10-26 12:33:16,40.2,22.0,Pico W_11f0bb
38,2025-10-26 12:33:38,40.5,22.0,Pico W_11f0bb
39,2025-10-26 12:34:00,40.9,22.3,Pico W_11f0bb
40,2025-10-26 12:34:23,41.2,21.6,Pico W_11f0bb
41,2025-10-26 12:34:45,41.5,21.6,Pico W_11f0bb
42,2025-10-26 12:35:07,41.8,21.8,Pico W_11f0bb
43,2025-10-26 12:35:30,41.3,21.1,Pico W_11f0bb
44,2025-10-26 12:35:52,40.9,21.5,Pico W_11f0bb
45,2025-10-26 12:36:14,40.3,21.4,Pico W_11f0bb
46,2025-10-26 12:36:37,40.3,21.8,Pico W_11f0bb
47,2025-10-26 12:36:59,40.6,21.8,Pico W_11f0bb
48,2025-10-26 12:37:22,40.9,22.0,Pico W_11f0bb
49,2025-10-26 12:37:44,40.8,21.7,Pico W_11f0bb
50,2025-10-26 12:38:06,41.2,21.9,Pico W_11f0bb
51,2025-10-26 12:38:29,41.3,21.3,Pico W_11f0bb
52,2025-10-26 12:38:51,41.3,22.8,Pico W_11f0bb
53,2025-10-26 12:39:13,40.6,22.8,Pico W_11f0bb
54,2025-10-26 12:39:36,40.0,22.1,Pico W_11f0bb
55,2025-10-26 12:39:58,40.4,24.3,Pico W_11f0bb
56,2025-10-26 12:40:20,40.6,22.8,Pico W_11f0bb
57,2025-10-26 12:40:43,40.6,22.1,Pico W_11f0bb
58,2025-10-26 12:41:05,40.6,21.8,Pico W_11f0bb
59,2025-10-26 12:41:27,40.6,21.8,Pico W_11f0bb
60,2025-10-26 12:41:50,41.0,22.2,Pico W_11f0bb
61,2025-10-26 12:42:12,40.5,22.6,Pico W_11f0bb
62,2025-10-26 12:42:34,40.6,23.4,Pico W_11f0bb
63,2025-10-26 12:42:57,40.0,22.6,Pico W_11f0bb
64,2025-10-26 12:43:19,39.4,22.7,Pico W_11f0bb
65,2025-10-26 12:43:42,39.4,22.7,Pico W_11f0bb
66,2025-10-26 12:44:04,39.1,22.6,Pico W_11f0bb
67,2025-10-26 12:44:26,39.1,23.5,Pico W_11f0bb
68,2025-10-26 12:44:49,39.1,22.7,Pico W_11f0bb
69,2025-10-26 12:45:11,39.1,22.6,Pico W_11f0bb
70,2025-10-26 12:45:33,39.3,22.4,Pico W_11f0bb
71,2025-10-26 12:45:56,39.5,22.3,Pico W_11f0bb
72,2025-10-26 12:46:18,39.6,22.2,Pico W_11f0bb
73,2025-10-26 12:46:40,39.7,22.0,Pico W_11f0bb
74,2025-10-26 12:47:03,39.3,22.1,Pico W_11f0bb
75,2025-10-26 12:47:25,39.1,22.6,Pico W_11f0bb
76,2025-10-26 12:47:47,39.3,22.7,Pico W_11f0bb
77,2025-10-26 12:48:10,39.9,23.2,Pico W_11f0bb
78,2025-10-26 12:48:32,40.4,22.3,Pico W_11f0bb
79,2025-10-26 12:48:54,40.9,21.9,Pico W_11f0bb
80,2025-10-26 12:49:17,41.3,21.9,Pico W_11f0bb
81,2025-10-26 12:49:39,41.8,21.8,Pico W_11f0bb
82,2025-10-26 12:50:01,42.1,21.2,Pico W_11f0bb
83,2025-10-26 12:50:24,42.5,21.4,Pico W_11f0bb
84,2025-10-26 12:50:46,42.5,21.0,Pico W_11f0bb
85,2025-10-26 12:51:09,42.5,20.8,Pico W_11f0bb
86,2025-10-26 12:51:31,42.8,20.9,Pico W_11f0bb
87,2025-10-26 12:51:53,42.9,20.7,Pico W_11f0bb
88,2025-10-26 12:52:16,42.8,21.1,Pico W_11f0bb
89,2025-10-26 12:52:38,42.4,21.2,Pico W_11f0bb
90,2025-10-26 12:53:00,41.9,22.2,Pico W_11f0bb
91,2025-10-26 12:53:23,41.6,21.7,Pico W_11f0bb
92,2025-10-26 12:53:45,41.7,21.7,Pico W_11f0bb
93,2025-10-26 12:54:07,41.8,21.6,Pico W_11f0bb
94,2025-10-26 12:54:30,42.1,21.4,Pico W_11f0bb
95,2025-10-26 12:54:52,42.5,21.6,Pico W_11f0bb
96,2025-10-26 12:55:14,42.6,22.7,Pico W_11f0bb
97,2025-10-26 12:55:37,42.1,21.9,Pico W_11f0bb
98,2025-10-26 12:55:59,41.6,22.0,Pico W_11f0bb
99,2025-10-26 12:56:21,41.4,21.3,Pico W_11f0bb
100,2025-10-26 12:56:44,41.3,21.7,Pico W_11f0bb
101,2025-10-26 12:57:06,41.7,21.5,Pico W_11f0bb
102,2025-10-26 12:57:28,41.5,21.7,Pico W_11f0bb
103,2025-10-26 12:57:51,41.8,21.8,Pico W_11f0bb
104,2025-10-26 12:58:13,41.7,21.3,Pico W_11f0bb
105,2025-10-26 12:58:36,41.7,21.2,Pico W_11f0bb
106,2025-10-26 12:58:58,41.8,21.1,Pico W_11f0bb
107,2025-10-26 12:59:20,41.9,21.6,Pico W_11f0bb
108,2025-10-26 12:59:43,41.6,21.0,Pico W_11f0bb
109,2025-10-26 13:00:05,41.5,21.6,Pico W_11f0bb
110,2025-10-26 13:00:27,41.7,21.1,Pico W_11f0bb
111,2025-10-26 13:00:50,41.3,21.1,Pico W_11f0bb
112,2025-10-26 13:01:12,41.1,21.4,Pico W_11f0bb
113,2025-10-26 13:01:34,41.3,21.9,Pico W_11f0bb
114,2025-10-26 13:01:57,41.5,21.9,Pico W_11f0bb
115,2025-10-26 13:02:19,41.7,21.3,Pico W_11f0bb
116,2025-10-26 13:02:41,41.5,21.3,Pico W_11f0bb
117,2025-10-26 13:03:04,41.4,21.3,Pico W_11f0bb
118,2025-10-26 13:03:26,41.7,21.1,Pico W_11f0bb
119,2025-10-26 13:03:48,41.8,21.2,Pico W_11f0bb
120,2025-10-26 13:04:11,41.5,21.3,Pico W_11f0bb
121,2025-10-26 13:04:33,41.8,21.1,Pico W_11f0bb
122,2025-10-26 13:04:56,42.3,21.1,Pico W_11f0bb
123,2025-10-26 13:05:18,42.0,20.6,Pico W_11f0bb
124,2025-10-26 13:05:40,41.4,21.2,Pico W_11f0bb
125,2025-10-26 13:06:03,41.3,20.8,Pico W_11f0bb
126,2025-10-26 13:06:25,41.0,21.0,Pico W_11f0bb
127,2025-10-26 13:06:47,40.7,21.1,Pico W_11f0bb
128,2025-10-26 13:07:10,40.4,21.4,Pico W_11f0bb
129,2025-10-26 13:07:32,40.5,21.7,Pico W_11f0bb
130,2025-10-26 13:07:54,40.7,22.0,Pico W_11f0bb
131,2025-10-26 13:08:17,41.1,22.1,Pico W_11f0bb
132,2025-10-26 13:08:39,41.2,21.6,Pico W_11f0bb
133,2025-10-26 13:09:01,41.2,21.3,Pico W_11f0bb
134,2025-10-26 13:09:24,41.7,21.5,Pico W_11f0bb
