[2025-09-30 12:30:45] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-09-30 12:30:46, Temp: 42.1, Umid: 23.8
[2025-09-30 12:33:48] Dispositivo: Pico W_11f0bb, Leitura: 2, Horario: 2025-09-30 12:33:48, Temp: 38.1, Umid: 25.2
[2025-09-30 12:36:53] Dispositivo: Pico W_11f0bb, Leitura: 3, Horario: 2025-09-30 12:36:51, Temp: 39.0, Umid: 25.0
[2025-09-30 12:39:52] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-09-30 12:39:53, Temp: 37.4, Umid: 25.5
[2025-09-30 12:42:35] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 12:42:35, Temp: 31.1, Umid: 34.8
[2025-09-30 12:42:55] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-09-30 12:42:55, Temp: 37.3, Umid: 25.9
[2025-09-30 12:43:52] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 12:43:53, Temp: 33.8, Umid: 29.3
[2025-09-30 12:47:06] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 12:47:07, Temp: 33.9, Umid: 29.3
[2025-09-30 12:47:37] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-09-30 12:45:58, Temp: 36.7, Umid: 25.8
[2025-09-30 12:48:01] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 12:48:01, Temp: 33.8, Umid: 29.4
[2025-09-30 12:48:59] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-09-30 12:49:00, Temp: 36.6, Umid: 26.4
[2025-09-30 12:50:22] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 12:50:22, Temp: 33.8, Umid: 29.4
[2025-09-30 12:52:01] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-09-30 12:52:02, Temp: 36.7, Umid: 26.6
[2025-09-30 12:53:24] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-09-30 12:53:24, Temp: 33.8, Umid: 29.9
