[2025-09-30 20:13:35] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 20:13:35, Temp: 31.2, Umid: 40.1
[2025-09-30 20:14:03] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 20:14:04, Temp: 31.2, Umid: 40.6
[2025-09-30 20:14:54] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-09-30 20:14:54, Temp: 29.1, Umid: 44.7
[2025-09-30 20:15:01] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 20:15:01, Temp: 30.8, Umid: 41.4
[2025-09-30 20:15:52] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 20:15:52, Temp: 30.7, Umid: 41.7
[2025-09-30 20:16:18] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 20:16:18, Temp: 30.6, Umid: 41.4
[2025-09-30 20:17:00] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 20:17:00, Temp: 30.6, Umid: 42.0
[2025-09-30 20:17:15] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 20:17:15, Temp: 30.5, Umid: 41.4
[2025-09-30 20:17:56] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-09-30 20:17:56, Temp: 29.0, Umid: 44.6
[2025-09-30 20:19:05] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 20:19:06, Temp: 30.4, Umid: 41.4
[2025-09-30 20:20:59] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-09-30 20:20:59, Temp: 29.0, Umid: 44.5
[2025-09-30 20:22:07] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-09-30 20:22:08, Temp: 30.3, Umid: 41.2
[2025-09-30 20:24:01] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-09-30 20:24:01, Temp: 28.9, Umid: 44.4
[2025-09-30 20:25:10] Dispositivo: Pico W_11f60f, Leitura: 3, Horario: 2025-09-30 20:25:11, Temp: 30.3, Umid: 41.2
[2025-09-30 20:27:03] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-09-30 20:27:03, Temp: 28.9, Umid: 44.4
[2025-09-30 20:28:12] Dispositivo: Pico W_11f60f, Leitura: 4, Horario: 2025-09-30 20:28:13, Temp: 30.4, Umid: 40.7
