Leitura,Data,Hora,Temperatura(C),Umidade(%)
1,2025-10-05,11:33:54,32.70,36.00
2,2025-10-05,11:34:14,32.50,36.40
3,2025-10-05,11:34:34,32.30,36.20
4,2025-10-05,11:34:54,32.10,36.70
5,2025-10-05,11:35:14,31.90,38.20
6,2025-10-05,11:35:34,31.80,38.20
7,2025-10-05,11:35:54,31.60,38.80
8,2025-10-05,11:36:14,31.60,39.00
9,2025-10-05,11:36:34,31.50,39.40
10,2025-10-05,11:36:54,31.40,38.60
11,2025-10-05,11:37:14,31.30,38.90
12,2025-10-05,11:37:34,31.20,40.00
13,2025-10-05,11:37:54,31.10,40.60
14,2025-10-05,11:38:14,31.00,41.60
15,2025-10-05,11:38:34,30.90,42.40
16,2025-10-05,11:38:54,30.90,42.90
17,2025-10-05,11:39:14,30.80,41.90
18,2025-10-05,11:39:34,30.70,42.10
19,2025-10-05,11:39:54,30.60,41.30
20,2025-10-05,11:40:14,30.60,41.20
21,2025-10-05,11:40:34,30.50,41.70
22,2025-10-05,11:40:54,30.50,41.70
23,2025-10-05,11:41:14,30.40,41.70
24,2025-10-05,11:41:34,30.40,40.20
25,2025-10-05,11:41:54,30.40,41.20
26,2025-10-05,11:42:14,30.40,41.90
27,2025-10-05,11:42:34,30.30,42.40
28,2025-10-05,11:42:54,30.20,42.20
29,2025-10-05,11:43:14,30.20,42.20
30,2025-10-05,11:43:34,30.10,42.30
31,2025-10-05,11:43:54,30.10,43.10
32,2025-10-05,11:44:14,30.10,42.40
33,2025-10-05,11:44:34,30.10,42.40
34,2025-10-05,11:44:54,30.10,41.90
35,2025-10-05,11:45:14,30.10,41.10
36,2025-10-05,11:45:34,30.10,40.80
37,2025-10-05,11:45:54,30.00,41.40
38,2025-10-05,11:46:14,30.00,40.90
39,2025-10-05,11:46:34,30.00,40.60
40,2025-10-05,11:46:54,30.00,40.80
41,2025-10-05,11:47:14,30.00,40.80
42,2025-10-05,11:47:34,30.00,41.70
43,2025-10-05,11:47:54,30.10,42.70
44,2025-10-05,11:48:14,30.20,40.50
45,2025-10-05,11:48:34,30.10,39.80
46,2025-10-05,11:48:54,30.20,40.20
47,2025-10-05,11:49:14,30.10,40.60
48,2025-10-05,11:49:34,30.10,41.10
49,2025-10-05,11:49:54,30.00,41.40
50,2025-10-05,11:50:14,30.00,41.30
51,2025-10-05,11:50:34,29.90,41.50
52,2025-10-05,11:50:54,29.80,41.50
53,2025-10-05,11:51:14,29.80,41.00
54,2025-10-05,11:51:34,29.80,40.50
55,2025-10-05,11:51:54,29.70,41.00
56,2025-10-05,11:52:14,29.70,41.70
57,2025-10-05,11:52:34,29.70,41.90
58,2025-10-05,11:52:54,29.70,41.60
59,2025-10-05,11:53:14,29.60,42.50
60,2025-10-05,11:53:34,29.60,42.50
61,2025-10-05,11:53:54,29.60,42.10
62,2025-10-05,11:54:14,29.60,42.30
63,2025-10-05,11:54:34,29.70,42.10
64,2025-10-05,11:54:54,29.70,41.60
65,2025-10-05,11:55:14,29.80,42.60
66,2025-10-05,11:55:34,29.80,42.70
67,2025-10-05,11:55:54,29.80,42.60
68,2025-10-05,11:56:14,29.70,41.90
69,2025-10-05,11:56:34,29.70,41.60
70,2025-10-05,11:56:54,29.70,41.90
71,2025-10-05,11:57:14,29.70,42.30
72,2025-10-05,11:57:34,29.70,41.40
73,2025-10-05,11:57:54,29.70,41.50
74,2025-10-05,11:58:14,29.80,41.40
75,2025-10-05,11:58:34,29.70,41.60
76,2025-10-05,11:58:54,29.70,41.70
77,2025-10-05,11:59:14,29.70,42.40
78,2025-10-05,11:59:34,29.70,43.20
79,2025-10-05,11:59:54,29.70,42.10
80,2025-10-05,12:00:14,29.60,42.50
81,2025-10-05,12:00:34,29.60,43.20
82,2025-10-05,12:00:54,29.60,43.60
83,2025-10-05,12:01:14,29.60,43.50
84,2025-10-05,12:01:34,29.60,43.20
85,2025-10-05,12:01:54,29.60,43.50
86,2025-10-05,12:02:14,29.60,44.00
87,2025-10-05,12:02:34,29.60,43.50
88,2025-10-05,12:02:54,29.60,43.80
89,2025-10-05,12:03:14,29.60,43.50
90,2025-10-05,12:03:34,29.70,42.30
91,2025-10-05,12:03:54,29.80,42.20
92,2025-10-05,12:04:14,30.00,40.70
93,2025-10-05,12:04:34,30.10,39.80
94,2025-10-05,12:04:54,30.10,40.20
95,2025-10-05,12:05:14,30.20,40.30
96,2025-10-05,12:05:34,30.20,40.50
97,2025-10-05,12:05:54,30.20,40.30
98,2025-10-05,12:06:14,30.20,40.30
99,2025-10-05,12:06:34,30.20,40.10
100,2025-10-05,12:06:54,30.20,40.50
101,2025-10-05,12:07:14,30.20,40.70
102,2025-10-05,12:07:34,30.30,39.20
103,2025-10-05,12:07:54,30.30,38.70
104,2025-10-05,12:08:14,30.40,38.30
105,2025-10-05,12:08:34,30.40,37.90
106,2025-10-05,12:08:54,30.40,38.00
107,2025-10-05,12:09:14,30.50,37.90
108,2025-10-05,12:09:34,30.50,38.90
109,2025-10-05,12:09:54,30.40,39.70
110,2025-10-05,12:10:14,30.40,40.10
111,2025-10-05,12:10:34,30.30,40.50
112,2025-10-05,12:10:54,30.30,41.10
113,2025-10-05,12:11:14,30.30,41.50
114,2025-10-05,12:11:34,30.30,41.90
115,2025-10-05,12:11:54,30.20,42.30
116,2025-10-05,12:12:14,30.20,41.50
117,2025-10-05,12:12:34,30.10,41.20
118,2025-10-05,12:12:54,30.10,41.60
119,2025-10-05,12:13:14,30.20,41.40
120,2025-10-05,12:13:34,30.20,41.80
121,2025-10-05,12:13:54,30.40,39.40
122,2025-10-05,12:14:14,30.40,39.40
123,2025-10-05,12:14:34,30.50,40.10
124,2025-10-05,12:14:54,30.50,40.10
125,2025-10-05,12:15:14,30.40,39.40
126,2025-10-05,12:15:34,30.40,39.50
127,2025-10-05,12:15:54,30.40,39.40
128,2025-10-05,12:16:14,30.40,38.60
129,2025-10-05,12:16:34,30.50,38.70
130,2025-10-05,12:16:54,30.50,38.40
131,2025-10-05,12:17:14,30.50,38.20
132,2025-10-05,12:17:34,30.50,39.10
133,2025-10-05,12:17:54,30.60,38.10
134,2025-10-05,12:18:14,30.60,37.50
135,2025-10-05,12:18:34,30.60,38.80
136,2025-10-05,12:18:54,30.60,39.40
137,2025-10-05,12:19:14,30.60,39.00
138,2025-10-05,12:19:34,30.60,39.80
139,2025-10-05,12:19:54,30.60,40.70
140,2025-10-05,12:20:14,30.60,40.60
141,2025-10-05,12:20:34,30.50,39.80
142,2025-10-05,12:20:54,30.50,40.00
143,2025-10-05,12:21:14,30.50,39.30
144,2025-10-05,12:21:34,30.50,38.80
145,2025-10-05,12:21:54,30.40,39.00
146,2025-10-05,12:22:14,30.40,38.80
147,2025-10-05,12:22:34,30.50,38.80
148,2025-10-05,12:22:54,30.50,39.30
149,2025-10-05,12:23:14,30.50,40.30
150,2025-10-05,12:23:34,30.50,39.70
151,2025-10-05,12:23:54,30.50,39.90
152,2025-10-05,12:24:14,30.50,39.10
153,2025-10-05,12:24:34,30.50,39.10
154,2025-10-05,12:24:54,30.50,39.50
155,2025-10-05,12:25:14,30.50,38.70
156,2025-10-05,12:25:34,30.60,37.40
157,2025-10-05,12:25:54,30.70,37.00
158,2025-10-05,12:26:14,30.70,37.90
159,2025-10-05,12:26:34,30.60,38.40
160,2025-10-05,12:26:54,30.60,38.70
161,2025-10-05,12:27:14,30.60,38.60
162,2025-10-05,12:27:34,30.50,38.80
163,2025-10-05,12:27:54,30.50,39.80
164,2025-10-05,12:28:14,30.50,39.90
165,2025-10-05,12:28:34,30.40,39.40
166,2025-10-05,12:28:54,30.40,39.70
167,2025-10-05,12:29:14,30.40,40.20
168,2025-10-05,12:29:34,30.40,40.50
169,2025-10-05,12:29:54,30.40,39.00
170,2025-10-05,12:30:14,30.40,39.10
171,2025-10-05,12:30:34,30.40,38.40
172,2025-10-05,12:30:54,30.40,38.00
173,2025-10-05,12:31:14,30.40,39.40
174,2025-10-05,12:31:34,30.50,40.40
175,2025-10-05,12:31:54,30.50,40.20
176,2025-10-05,12:32:14,30.50,39.50
177,2025-10-05,12:32:34,30.50,39.30
178,2025-10-05,12:32:54,30.50,38.80
179,2025-10-05,12:33:14,30.40,38.00
180,2025-10-05,12:33:34,30.40,37.70
181,2025-10-05,12:33:54,30.40,37.70
182,2025-10-05,12:34:14,30.30,38.00
183,2025-10-05,12:34:34,30.30,38.60
184,2025-10-05,12:34:54,30.30,39.00
185,2025-10-05,12:35:14,30.30,38.90
186,2025-10-05,12:35:34,30.30,39.30
187,2025-10-05,12:35:54,30.30,38.90
188,2025-10-05,12:36:14,30.20,38.10
189,2025-10-05,12:36:34,30.30,38.50
190,2025-10-05,12:36:54,30.20,39.10
191,2025-10-05,12:37:14,30.30,39.40
192,2025-10-05,12:37:34,30.30,38.50
193,2025-10-05,12:37:54,30.40,38.90
194,2025-10-05,12:38:14,30.50,39.00
195,2025-10-05,12:38:34,30.60,39.50
196,2025-10-05,12:38:54,30.60,40.20
197,2025-10-05,12:39:14,30.70,39.30
198,2025-10-05,12:39:34,30.80,38.20
199,2025-10-05,12:39:54,30.80,38.30
200,2025-10-05,12:40:14,30.80,37.80
201,2025-10-05,12:40:34,30.80,38.40
202,2025-10-05,12:40:54,30.80,37.50
203,2025-10-05,12:41:14,30.80,37.80
204,2025-10-05,12:41:34,30.70,37.80
205,2025-10-05,12:41:54,30.70,38.00
206,2025-10-05,12:42:14,30.70,38.60
207,2025-10-05,12:42:34,30.70,39.50
208,2025-10-05,12:42:54,30.70,39.70
209,2025-10-05,12:43:14,30.70,38.80
210,2025-10-05,12:43:34,30.70,38.40
211,2025-10-05,12:43:54,30.60,38.60
212,2025-10-05,12:44:14,30.60,38.80
213,2025-10-05,12:44:34,30.60,38.90
214,2025-10-05,12:44:54,30.60,38.90
215,2025-10-05,12:45:14,30.60,39.00
216,2025-10-05,12:45:34,30.50,38.70
217,2025-10-05,12:45:54,30.50,39.20
218,2025-10-05,12:46:14,30.50,39.50
219,2025-10-05,12:46:34,30.50,39.70
220,2025-10-05,12:46:54,30.50,39.80
221,2025-10-05,12:47:14,30.50,39.30
222,2025-10-05,12:47:34,30.50,39.60
223,2025-10-05,12:47:54,30.60,39.20
224,2025-10-05,12:48:14,30.60,39.30
225,2025-10-05,12:48:34,30.60,40.00
226,2025-10-05,12:48:54,30.60,39.80
227,2025-10-05,12:49:14,30.60,39.00
228,2025-10-05,12:49:34,30.60,38.70
229,2025-10-05,12:49:54,30.60,39.20
230,2025-10-05,12:50:14,30.60,39.00
231,2025-10-05,12:50:34,30.60,39.20
232,2025-10-05,12:50:54,30.60,39.20
233,2025-10-05,12:51:14,30.60,39.00
234,2025-10-05,12:51:34,30.70,38.80
235,2025-10-05,12:51:54,30.70,38.40
236,2025-10-05,12:52:14,30.70,38.30
237,2025-10-05,12:52:34,30.70,38.00
238,2025-10-05,12:52:54,30.70,38.40
239,2025-10-05,12:53:14,30.80,38.30
240,2025-10-05,12:53:34,30.80,37.60
241,2025-10-05,12:53:54,30.80,37.60
242,2025-10-05,12:54:13,30.90,37.50
243,2025-10-05,12:54:33,30.90,37.80
244,2025-10-05,12:54:53,30.90,38.30
245,2025-10-05,12:55:13,30.90,38.90
246,2025-10-05,12:55:33,30.90,38.90
247,2025-10-05,12:55:53,30.90,38.70
248,2025-10-05,12:56:13,30.90,38.30
249,2025-10-05,12:56:33,31.00,37.30
250,2025-10-05,12:56:53,31.00,37.40
251,2025-10-05,12:57:13,31.00,36.90
252,2025-10-05,12:57:33,30.90,36.60
253,2025-10-05,12:57:53,31.00,36.70
254,2025-10-05,12:58:13,31.00,36.80
255,2025-10-05,12:58:33,31.00,37.00
256,2025-10-05,12:58:53,31.10,36.80
257,2025-10-05,12:59:13,31.10,36.20
258,2025-10-05,12:59:33,31.20,35.50
259,2025-10-05,12:59:53,31.30,35.50
260,2025-10-05,13:00:13,31.40,35.50
261,2025-10-05,13:00:33,31.50,35.30
262,2025-10-05,13:00:53,31.60,35.40
263,2025-10-05,13:01:13,31.60,35.80
264,2025-10-05,13:01:33,31.70,35.70
265,2025-10-05,13:01:53,31.80,35.80
266,2025-10-05,13:02:13,31.80,35.80
267,2025-10-05,13:02:33,31.80,36.30
268,2025-10-05,13:02:53,31.70,35.40
269,2025-10-05,13:03:13,31.70,35.80
270,2025-10-05,13:03:33,31.60,36.70
271,2025-10-05,13:03:53,31.60,36.50
272,2025-10-05,13:04:13,31.50,35.90
273,2025-10-05,13:04:33,31.50,35.60
274,2025-10-05,13:04:53,31.50,35.30
275,2025-10-05,13:05:13,31.40,35.90
276,2025-10-05,13:05:33,31.30,37.00
277,2025-10-05,13:05:53,31.30,37.90
278,2025-10-05,13:06:13,31.30,38.60
279,2025-10-05,13:06:33,31.20,38.90
280,2025-10-05,13:06:53,31.20,39.20
281,2025-10-05,13:07:13,31.20,39.60
