[2025-10-04 14:13:21] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-04 14:13:21, Temp: 27.4, Umid: 48.2
[2025-10-04 14:16:44] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-04 14:16:44, Temp: 27.5, Umid: 47.7
[2025-10-04 14:17:06] Dispositivo: Pico W_11f0bb, Leitura: 2, Horario: 2025-10-04 14:17:06, Temp: 27.7, Umid: 47.7
[2025-10-04 14:17:28] Dispositivo: Pico W_11f0bb, Leitura: 3, Horario: 2025-10-04 14:17:28, Temp: 27.7, Umid: 47.5
[2025-10-04 14:17:51] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-10-04 14:17:51, Temp: 27.7, Umid: 47.4
[2025-10-04 14:18:13] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-10-04 14:18:13, Temp: 27.7, Umid: 47.4
[2025-10-04 14:18:35] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-10-04 14:18:35, Temp: 27.7, Umid: 47.2
[2025-10-04 14:18:58] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-10-04 14:18:57, Temp: 27.7, Umid: 46.8
[2025-10-04 14:19:20] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-10-04 14:19:20, Temp: 27.7, Umid: 47.0
[2025-10-04 14:21:27] Dispositivo: Pico W_11f0bb, Leitura: 1, Horario: 2025-10-04 14:21:27, Temp: 27.7, Umid: 46.8
[2025-10-04 14:21:49] Dispositivo: Pico W_11f0bb, Leitura: 2, Horario: 2025-10-04 14:21:49, Temp: 27.6, Umid: 47.2
[2025-10-04 14:22:12] Dispositivo: Pico W_11f0bb, Leitura: 3, Horario: 2025-10-04 14:22:11, Temp: 27.6, Umid: 47.5
[2025-10-04 14:22:34] Dispositivo: Pico W_11f0bb, Leitura: 4, Horario: 2025-10-04 14:22:34, Temp: 27.6, Umid: 47.4
[2025-10-04 14:22:56] Dispositivo: Pico W_11f0bb, Leitura: 5, Horario: 2025-10-04 14:22:56, Temp: 27.6, Umid: 47.7
[2025-10-04 14:23:18] Dispositivo: Pico W_11f0bb, Leitura: 6, Horario: 2025-10-04 14:23:18, Temp: 27.6, Umid: 47.7
[2025-10-04 14:23:40] Dispositivo: Pico W_11f0bb, Leitura: 7, Horario: 2025-10-04 14:23:41, Temp: 27.6, Umid: 47.4
[2025-10-04 14:24:03] Dispositivo: Pico W_11f0bb, Leitura: 8, Horario: 2025-10-04 14:24:03, Temp: 27.6, Umid: 47.4
