"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"25,2";"";"";"91,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0100";"24,6";"";"";"91,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0200";"25,0";"";"";"84,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0300";"24,3";"";"";"90,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0400";"24,1";"";"";"88,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0500";"23,7";"";"";"94,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0600";"22,7";"";"";"98,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0700";"22,1";"";"";"99,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0800";"21,8";"";"";"99,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0900";"21,7";"";"";"98,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"21,9";"";"";"98,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1100";"23,2";"";"";"88,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1200";"25,4";"";"";"79,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1300";"27,5";"";"";"73,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1400";"28,1";"";"";"72,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1500";"29,4";"";"";"66,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1600";"31,1";"";"";"62,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1700";"32,2";"";"";"57,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1800";"33,8";"";"";"54,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1900";"32,5";"";"";"51,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2000";"29,1";"";"";"61,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2100";"25,7";"";"";"88,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,4"
"01/01/2025";"2200";"23,2";"";"";"92,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2300";"22,8";"";"";"92,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0000";"22,3";"";"";"95,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0100";"21,5";"";"";"97,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0200";"21,1";"";"";"98,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0300";"21,1";"";"";"97,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0400";"21,3";"";"";"96,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0500";"21,1";"";"";"98,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0600";"20,5";"";"";"99,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0700";"20,2";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0800";"20,1";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0900";"19,9";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1000";"20,2";"";"";"99,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1100";"21,3";"";"";"95,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1200";"23,0";"";"";"86,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1300";"25,7";"";"";"78,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1400";"28,3";"";"";"72,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1500";"31,0";"";"";"64,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1600";"33,4";"";"";"53,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1700";"34,9";"";"";"51,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1800";"36,3";"";"";"46,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1900";"35,1";"";"";"52,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"2000";"31,7";"";"";"70,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
