"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"23,6";"24,5";"23,6";"100,0";"100,0";"100,0";"23,6";"24,5";"23,6";"1012,5";"1012,5";"1011,5";"";"";"";"";"0,0"
"01/01/2025";"0100";"23,2";"23,6";"23,2";"100,0";"100,0";"100,0";"23,2";"23,5";"23,2";"1012,8";"1012,8";"1012,4";"";"";"";"";"0,0"
"01/01/2025";"0200";"22,9";"23,2";"22,9";"100,0";"100,0";"100,0";"22,9";"23,2";"22,9";"1012,5";"1012,9";"1012,5";"";"";"";"";"0,0"
"01/01/2025";"0300";"22,8";"22,9";"22,7";"100,0";"100,0";"100,0";"22,8";"22,9";"22,7";"1012,3";"1012,5";"1012,3";"";"";"";"";"0,0"
"01/01/2025";"0400";"22,5";"22,8";"22,4";"100,0";"100,0";"100,0";"22,5";"22,7";"22,4";"1011,9";"1012,3";"1011,9";"";"";"";"";"0,0"
"01/01/2025";"0500";"22,3";"22,6";"22,3";"100,0";"100,0";"100,0";"22,3";"22,6";"22,3";"1011,6";"1011,9";"1011,5";"";"";"";"";"0,0"
"01/01/2025";"0600";"21,9";"22,3";"21,8";"100,0";"100,0";"100,0";"21,9";"22,2";"21,8";"1011,1";"1011,6";"1010,9";"";"";"";"";"0,0"
"01/01/2025";"0700";"22,1";"22,2";"21,8";"100,0";"100,0";"100,0";"22,1";"22,2";"21,8";"1011,0";"1011,1";"1011,0";"";"";"";"";"0,0"
"01/01/2025";"0800";"22,3";"22,6";"22,1";"100,0";"100,0";"100,0";"22,3";"22,6";"22,1";"1011,2";"1011,2";"1010,9";"";"";"";"";"0,0"
"01/01/2025";"0900";"22,8";"22,8";"22,1";"100,0";"100,0";"100,0";"22,8";"22,8";"22,1";"1011,7";"1011,7";"1011,2";"";"";"";"12,20";"0,0"
"01/01/2025";"1000";"23,2";"23,2";"22,7";"100,0";"100,0";"100,0";"23,2";"23,2";"22,7";"1012,5";"1012,5";"1011,7";"";"";"";"187,80";"0,0"
"01/01/2025";"1100";"24,4";"24,5";"23,2";"100,0";"100,0";"99,0";"24,4";"24,5";"23,3";"1012,6";"1012,7";"1012,4";"";"";"";"964,40";"0,0"
"01/01/2025";"1200";"26,4";"26,4";"24,4";"82,0";"100,0";"79,0";"23,1";"24,3";"22,3";"1012,8";"1012,8";"1012,5";"";"";"";"1675,60";"0,0"
"01/01/2025";"1300";"27,1";"27,3";"26,3";"83,0";"84,0";"78,0";"23,8";"24,2";"22,4";"1013,2";"1013,2";"1012,8";"";"";"";"1754,60";"0,0"
"01/01/2025";"1400";"27,3";"27,4";"27,1";"83,0";"86,0";"79,0";"24,2";"24,7";"23,3";"1013,2";"1013,2";"1013,1";"";"";"";"1680,70";"0,0"
"01/01/2025";"1500";"27,3";"27,7";"27,1";"82,0";"86,0";"79,0";"24,0";"";"";"1012,8";"1013,2";"1012,8";"";"";"";"2068,40";"0,0"
"01/01/2025";"1600";"27,4";"27,5";"27,1";"83,0";"85,0";"79,0";"24,1";"24,5";"23,5";"1012,5";"1012,8";"1012,4";"";"";"";"1544,00";"0,0"
"01/01/2025";"1700";"27,2";"27,7";"27,1";"83,0";"86,0";"82,0";"24,1";"24,9";"24,1";"1011,9";"1012,6";"1011,9";"";"";"";"1448,90";"0,0"
"01/01/2025";"1800";"26,7";"27,6";"26,7";"83,0";"85,0";"82,0";"23,6";"24,5";"23,5";"1011,2";"1011,9";"1011,2";"";"";"";"800,90";"0,0"
"01/01/2025";"1900";"27,1";"27,3";"26,7";"78,0";"84,0";"77,0";"22,9";"23,9";"22,7";"1011,0";"1011,2";"1010,8";"";"";"";"923,60";"0,0"
"01/01/2025";"2000";"27,5";"27,5";"27,0";"";"80,0";"77,0";"";"23,6";"22,8";"1010,5";"1011,0";"1010,5";"";"";"";"727,80";"0,0"
"01/01/2025";"2100";"26,8";"27,5";"26,8";"83,0";"85,0";"76,0";"23,6";"24,5";"22,7";"1010,6";"1010,6";"1010,1";"";"";"";"560,20";"0,0"
"01/01/2025";"2200";"26,5";"26,8";"26,5";"85,0";"85,0";"83,0";"23,6";"23,9";"23,5";"1010,5";"1010,7";"1010,5";"";"";"";"116,20";"0,0"
"01/01/2025";"2300";"25,2";"26,4";"25,2";"100,0";"100,0";"84,0";"25,2";"25,4";"23,6";"1011,0";"1011,0";"1010,5";"";"";"";"0,60";"0,0"
"02/01/2025";"0000";"24,2";"25,2";"24,2";"100,0";"100,0";"100,0";"24,2";"25,2";"24,2";"1011,5";"1011,5";"1011,0";"";"";"";"";"0,0"
"02/01/2025";"0100";"23,6";"24,2";"23,6";"100,0";"100,0";"100,0";"23,6";"24,2";"23,6";"1012,4";"1012,4";"1011,5";"";"";"";"";"0,0"
"02/01/2025";"0200";"22,9";"23,6";"22,9";"100,0";"100,0";"100,0";"22,9";"23,6";"22,9";"1012,5";"1012,5";"1012,3";"";"";"";"";"0,0"
"02/01/2025";"0300";"22,6";"22,9";"22,6";"100,0";"100,0";"100,0";"22,6";"22,9";"22,6";"1012,1";"1012,5";"1012,0";"";"";"";"";"0,0"
"02/01/2025";"0400";"22,4";"22,6";"22,4";"100,0";"100,0";"100,0";"22,4";"22,6";"22,4";"1011,0";"1012,1";"1011,0";"";"";"";"";"0,0"
"02/01/2025";"0500";"22,3";"22,5";"22,3";"100,0";"100,0";"100,0";"22,3";"22,5";"22,3";"1010,2";"1011,0";"1010,2";"";"";"";"";"0,0"
"02/01/2025";"0600";"22,5";"22,6";"22,3";"100,0";"100,0";"100,0";"22,5";"22,6";"22,3";"1009,7";"1010,2";"1009,6";"";"";"";"";"0,0"
"02/01/2025";"0700";"22,6";"22,9";"22,5";"100,0";"100,0";"100,0";"22,6";"22,9";"22,5";"1009,4";"1009,7";"1009,4";"";"";"";"";"0,0"
"02/01/2025";"0800";"22,6";"22,7";"22,4";"100,0";"100,0";"100,0";"22,6";"22,7";"22,4";"1009,2";"1009,4";"1009,1";"";"";"";"";"0,0"
"02/01/2025";"0900";"22,4";"22,6";"22,4";"100,0";"100,0";"100,0";"22,4";"22,6";"22,4";"1010,2";"1010,2";"1009,2";"";"";"";"8,70";"0,0"
"02/01/2025";"1000";"23,1";"23,1";"22,3";"100,0";"100,0";"100,0";"23,1";"23,1";"22,3";"1010,6";"1010,8";"1010,2";"";"";"";"175,10";"0,0"
"02/01/2025";"1100";"24,9";"24,9";"23,1";"100,0";"100,0";"99,0";"24,8";"24,8";"23,1";"1010,6";"1010,8";"1010,6";"";"";"";"743,30";"0,0"
"02/01/2025";"1200";"26,7";"26,7";"24,8";"84,0";"100,0";"84,0";"23,8";"24,8";"23,7";"1010,1";"1010,6";"1010,1";"";"";"";"1727,20";"0,0"
"02/01/2025";"1300";"28,2";"28,3";"26,7";"";"";"";"";"";"";"1009,7";"1010,2";"1009,6";"";"";"";"2799,60";"0,0"
"02/01/2025";"1400";"28,7";"28,9";"27,9";"";"";"";"";"";"";"1009,6";"1009,7";"1009,5";"";"";"";"3369,20";"0,0"
"02/01/2025";"1500";"28,8";"29,2";"28,3";"";"";"";"";"";"";"1009,1";"1009,5";"1009,1";"";"";"";"3598,70";"0,0"
"02/01/2025";"1600";"29,7";"29,7";"28,8";"";"";"";"";"";"";"1008,8";"1009,1";"1008,8";"";"";"";"3889,50";"0,0"
"02/01/2025";"1700";"29,3";"29,7";"28,5";"";"";"";"";"";"";"1008,5";"1008,9";"1008,5";"";"";"";"3180,10";"0,0"
"02/01/2025";"1800";"28,7";"29,2";"27,8";"";"";"";"";"";"";"1007,5";"1008,5";"1007,5";"";"";"";"1912,20";"0,0"
"02/01/2025";"1900";"27,8";"28,7";"27,7";"";"";"";"";"";"";"1007,1";"1007,5";"1007,1";"";"";"";"939,30";"0,0"
"02/01/2025";"2000";"27,3";"28,6";"27,2";"";"";"";"";"";"";"1006,4";"1007,2";"1006,4";"";"";"";"1344,20";"0,0"
"02/01/2025";"2100";"27,0";"27,5";"26,5";"79,0";"80,0";"70,0";"23,1";"23,3";"21,4";"1006,5";"1006,6";"1006,3";"";"";"";"504,10";"0,0"
"02/01/2025";"2200";"26,4";"27,1";"26,4";"89,0";"90,0";"77,0";"24,5";"24,6";"22,2";"1007,2";"1007,2";"1006,5";"";"";"";"68,30";"0,0"
"02/01/2025";"2300";"25,7";"26,4";"25,7";"95,0";"97,0";"89,0";"24,8";"25,5";"24,2";"1007,7";"1007,7";"1007,1";"";"";"";"";"0,0"
"03/01/2025";"0000";"25,1";"25,8";"25,1";"100,0";"100,0";"94,0";"25,1";"25,5";"24,7";"1008,5";"1008,8";"1007,5";"";"";"";"";"0,0"
"03/01/2025";"0100";"26,3";"26,7";"25,0";"81,0";"100,0";"69,0";"22,7";"25,1";"20,1";"1009,7";"1009,7";"1008,4";"";"";"";"";"0,0"
"03/01/2025";"0200";"23,0";"26,2";"22,8";"100,0";"100,0";"81,0";"22,9";"24,4";"22,8";"1011,2";"1011,7";"1009,6";"";"";"";"";"2,4"
"03/01/2025";"0300";"22,9";"23,0";"22,8";"100,0";"100,0";"100,0";"22,9";"23,0";"22,8";"1009,4";"1011,1";"1009,4";"";"";"";"";"0,2"
"03/01/2025";"0400";"22,9";"22,9";"22,8";"100,0";"100,0";"100,0";"22,9";"22,9";"22,8";"1007,9";"1009,4";"1007,9";"";"";"";"";"0,0"
"03/01/2025";"0500";"23,2";"23,2";"22,9";"100,0";"100,0";"100,0";"23,1";"23,2";"22,9";"1006,8";"1008,0";"1006,8";"";"";"";"";"0,0"
"03/01/2025";"0600";"23,2";"24,4";"23,0";"100,0";"100,0";"84,0";"23,2";"23,7";"21,4";"1005,8";"1006,9";"1005,8";"";"";"";"";"0,0"
"03/01/2025";"0700";"22,8";"23,2";"22,7";"100,0";"100,0";"100,0";"22,8";"23,2";"22,8";"1005,5";"1005,8";"1005,4";"";"";"";"";"0,0"
