"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"17,5";"18,6";"17,5";"100,0";"100,0";"100,0";"";"";"";"933,1";"933,5";"932,4";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0100";"16,7";"17,3";"16,7";"100,0";"100,0";"100,0";"";"";"";"933,4";"934,1";"932,9";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0200";"16,2";"16,7";"16,2";"100,0";"100,0";"100,0";"";"";"";"933,5";"933,8";"933,0";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0300";"16,8";"16,8";"15,9";"100,0";"100,0";"100,0";"";"";"";"932,9";"933,6";"932,7";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0400";"16,8";"16,8";"16,5";"100,0";"100,0";"100,0";"";"";"";"933,4";"933,4";"";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0500";"16,8";"17,3";"16,8";"100,0";"100,0";"100,0";"";"";"";"932,3";"933,2";"931,7";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0600";"16,8";"16,8";"16,4";"100,0";"100,0";"100,0";"";"";"";"932,2";"933,0";"932,0";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0700";"17,2";"17,2";"16,8";"100,0";"100,0";"100,0";"";"";"";"931,7";"932,6";"931,5";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0800";"17,0";"17,2";"17,0";"100,0";"100,0";"100,0";"";"";"";"932,2";"932,2";"931,6";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"0900";"16,2";"17,0";"16,2";"100,0";"100,0";"100,0";"";"";"";"932,6";"932,8";"932,3";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"1000";"17,6";"17,6";"16,2";"100,0";"100,0";"100,0";"";"";"";"933,7";"933,7";"932,5";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"1100";"19,6";"19,6";"17,6";"100,0";"100,0";"100,0";"";"";"";"933,1";"934,0";"932,9";"0,0";"0,0";"0,0";"";"6,2"
"01/01/2025";"1200";"22,9";"22,9";"19,6";"100,0";"100,0";"100,0";"";"";"";"933,7";"934,0";"932,9";"0,0";"315,0";"0,0";"";"0,0"
"01/01/2025";"1300";"25,8";"25,8";"22,9";"77,4";"92,3";"100,0";"";"";"";"932,9";"935,2";"932,9";"0,0";"22,0";"1,5";"";"0,0"
"01/01/2025";"1400";"26,4";"26,7";"25,7";"70,7";"77,4";"65,7";"";"";"";"932,2";"933,0";"932,2";"0,0";"337,0";"1,5";"";"0,0"
"01/01/2025";"1500";"27,6";"28,1";"26,4";"58,5";"70,7";"58,5";"";"";"";"930,9";"932,6";"930,9";"0,9";"202,0";"0,9";"";"0,0"
"01/01/2025";"1600";"23,6";"28,7";"23,6";"84,7";"86,5";"55,4";"";"";"";"930,6";"931,4";"930,6";"2,2";"180,0";"2,2";"";"0,0"
"01/01/2025";"1700";"19,6";"23,6";"19,6";"87,9";"99,3";"84,7";"";"";"";"932,0";"932,4";"930,6";"3,1";"247,0";"2,2";"";"0,8"
"01/01/2025";"1800";"17,4";"19,6";"17,4";"100,0";"87,9";"100,0";"";"";"";"931,6";"932,0";"931,3";"0,0";"225,0";"1,1";"";"7,6"
"01/01/2025";"1900";"17,6";"17,6";"17,4";"100,0";"100,0";"100,0";"";"";"";"931,9";"932,6";"931,6";"0,0";"202,0";"0,0";"";"0,2"
"01/01/2025";"2000";"18,7";"18,7";"17,9";"100,0";"100,0";"100,0";"";"";"";"931,7";"931,8";"931,0";"0,0";"247,0";"0,0";"";"0,2"
"01/01/2025";"2100";"19,9";"20,3";"19,3";"100,0";"100,0";"100,0";"";"";"";"931,3";"931,5";"930,5";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"2200";"18,9";"19,7";"18,9";"100,0";"100,0";"100,0";"";"";"";"931,5";"931,9";"931,4";"0,0";"225,0";"0,0";"";"0,0"
"01/01/2025";"2300";"18,4";"18,9";"18,4";"100,0";"100,0";"100,0";"";"";"";"932,7";"932,7";"931,3";"0,0";"0,0";"0,5";"";"0,0"
"02/01/2025";"0000";"17,9";"18,5";"17,9";"100,0";"100,0";"100,0";"";"";"";"932,9";"933,1";"932,4";"0,0";"202,0";"0,0";"";"0,0"
"02/01/2025";"0100";"16,9";"17,9";"16,9";"100,0";"100,0";"100,0";"";"";"";"933,8";"933,8";"932,9";"0,0";"202,0";"0,0";"";"0,0"
"02/01/2025";"0200";"16,4";"16,8";"16,4";"100,0";"100,0";"100,0";"";"";"";"933,0";"933,5";"933,0";"0,0";"202,0";"0,0";"";"0,0"
"02/01/2025";"0300";"16,3";"16,7";"16,2";"100,0";"100,0";"100,0";"";"";"";"932,6";"933,1";"932,6";"0,0";"247,0";"0,0";"";"0,0"
"02/01/2025";"0400";"15,8";"16,2";"15,8";"100,0";"100,0";"100,0";"";"";"";"931,5";"932,4";"";"0,0";"247,0";"0,0";"";"0,0"
"02/01/2025";"0500";"15,5";"16,2";"15,5";"100,0";"100,0";"100,0";"";"";"";"931,1";"931,6";"931,1";"0,0";"247,0";"0,0";"";"0,0"
"02/01/2025";"0600";"15,1";"15,5";"15,1";"100,0";"100,0";"100,0";"";"";"";"930,7";"931,2";"930,7";"0,0";"247,0";"0,0";"";"0,0"
"02/01/2025";"0700";"14,8";"15,1";"14,8";"100,0";"100,0";"100,0";"";"";"";"931,2";"931,5";"931,1";"0,0";"247,0";"0,0";"";"0,0"
"02/01/2025";"0800";"14,9";"14,9";"14,8";"100,0";"100,0";"100,0";"";"";"";"930,9";"931,2";"930,7";"0,0";"247,0";"0,0";"";"0,2"
"02/01/2025";"0900";"15,1";"15,4";"14,8";"100,0";"100,0";"100,0";"";"";"";"931,9";"931,9";"930,9";"0,0";"247,0";"0,0";"";"0,0"
"02/01/2025";"1000";"17,6";"17,6";"15,4";"100,0";"100,0";"100,0";"";"";"";"933,0";"933,0";"931,6";"0,0";"0,0";"0,0";"";"0,0"
"02/01/2025";"1100";"19,7";"19,7";"17,9";"100,0";"100,0";"100,0";"";"";"";"932,1";"933,1";"932,1";"0,0";"67,0";"0,0";"";"9,0"
"02/01/2025";"1200";"23,4";"23,4";"20,1";"88,5";"95,2";"100,0";"";"";"";"931,8";"932,2";"931,8";"0,0";"67,0";"1,1";"";"0,0"
"02/01/2025";"1300";"25,1";"25,1";"23,8";"76,8";"89,5";"76,8";"";"";"";"931,4";"933,3";"931,4";"1,3";"292,0";"1,8";"";"0,0"
"02/01/2025";"1400";"26,7";"26,8";"24,9";"69,2";"76,8";"69,2";"";"";"";"929,5";"931,4";"929,4";"0,0";"0,0";"2,4";"";"0,0"
"02/01/2025";"1500";"28,2";"28,2";"";"58,5";"69,2";"";"";"";"";"929,9";"930,1";"";"3,0";"22,0";"1,6";"";""
"02/01/2025";"1600";"29,1";"29,1";"28,1";"50,2";"57,4";"50,2";"";"";"";"928,7";"929,7";"928,6";"0,1";"22,0";"1,3";"";"0,0"
"02/01/2025";"1700";"30,2";"30,2";"29,5";"49,7";"51,7";"48,5";"";"";"";"928,9";"929,5";"928,0";"0,3";"0,0";"0,5";"";"0,0"
"02/01/2025";"1800";"29,5";"30,9";"29,1";"51,0";"55,5";"48,5";"";"";"";"926,6";"928,5";"926,6";"0,0";"315,0";"1,1";"";"0,0"
"02/01/2025";"1900";"29,8";"30,4";"29,3";"49,3";"51,0";"45,6";"";"";"";"926,1";"926,9";"926,1";"1,5";"225,0";"2,0";"";"0,0"
"02/01/2025";"2000";"28,6";"29,8";"28,4";"55,3";"55,3";"49,3";"";"";"";"925,2";"926,5";"925,2";"0,0";"292,0";"1,5";"";"0,0"
"02/01/2025";"2100";"24,0";"28,6";"24,0";"90,9";"90,9";"55,3";"";"";"";"927,9";"927,9";"925,2";"0,0";"247,0";"0,5";"";"0,0"
"02/01/2025";"2200";"21,8";"24,0";"21,8";"100,0";"98,4";"100,0";"";"";"";"928,9";"929,0";"927,6";"0,0";"225,0";"0,0";"";"0,0"
"02/01/2025";"2300";"21,1";"21,8";"21,1";"100,0";"100,0";"100,0";"";"";"";"929,1";"929,1";"928,6";"0,0";"0,0";"1,6";"";"0,0"
"03/01/2025";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"0100";"17,9";"21,1";"";"100,0";"100,0";"";"";"";"";"932,0";"932,0";"";"0,0";"202,0";"0,0";"";""
"03/01/2025";"0200";"17,7";"17,9";"17,7";"100,0";"100,0";"100,0";"";"";"";"930,8";"932,0";"930,8";"0,0";"45,0";"0,0";"";"0,2"
"03/01/2025";"0300";"17,8";"17,8";"17,6";"100,0";"100,0";"100,0";"";"";"";"930,6";"931,1";"930,5";"0,0";"45,0";"0,0";"";"0,0"
"03/01/2025";"0400";"18,2";"18,2";"17,8";"100,0";"100,0";"100,0";"";"";"";"930,8";"930,8";"";"0,0";"337,0";"0,0";"";"0,0"
"03/01/2025";"0500";"18,1";"18,4";"18,1";"100,0";"100,0";"100,0";"";"";"";"929,3";"930,6";"929,3";"0,0";"337,0";"0,0";"";"0,0"
"03/01/2025";"0600";"17,3";"18,1";"17,3";"100,0";"100,0";"100,0";"";"";"";"928,2";"929,3";"928,1";"0,0";"337,0";"0,0";"";"0,0"
"03/01/2025";"0700";"17,5";"17,5";"17,2";"100,0";"100,0";"100,0";"";"";"";"928,5";"928,5";"928,0";"0,0";"0,0";"0,0";"";"0,0"
"03/01/2025";"0800";"17,8";"17,9";"17,5";"100,0";"100,0";"100,0";"";"";"";"928,8";"928,8";"928,5";"0,0";"0,0";"0,0";"";"0,0"
"03/01/2025";"0900";"17,1";"17,8";"17,0";"100,0";"100,0";"100,0";"";"";"";"929,5";"929,5";"928,1";"0,0";"0,0";"0,0";"";"0,0"
"03/01/2025";"1000";"18,8";"18,8";"17,4";"100,0";"100,0";"100,0";"";"";"";"929,3";"929,5";"929,1";"0,0";"22,0";"0,0";"";"0,2"
