"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"24,3";"";"";"90,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0100";"23,7";"";"";"94,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0200";"23,2";"";"";"95,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0300";"23,2";"";"";"95,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0400";"23,1";"";"";"95,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"0600";"22,1";"";"";"99,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0700";"22,2";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0800";"21,9";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0900";"21,9";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"1100";"24,2";"";"";"89,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1200";"27,0";"";"";"75,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"1400";"28,9";"";"";"73,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1500";"29,9";"";"";"66,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"1700";"31,8";"";"";"62,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2025";"1900";"32,7";"";"";"70,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2000";"25,2";"";"";"92,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"1,2"
"01/01/2025";"2100";"21,4";"";"";"97,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2200";"21,7";"";"";"97,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"0000";"21,0";"";"";"99,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0100";"21,0";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0200";"21,3";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0300";"21,5";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0400";"21,5";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0500";"21,4";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0600";"20,9";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0700";"20,7";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0800";"20,5";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0900";"20,2";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1000";"20,9";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"1500";"32,0";"";"";"66,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1600";"33,6";"";"";"61,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1700";"35,2";"";"";"52,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1800";"35,3";"";"";"49,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"2000";"30,7";"";"";"74,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"2100";"28,9";"";"";"70,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2025";"2300";"21,9";"";"";"99,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"5,0"
"03/01/2025";"0000";"21,6";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"1,2"
"03/01/2025";"0100";"21,5";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0200";"21,3";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0300";"21,1";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0400";"21,1";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0500";"21,0";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0600";"20,6";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0700";"20,4";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,2"
"03/01/2025";"0800";"20,3";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0900";"20,2";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2025";"1100";"22,5";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1200";"25,8";"";"";"81,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1300";"29,5";"";"";"72,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1400";"31,4";"";"";"66,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1500";"33,1";"";"";"59,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1600";"34,5";"";"";"55,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1700";"35,6";"";"";"50,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1800";"36,9";"";"";"41,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"1900";"36,4";"";"";"51,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"2000";"32,2";"";"";"64,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"2100";"30,2";"";"";"67,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"2200";"28,7";"";"";"75,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"2300";"25,7";"";"";"93,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,4"
"04/01/2025";"0000";"23,0";"";"";"98,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0100";"22,5";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"0300";"22,1";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0400";"21,9";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0500";"21,7";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"0700";"21,4";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0800";"21,2";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0900";"21,1";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1000";"21,7";"";"";"99,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1100";"23,8";"";"";"90,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1200";"25,9";"";"";"85,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,2"
"04/01/2025";"1300";"28,3";"";"";"72,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1400";"30,9";"";"";"65,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1500";"32,6";"";"";"59,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1600";"34,1";"";"";"50,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1700";"34,9";"";"";"50,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1800";"29,4";"";"";"62,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1900";"25,8";"";"";"82,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"2000";"24,4";"";"";"92,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"2100";"23,5";"";"";"94,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
