"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"24,3";"24,6";"24,1";"87,0";"87,0";"84,0";"21,9";"21,9";"21,5";"1012,3";"1012,3";"1011,2";"1,5";"101,0";"5,0";"";"0,0"
"01/01/2025";"0100";"24,3";"24,7";"24,1";"88,0";"88,0";"85,0";"22,1";"22,1";"21,8";"1013,0";"1013,0";"1012,1";"0,3";"136,0";"6,5";"";"0,0"
"01/01/2025";"0200";"24,2";"24,9";"24,2";"86,0";"88,0";"83,0";"21,7";"22,2";"21,6";"1013,1";"1013,3";"1013,0";"1,9";"92,0";"6,5";"";"0,0"
"01/01/2025";"0300";"23,8";"24,2";"23,6";"91,0";"91,0";"86,0";"22,3";"22,3";"21,7";"1012,4";"1013,1";"1012,4";"1,7";"104,0";"4,8";"";"0,0"
"01/01/2025";"0400";"23,9";"24,5";"23,8";"89,0";"91,0";"87,0";"22,1";"22,4";"22,0";"1011,7";"1012,4";"1011,7";"1,1";"81,0";"5,7";"";"0,0"
"01/01/2025";"0500";"23,0";"24,0";"23,0";"92,0";"92,0";"89,0";"21,6";"22,3";"21,5";"1011,4";"1011,7";"1011,3";"0,3";"189,0";"3,7";"";"0,0"
"01/01/2025";"0600";"22,6";"23,0";"22,6";"97,0";"97,0";"92,0";"22,1";"22,1";"21,6";"1011,0";"1011,4";"1011,0";"";"";"1,4";"";"0,0"
"01/01/2025";"0700";"22,7";"22,8";"22,6";"98,0";"98,0";"97,0";"22,3";"22,5";"22,0";"1011,2";"1011,2";"1011,0";"";"";"";"";"0,0"
"01/01/2025";"0800";"22,3";"22,7";"22,3";"98,0";"99,0";"98,0";"22,1";"22,5";"22,0";"1011,7";"1011,7";"1011,2";"";"";"";"";"0,0"
"01/01/2025";"0900";"22,5";"22,5";"22,3";"99,0";"99,0";"98,0";"22,3";"22,3";"22,0";"1012,1";"1012,1";"1011,7";"";"";"";"24,80";"0,0"
"01/01/2025";"1000";"24,9";"25,2";"22,5";"88,0";"99,0";"88,0";"22,7";"23,7";"22,3";"1012,7";"1012,7";"1012,1";"0,3";"145,0";"";"507,40";"0,0"
"01/01/2025";"1100";"24,8";"25,1";"24,5";"88,0";"90,0";"86,0";"22,6";"23,2";"22,2";"1012,9";"1013,0";"1012,7";"0,4";"298,0";"1,2";"607,10";"0,0"
"01/01/2025";"1200";"27,0";"27,1";"24,7";"73,0";"88,0";"72,0";"21,7";"22,9";"21,7";"1013,1";"1013,2";"1012,9";"0,5";"201,0";"1,4";"1297,80";"0,0"
"01/01/2025";"1300";"27,8";"28,7";"27,0";"72,0";"74,0";"68,0";"22,3";"22,7";"21,5";"1013,1";"1013,1";"1013,0";"1,4";"160,0";"3,0";"2935,80";"0,0"
"01/01/2025";"1400";"28,0";"28,5";"27,4";"73,0";"76,0";"70,0";"22,7";"23,6";"21,6";"1012,6";"1013,1";"1012,6";"1,8";"121,0";"3,9";"1851,80";"0,0"
"01/01/2025";"1500";"28,6";"29,4";"28,0";"72,0";"76,0";"70,0";"23,0";"24,1";"22,7";"1012,1";"1012,6";"1012,1";"2,2";"116,0";"5,5";"2966,20";"0,0"
"01/01/2025";"1600";"29,0";"29,4";"28,3";"72,0";"76,0";"71,0";"23,3";"24,1";"22,9";"1011,4";"1012,1";"1011,4";"3,4";"110,0";"7,5";"3794,80";"0,0"
"01/01/2025";"1700";"28,9";"29,3";"28,6";"71,0";"75,0";"70,0";"23,2";"23,9";"23,0";"1010,4";"1011,4";"1010,4";"3,1";"118,0";"8,4";"3612,90";"0,0"
"01/01/2025";"1800";"28,6";"29,0";"28,3";"69,0";"74,0";"69,0";"22,3";"23,4";"22,3";"1009,9";"1010,4";"1009,9";"3,2";"106,0";"8,8";"3170,30";"0,0"
"01/01/2025";"1900";"28,0";"28,9";"27,9";"71,0";"73,0";"68,0";"22,4";"23,4";"21,5";"1009,4";"1009,9";"1009,3";"3,5";"91,0";"9,7";"2551,90";"0,0"
"01/01/2025";"2000";"26,9";"28,2";"26,9";"72,0";"73,0";"69,0";"21,4";"22,6";"21,3";"1009,2";"1009,4";"1008,8";"2,8";"92,0";"8,7";"1352,40";"0,0"
"01/01/2025";"2100";"26,2";"27,0";"26,2";"76,0";"77,0";"72,0";"21,8";"21,9";"21,3";"1009,5";"1009,7";"1008,9";"1,7";"66,0";"7,5";"358,30";"0,0"
"01/01/2025";"2200";"25,5";"26,2";"25,5";"80,0";"80,0";"76,0";"21,9";"22,0";"21,6";"1010,9";"1010,9";"1009,5";"2,1";"93,0";"5,1";"60,80";"0,0"
"01/01/2025";"2300";"24,8";"25,5";"24,8";"83,0";"84,0";"80,0";"21,6";"22,3";"21,6";"1010,4";"1011,0";"1010,2";"1,8";"76,0";"5,9";"";"0,0"
"02/01/2025";"0000";"24,6";"25,3";"24,4";"84,0";"85,0";"81,0";"21,6";"22,0";"21,5";"1011,2";"1011,4";"1010,3";"0,9";"112,0";"5,4";"";"0,0"
"02/01/2025";"0100";"23,7";"25,0";"23,7";"91,0";"91,0";"82,0";"22,1";"22,1";"21,5";"1012,1";"1012,1";"1010,9";"0,4";"211,0";"4,9";"";"0,0"
"02/01/2025";"0200";"23,7";"23,8";"23,5";"94,0";"94,0";"91,0";"22,7";"22,7";"22,1";"1012,5";"1012,6";"1012,1";"0,4";"165,0";"1,0";"";"0,0"
"02/01/2025";"0300";"23,4";"23,7";"23,3";"97,0";"97,0";"94,0";"22,9";"22,9";"22,6";"1012,2";"1012,5";"1012,1";"";"";"";"";"0,0"
"02/01/2025";"0400";"23,0";"23,5";"23,0";"98,0";"98,0";"97,0";"22,7";"23,0";"22,6";"1011,1";"1012,2";"1011,1";"";"";"";"";"0,0"
"02/01/2025";"0500";"22,5";"23,1";"22,5";"99,0";"99,0";"98,0";"22,3";"22,8";"22,3";"1010,3";"1011,1";"1010,3";"";"";"";"";"0,0"
"02/01/2025";"0600";"21,8";"22,5";"21,7";"99,0";"99,0";"99,0";"21,7";"22,3";"21,5";"1010,0";"1010,3";"1009,9";"";"";"";"";"0,0"
"02/01/2025";"0700";"21,6";"22,6";"21,5";"99,0";"100,0";"99,0";"21,5";"22,5";"21,4";"1009,7";"1010,1";"1009,7";"";"";"";"";"0,0"
"02/01/2025";"0800";"21,5";"21,7";"21,4";"100,0";"100,0";"99,0";"21,5";"21,6";"21,3";"1009,5";"1009,7";"1009,4";"";"";"";"";"0,0"
"02/01/2025";"0900";"22,0";"22,1";"21,3";"100,0";"100,0";"100,0";"22,0";"22,1";"21,2";"1010,1";"1010,1";"1009,4";"";"";"";"21,70";"0,0"
"02/01/2025";"1000";"22,5";"22,5";"21,9";"100,0";"100,0";"100,0";"22,5";"22,5";"21,9";"1010,5";"1010,6";"1010,1";"";"";"";"236,90";"0,0"
"02/01/2025";"1100";"25,1";"25,2";"22,3";"94,0";"100,0";"94,0";"24,1";"24,7";"22,3";"1010,3";"1010,5";"1010,2";"0,7";"294,0";"";"1172,10";"0,0"
