"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"24,5";"";"";"70,5";"";"";"";"";"";"";"";"";"3,4";"";"";"";"0,0"
"01/01/2025";"0100";"23,2";"";"";"71,3";"";"";"";"";"";"";"";"";"3,5";"";"";"";"0,0"
"01/01/2025";"0200";"23,5";"";"";"75,3";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"01/01/2025";"0300";"23,1";"";"";"80,8";"";"";"";"";"";"";"";"";"3,4";"";"";"";"0,0"
"01/01/2025";"0400";"22,6";"";"";"82,8";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"01/01/2025";"0500";"22,4";"";"";"84,7";"";"";"";"";"";"";"";"";"2,4";"";"";"";"0,0"
"01/01/2025";"0600";"22,2";"";"";"86,4";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"01/01/2025";"0700";"21,9";"";"";"88,2";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"01/01/2025";"0800";"21,6";"";"";"90,1";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"01/01/2025";"0900";"21,4";"";"";"90,8";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"01/01/2025";"1000";"22,0";"";"";"89,1";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"01/01/2025";"1100";"23,5";"";"";"80,1";"";"";"";"";"";"";"";"";"3,1";"";"";"";"0,0"
"01/01/2025";"1200";"25,1";"";"";"72,6";"";"";"";"";"";"";"";"";"3,9";"";"";"";"0,0"
"01/01/2025";"1300";"26,9";"";"";"66,7";"";"";"";"";"";"";"";"";"3,1";"";"";"";"0,0"
"01/01/2025";"1400";"27,9";"";"";"63,5";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"01/01/2025";"1500";"29,4";"";"";"58,6";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"01/01/2025";"1600";"30,6";"";"";"53,1";"";"";"";"";"";"";"";"";"2,2";"";"";"";"0,0"
"01/01/2025";"1700";"31,9";"";"";"48,9";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"01/01/2025";"1800";"31,6";"";"";"49,2";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"01/01/2025";"1900";"30,5";"";"";"51,2";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"01/01/2025";"2000";"29,0";"";"";"59,1";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"01/01/2025";"2100";"28,6";"";"";"62,4";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"2200";"28,2";"";"";"62,0";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"2300";"25,9";"";"";"63,4";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"02/01/2025";"0000";"24,7";"";"";"64,9";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"02/01/2025";"0100";"23,7";"";"";"69,4";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"02/01/2025";"0200";"23,1";"";"";"69,5";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"02/01/2025";"0300";"22,4";"";"";"74,6";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"02/01/2025";"0400";"22,7";"";"";"73,2";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"0500";"21,6";"";"";"80,9";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"02/01/2025";"0600";"21,4";"";"";"81,1";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"02/01/2025";"0700";"22,3";"";"";"77,8";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"02/01/2025";"0800";"22,0";"";"";"80,8";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"02/01/2025";"0900";"21,5";"";"";"84,9";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"02/01/2025";"1000";"21,6";"";"";"86,4";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,0"
"02/01/2025";"1100";"23,9";"";"";"75,9";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"02/01/2025";"1200";"26,0";"";"";"67,4";"";"";"";"";"";"";"";"";"3,7";"";"";"";"0,0"
"02/01/2025";"1300";"27,2";"";"";"64,5";"";"";"";"";"";"";"";"";"3,9";"";"";"";"0,0"
"02/01/2025";"1400";"28,1";"";"";"60,7";"";"";"";"";"";"";"";"";"3,1";"";"";"";"0,0"
"02/01/2025";"1500";"29,5";"";"";"56,3";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"02/01/2025";"1600";"30,6";"";"";"50,2";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"02/01/2025";"1700";"31,3";"";"";"48,1";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"02/01/2025";"1800";"32,2";"";"";"43,9";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,0"
"02/01/2025";"1900";"32,4";"";"";"43,1";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"02/01/2025";"2000";"31,6";"";"";"44,7";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"02/01/2025";"2100";"31,3";"";"";"45,1";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"02/01/2025";"2200";"28,3";"";"";"57,9";"";"";"";"";"";"";"";"";"3,2";"";"";"";"0,0"
