"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"23,1";"";"";"76,8";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"01/01/2025";"0100";"22,7";"";"";"75,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0200";"22,1";"";"";"82,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0300";"20,9";"";"";"83,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0400";"20,6";"";"";"86,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0500";"20,4";"";"";"86,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0600";"19,7";"";"";"88,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0700";"19,2";"";"";"89,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0800";"19,0";"";"";"90,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0900";"18,8";"";"";"90,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"21,1";"";"";"81,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1100";"25,5";"";"";"65,5";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"1200";"26,7";"";"";"63,1";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"1300";"27,7";"";"";"59,1";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"01/01/2025";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
