"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0300";"18,5";"";"";"93,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0400";"18,0";"";"";"94,2";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0500";"17,9";"";"";"94,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0600";"17,5";"";"";"94,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0700";"17,9";"";"";"94,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0800";"18,0";"";"";"94,5";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0900";"18,3";"";"";"93,9";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1000";"18,9";"";"";"93,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1100";"20,9";"";"";"88,0";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1200";"22,4";"";"";"83,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1300";"23,8";"";"";"79,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1400";"24,4";"";"";"77,2";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1500";"25,0";"";"";"77,0";"";"";"";"";"";"";"";"";"";"";"";"";"0,7"
"01/01/2022";"1600";"21,2";"";"";"91,9";"";"";"";"";"";"";"";"";"";"";"";"";"3,8"
"01/01/2022";"1700";"24,5";"";"";"86,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1800";"24,4";"";"";"83,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1900";"23,0";"";"";"84,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"2000";"25,3";"";"";"78,3";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"2100";"23,4";"";"";"84,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"2200";"22,0";"";"";"86,3";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"2300";"21,6";"";"";"84,3";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0000";"20,7";"";"";"87,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0100";"20,8";"";"";"86,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0200";"21,2";"";"";"86,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0300";"21,2";"";"";"87,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0400";"20,6";"";"";"89,3";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0500";"20,7";"";"";"88,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0600";"20,6";"";"";"88,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0700";"20,1";"";"";"91,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0800";"19,9";"";"";"91,5";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0900";"20,2";"";"";"91,9";"";"";"";"";"";"";"";"";"";"";"";"";"0,2"
"02/01/2022";"1000";"20,3";"";"";"92,2";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1100";"23,3";"";"";"82,7";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1200";"23,6";"";"";"81,7";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1300";"25,2";"";"";"75,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1400";"26,5";"";"";"71,7";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1500";"27,8";"";"";"66,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1600";"28,9";"";"";"62,0";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1700";"30,1";"";"";"55,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1800";"26,7";"";"";"70,7";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
