"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"23,9";"";"";"85,2";"";"";"";"";"";"";"";"";"3,4";"";"";"";"0,0"
"01/01/2025";"0100";"23,1";"";"";"88,1";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"01/01/2025";"0200";"22,7";"";"";"91,3";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"01/01/2025";"0300";"22,0";"";"";"94,5";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"0400";"21,3";"";"";"97,0";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"01/01/2025";"0500";"20,7";"";"";"99,6";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"0600";"20,5";"";"";"99,6";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"0700";"19,8";"";"";"100,0";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"0800";"19,5";"";"";"100,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0900";"19,1";"";"";"100,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"21,1";"";"";"97,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1100";"24,3";"";"";"81,9";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"1200";"24,8";"";"";"78,4";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"01/01/2025";"1300";"26,2";"";"";"73,3";"";"";"";"";"";"";"";"";"2,4";"";"";"";"0,0"
"01/01/2025";"1400";"27,2";"";"";"71,2";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"01/01/2025";"1500";"28,3";"";"";"68,2";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"01/01/2025";"1600";"29,3";"";"";"66,2";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"01/01/2025";"1700";"30,2";"";"";"63,6";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"01/01/2025";"1800";"30,7";"";"";"60,4";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"01/01/2025";"1900";"31,4";"";"";"56,9";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"2000";"30,2";"";"";"60,7";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"2100";"28,2";"";"";"69,6";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"2200";"26,7";"";"";"76,8";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"01/01/2025";"2300";"25,9";"";"";"80,0";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"02/01/2025";"0000";"24,9";"";"";"82,0";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"02/01/2025";"0100";"24,0";"";"";"79,1";"";"";"";"";"";"";"";"";"2,9";"";"";"";"0,0"
"02/01/2025";"0200";"23,4";"";"";"84,7";"";"";"";"";"";"";"";"";"3,2";"";"";"";"0,0"
"02/01/2025";"0300";"22,8";"";"";"89,6";"";"";"";"";"";"";"";"";"3,0";"";"";"";"0,0"
"02/01/2025";"0400";"22,4";"";"";"90,8";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"02/01/2025";"0500";"22,0";"";"";"93,7";"";"";"";"";"";"";"";"";"2,4";"";"";"";"0,0"
"02/01/2025";"0600";"21,5";"";"";"94,4";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"02/01/2025";"0700";"21,3";"";"";"96,3";"";"";"";"";"";"";"";"";"2,2";"";"";"";"0,0"
"02/01/2025";"0800";"20,5";"";"";"97,3";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"02/01/2025";"0900";"19,2";"";"";"99,6";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"02/01/2025";"1000";"20,8";"";"";"97,3";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"02/01/2025";"1100";"22,2";"";"";"92,1";"";"";"";"";"";"";"";"";"2,4";"";"";"";"0,0"
"02/01/2025";"1200";"24,2";"";"";"82,9";"";"";"";"";"";"";"";"";"2,9";"";"";"";"0,0"
"02/01/2025";"1300";"25,4";"";"";"77,2";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"02/01/2025";"1400";"26,6";"";"";"74,5";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"02/01/2025";"1500";"27,6";"";"";"72,7";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"02/01/2025";"1600";"28,9";"";"";"67,5";"";"";"";"";"";"";"";"";"3,5";"";"";"";"0,0"
"02/01/2025";"1700";"29,7";"";"";"65,1";"";"";"";"";"";"";"";"";"3,4";"";"";"";"0,0"
"02/01/2025";"1800";"29,7";"";"";"65,4";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"02/01/2025";"1900";"27,5";"";"";"73,5";"";"";"";"";"";"";"";"";"2,8";"";"";"";"20,5"
"02/01/2025";"2000";"22,5";"";"";"99,3";"";"";"";"";"";"";"";"";"1,9";"";"";"";"3,8"
"02/01/2025";"2100";"23,6";"";"";"96,7";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,2"
"02/01/2025";"2200";"22,8";"";"";"98,2";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,2"
"02/01/2025";"2300";"22,0";"";"";"99,5";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"03/01/2025";"0000";"21,7";"";"";"100,0";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"03/01/2025";"0100";"21,8";"";"";"99,8";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
