"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"19,3";"";"";"88,0";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,1"
"01/01/2025";"0100";"18,7";"";"";"90,2";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,1"
"01/01/2025";"0200";"18,2";"";"";"91,6";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,3"
"01/01/2025";"0300";"17,7";"";"";"93,1";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,1"
"01/01/2025";"0400";"17,5";"";"";"93,7";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,1"
"01/01/2025";"0500";"17,4";"";"";"95,4";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,1"
"01/01/2025";"0600";"18,0";"";"";"96,5";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,1"
"01/01/2025";"0700";"18,1";"";"";"96,6";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"01/01/2025";"0800";"18,2";"";"";"96,3";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,1"
"01/01/2025";"0900";"18,1";"";"";"95,8";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,1"
"01/01/2025";"1000";"19,3";"";"";"92,6";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,1"
"01/01/2025";"1100";"21,5";"";"";"77,8";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,1"
"01/01/2025";"1200";"23,6";"";"";"64,2";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,1"
"01/01/2025";"1300";"25,1";"";"";"58,8";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,3"
"01/01/2025";"1400";"25,9";"";"";"58,5";"";"";"";"";"";"";"";"";"2,2";"";"";"";"0,1"
"01/01/2025";"1500";"26,9";"";"";"54,3";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,1"
"01/01/2025";"1600";"27,8";"";"";"51,8";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,1"
"01/01/2025";"1700";"28,5";"";"";"49,9";"";"";"";"";"";"";"";"";"2,2";"";"";"";"0,3"
"01/01/2025";"1800";"28,8";"";"";"48,9";"";"";"";"";"";"";"";"";"2,2";"";"";"";"0,1"
"01/01/2025";"1900";"23,8";"";"";"66,5";"";"";"";"";"";"";"";"";"3,5";"";"";"";"0,1"
"01/01/2025";"2000";"20,9";"";"";"71,4";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,3"
"01/01/2025";"2100";"20,1";"";"";"69,9";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,1"
"01/01/2025";"2200";"19,2";"";"";"78,5";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,1"
"01/01/2025";"2300";"18,8";"";"";"84,2";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,1"
"02/01/2025";"0000";"18,5";"";"";"89,9";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,1"
"02/01/2025";"0100";"18,1";"";"";"92,0";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,1"
"02/01/2025";"0200";"18,2";"";"";"92,1";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"02/01/2025";"0300";"18,1";"";"";"93,7";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,1"
"02/01/2025";"0400";"18,0";"";"";"93,9";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,1"
"02/01/2025";"0500";"17,8";"";"";"95,0";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"02/01/2025";"0600";"18,1";"";"";"96,1";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,1"
"02/01/2025";"0700";"18,2";"";"";"96,9";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"02/01/2025";"0800";"18,1";"";"";"97,5";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,1"
"02/01/2025";"0900";"18,4";"";"";"98,2";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"1000";"19,1";"";"";"98,1";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,1"
"02/01/2025";"1100";"21,3";"";"";"79,1";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,1"
"02/01/2025";"1200";"23,0";"";"";"68,8";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"02/01/2025";"1300";"24,9";"";"";"63,8";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,1"
"02/01/2025";"1400";"26,2";"";"";"57,8";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,1"
"02/01/2025";"1500";"27,5";"";"";"50,2";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,1"
"02/01/2025";"1600";"27,9";"";"";"49,7";"";"";"";"";"";"";"";"";"2,9";"";"";"";"0,1"
"02/01/2025";"1700";"28,7";"";"";"48,8";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"02/01/2025";"1800";"29,0";"";"";"46,8";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,1"
"02/01/2025";"1900";"29,4";"";"";"45,7";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,1"
"02/01/2025";"2000";"29,7";"";"";"45,2";"";"";"";"";"";"";"";"";"2,4";"";"";"";"2,3"
"02/01/2025";"2100";"28,4";"";"";"49,9";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"02/01/2025";"2200";"26,6";"";"";"58,8";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"02/01/2025";"2300";"23,6";"";"";"69,1";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"03/01/2025";"0000";"22,2";"";"";"73,1";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"03/01/2025";"0100";"20,4";"";"";"84,8";"";"";"";"";"";"";"";"";"2,5";"";"";"";"2,5"
"03/01/2025";"0200";"19,1";"";"";"91,9";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"03/01/2025";"0300";"19,5";"";"";"89,7";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"03/01/2025";"0400";"19,9";"";"";"89,5";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"03/01/2025";"0500";"19,4";"";"";"92,3";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,1"
"03/01/2025";"0600";"18,7";"";"";"93,5";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"03/01/2025";"0700";"18,5";"";"";"94,6";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"03/01/2025";"0800";"18,2";"";"";"95,8";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"03/01/2025";"0900";"18,3";"";"";"96,4";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"03/01/2025";"1000";"19,0";"";"";"95,6";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"03/01/2025";"1100";"20,7";"";"";"85,7";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"03/01/2025";"1200";"21,5";"";"";"82,5";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"03/01/2025";"1300";"23,0";"";"";"76,6";"";"";"";"";"";"";"";"";"2,4";"";"";"";"0,0"
"03/01/2025";"1400";"24,8";"";"";"69,2";"";"";"";"";"";"";"";"";"2,4";"";"";"";"0,0"
"03/01/2025";"1500";"26,2";"";"";"64,7";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"03/01/2025";"1600";"26,9";"";"";"61,3";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"03/01/2025";"1700";"27,7";"";"";"57,7";"";"";"";"";"";"";"";"";"2,4";"";"";"";"0,0"
"03/01/2025";"1800";"28,0";"";"";"56,7";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"03/01/2025";"1900";"27,7";"";"";"58,5";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"03/01/2025";"2000";"26,2";"";"";"62,5";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"03/01/2025";"2100";"25,3";"";"";"68,1";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"03/01/2025";"2200";"25,1";"";"";"71,4";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
