"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"23,8";"";"";"67,8";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"01/01/2025";"0100";"23,4";"";"";"69,3";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"01/01/2025";"0200";"23,0";"";"";"70,9";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"0300";"22,7";"";"";"72,5";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"0400";"22,1";"";"";"75,1";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"0500";"21,4";"";"";"78,5";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"0600";"21,0";"";"";"80,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0700";"20,5";"";"";"81,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0800";"20,3";"";"";"83,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0900";"20,2";"";"";"83,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"21,8";"";"";"80,8";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"1100";"24,7";"";"";"65,0";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"1200";"26,0";"";"";"56,2";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"1300";"27,1";"";"";"53,5";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"1400";"28,8";"";"";"47,3";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"01/01/2025";"1500";"29,1";"";"";"47,9";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"01/01/2025";"1600";"30,3";"";"";"47,6";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"1700";"30,8";"";"";"45,2";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"1800";"31,7";"";"";"41,9";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"01/01/2025";"1900";"31,8";"";"";"40,2";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"2000";"31,9";"";"";"39,0";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"2100";"29,8";"";"";"43,5";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"2200";"27,0";"";"";"50,8";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"01/01/2025";"2300";"25,7";"";"";"55,6";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"02/01/2025";"0000";"25,1";"";"";"61,3";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"0100";"24,7";"";"";"63,3";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
