"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"21,9";"";"";"84,6";"";"";"";"";"";"";"";"";"5,9";"";"";"";"0,0"
"01/01/2025";"0100";"21,5";"";"";"86,1";"";"";"";"";"";"";"";"";"5,1";"";"";"";"0,0"
"01/01/2025";"0200";"21,1";"";"";"88,8";"";"";"";"";"";"";"";"";"3,5";"";"";"";"0,0"
"01/01/2025";"0300";"20,6";"";"";"92,1";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"01/01/2025";"0400";"19,9";"";"";"98,4";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"0500";"19,6";"";"";"100,0";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"01/01/2025";"0600";"19,5";"";"";"100,0";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"01/01/2025";"0700";"19,4";"";"";"100,0";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,0"
"01/01/2025";"0800";"19,3";"";"";"100,0";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"0900";"19,3";"";"";"100,0";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"1000";"21,1";"";"";"93,3";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"01/01/2025";"1100";"23,2";"";"";"81,2";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"1200";"24,1";"";"";"70,7";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"01/01/2025";"1300";"25,5";"";"";"65,3";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"01/01/2025";"1400";"26,8";"";"";"63,0";"";"";"";"";"";"";"";"";"2,3";"";"";"";"0,0"
"01/01/2025";"1500";"27,7";"";"";"60,3";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"01/01/2025";"1600";"28,2";"";"";"58,5";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"01/01/2025";"1700";"28,9";"";"";"55,9";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"01/01/2025";"1800";"29,8";"";"";"52,4";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"01/01/2025";"1900";"31,0";"";"";"47,5";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"01/01/2025";"2000";"29,4";"";"";"49,8";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"01/01/2025";"2100";"24,9";"";"";"59,9";"";"";"";"";"";"";"";"";"3,7";"";"";"";"0,0"
"01/01/2025";"2200";"23,9";"";"";"62,5";"";"";"";"";"";"";"";"";"4,2";"";"";"";"0,0"
"01/01/2025";"2300";"23,1";"";"";"66,5";"";"";"";"";"";"";"";"";"5,1";"";"";"";"0,0"
