"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"21,2";"";"";"83,6";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"0100";"20,7";"";"";"84,8";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"0200";"20,6";"";"";"85,2";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"01/01/2025";"0300";"20,2";"";"";"86,5";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"0400";"19,6";"";"";"88,9";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"01/01/2025";"0500";"19,2";"";"";"90,1";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"0600";"19,3";"";"";"89,1";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"0700";"19,5";"";"";"88,4";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"01/01/2025";"0800";"19,0";"";"";"89,9";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"01/01/2025";"0900";"18,7";"";"";"90,4";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"1000";"20,8";"";"";"83,6";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"1100";"22,3";"";"";"75,5";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"1200";"23,3";"";"";"72,0";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"01/01/2025";"1300";"25,9";"";"";"64,6";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"1400";"27,6";"";"";"59,1";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"1500";"28,5";"";"";"57,0";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"1600";"29,3";"";"";"54,1";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"1700";"29,6";"";"";"53,7";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"1800";"30,1";"";"";"51,5";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"1900";"30,9";"";"";"48,6";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"2000";"28,4";"";"";"54,1";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"2100";"24,8";"";"";"65,2";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"01/01/2025";"2200";"23,4";"";"";"73,6";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"01/01/2025";"2300";"22,7";"";"";"77,6";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"02/01/2025";"0000";"22,2";"";"";"79,6";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"02/01/2025";"0100";"21,7";"";"";"83,4";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"02/01/2025";"0200";"21,4";"";"";"85,3";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"02/01/2025";"0300";"21,1";"";"";"86,5";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"0400";"20,8";"";"";"86,8";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"02/01/2025";"0500";"20,4";"";"";"87,8";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"02/01/2025";"0600";"20,1";"";"";"87,3";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"02/01/2025";"0700";"20,2";"";"";"84,9";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"02/01/2025";"0800";"20,1";"";"";"87,3";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"02/01/2025";"0900";"19,8";"";"";"89,5";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"02/01/2025";"1000";"20,9";"";"";"83,3";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"02/01/2025";"1100";"22,1";"";"";"79,4";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"02/01/2025";"1200";"23,4";"";"";"74,5";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"02/01/2025";"1300";"26,0";"";"";"63,2";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"02/01/2025";"1400";"27,7";"";"";"57,8";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"1500";"28,8";"";"";"53,9";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"02/01/2025";"1600";"29,6";"";"";"53,9";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"02/01/2025";"1700";"29,5";"";"";"54,6";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"02/01/2025";"1800";"29,6";"";"";"54,3";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"1900";"29,7";"";"";"53,5";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"02/01/2025";"2000";"28,4";"";"";"58,9";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"02/01/2025";"2100";"27,1";"";"";"62,6";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"02/01/2025";"2200";"24,9";"";"";"69,6";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"02/01/2025";"2300";"20,9";"";"";"88,0";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"03/01/2025";"0000";"20,2";"";"";"92,5";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"03/01/2025";"0100";"20,3";"";"";"92,2";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"03/01/2025";"0200";"20,6";"";"";"90,2";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"03/01/2025";"0300";"20,5";"";"";"92,3";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"03/01/2025";"0400";"19,8";"";"";"94,6";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"03/01/2025";"0500";"19,4";"";"";"95,5";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"03/01/2025";"0600";"19,2";"";"";"95,0";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"03/01/2025";"0700";"19,2";"";"";"94,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"03/01/2025";"0800";"19,1";"";"";"95,6";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"03/01/2025";"0900";"19,1";"";"";"95,6";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"03/01/2025";"1000";"20,4";"";"";"92,3";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"03/01/2025";"1100";"21,6";"";"";"88,4";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"03/01/2025";"1200";"23,0";"";"";"83,8";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
