"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"23,7";"";"";"72,4";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"0100";"23,3";"";"";"73,2";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"0200";"22,7";"";"";"76,0";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"0300";"22,1";"";"";"78,0";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"01/01/2025";"0400";"21,6";"";"";"80,8";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0500";"21,2";"";"";"82,5";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"01/01/2025";"0600";"20,6";"";"";"85,2";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"0700";"20,4";"";"";"86,8";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"01/01/2025";"0800";"20,5";"";"";"86,3";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"01/01/2025";"0900";"20,3";"";"";"87,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"20,8";"";"";"85,5";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"1100";"23,4";"";"";"75,5";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"1200";"26,1";"";"";"63,2";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"1300";"27,9";"";"";"55,6";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
