"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"21,8";"";"";"79,3";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"01/01/2025";"0100";"21,1";"";"";"81,9";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0200";"20,7";"";"";"83,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0300";"20,3";"";"";"85,3";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"01/01/2025";"0400";"20,4";"";"";"85,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0500";"19,3";"";"";"91,2";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0600";"18,6";"";"";"93,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0700";"19,0";"";"";"92,1";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0800";"19,0";"";"";"92,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0900";"18,2";"";"";"94,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"19,9";"";"";"87,8";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"1100";"22,9";"";"";"73,8";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"01/01/2025";"1200";"24,5";"";"";"65,7";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"1300";"25,7";"";"";"61,2";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"1400";"26,9";"";"";"58,1";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"01/01/2025";"1500";"27,4";"";"";"56,5";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"1600";"28,4";"";"";"54,1";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"01/01/2025";"1700";"29,2";"";"";"52,4";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"01/01/2025";"1800";"30,0";"";"";"50,4";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"1900";"30,1";"";"";"48,2";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"2000";"30,4";"";"";"48,9";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"01/01/2025";"2100";"27,1";"";"";"53,5";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"2200";"24,7";"";"";"58,6";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"01/01/2025";"2300";"23,9";"";"";"63,7";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"02/01/2025";"0000";"23,2";"";"";"68,7";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"02/01/2025";"0100";"22,5";"";"";"75,7";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"02/01/2025";"0200";"21,9";"";"";"79,5";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"02/01/2025";"0300";"21,3";"";"";"82,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0400";"21,2";"";"";"82,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0500";"21,2";"";"";"80,7";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"02/01/2025";"0600";"20,6";"";"";"84,0";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"02/01/2025";"0700";"20,0";"";"";"90,7";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"02/01/2025";"0800";"19,7";"";"";"90,3";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"02/01/2025";"0900";"19,8";"";"";"84,8";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"02/01/2025";"1000";"20,5";"";"";"77,1";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"02/01/2025";"1100";"22,9";"";"";"71,1";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"02/01/2025";"1200";"24,2";"";"";"66,9";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"02/01/2025";"1300";"25,7";"";"";"63,3";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"02/01/2025";"1400";"26,9";"";"";"59,0";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"02/01/2025";"1500";"28,2";"";"";"56,5";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
