"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0300";"19,5";"";"";"95,0";"";"";"";"";"";"";"";"";"";"";"";"";"0,1"
"01/01/2022";"0400";"19,3";"";"";"95,5";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0500";"19,1";"";"";"95,9";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0600";"19,0";"";"";"96,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0700";"18,9";"";"";"96,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0800";"18,9";"";"";"95,7";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"0900";"19,2";"";"";"94,2";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1000";"20,2";"";"";"90,0";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1100";"22,7";"";"";"79,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1200";"24,1";"";"";"74,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1300";"24,6";"";"";"72,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1400";"25,4";"";"";"70,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1500";"26,3";"";"";"67,3";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1600";"27,6";"";"";"61,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1700";"27,3";"";"";"62,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1800";"27,1";"";"";"66,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"1900";"28,2";"";"";"57,7";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"2000";"28,4";"";"";"56,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"2100";"25,3";"";"";"69,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"2200";"23,9";"";"";"74,7";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"01/01/2022";"2300";"22,7";"";"";"81,3";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0000";"22,2";"";"";"85,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0100";"21,9";"";"";"84,9";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0200";"21,6";"";"";"86,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0300";"21,6";"";"";"86,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0400";"21,4";"";"";"87,9";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0500";"21,2";"";"";"88,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0600";"21,4";"";"";"87,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0700";"21,4";"";"";"89,1";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0800";"21,4";"";"";"88,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"0900";"21,3";"";"";"89,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1000";"21,8";"";"";"88,2";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1100";"23,6";"";"";"78,8";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1200";"25,0";"";"";"72,7";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1300";"26,4";"";"";"67,4";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1400";"28,1";"";"";"61,0";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1500";"28,6";"";"";"57,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1600";"29,5";"";"";"54,6";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1700";"29,3";"";"";"57,5";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
"02/01/2022";"1800";"29,2";"";"";"57,2";"";"";"";"";"";"";"";"";"";"";"";"";"0,0"
