"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"22,1";"";"";"87,6";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"0100";"21,2";"";"";"91,5";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0200";"20,7";"";"";"93,9";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0300";"20,1";"";"";"96,6";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"01/01/2025";"0400";"20,0";"";"";"94,7";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"0500";"19,7";"";"";"95,8";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0600";"19,2";"";"";"97,1";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"0700";"19,0";"";"";"97,7";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"0800";"18,8";"";"";"98,9";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0900";"18,7";"";"";"99,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"20,0";"";"";"93,1";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"01/01/2025";"1100";"22,7";"";"";"77,6";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"1200";"24,7";"";"";"67,3";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"1300";"26,7";"";"";"57,4";"";"";"";"";"";"";"";"";"1,1";"";"";"";"0,0"
"01/01/2025";"1400";"27,9";"";"";"54,6";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"01/01/2025";"1500";"29,2";"";"";"51,3";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"1600";"30,0";"";"";"48,6";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"1700";"31,3";"";"";"44,1";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"01/01/2025";"1800";"31,6";"";"";"44,0";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"01/01/2025";"1900";"29,5";"";"";"51,0";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,1"
"01/01/2025";"2000";"28,7";"";"";"48,9";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,1"
"01/01/2025";"2100";"25,7";"";"";"61,4";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"01/01/2025";"2200";"24,0";"";"";"66,3";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"2300";"23,2";"";"";"66,5";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"0000";"22,0";"";"";"74,1";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"02/01/2025";"0100";"20,8";"";"";"81,0";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"02/01/2025";"0200";"20,2";"";"";"87,0";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"0300";"19,8";"";"";"90,6";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"02/01/2025";"0400";"19,6";"";"";"92,6";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"02/01/2025";"0500";"19,2";"";"";"94,6";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"02/01/2025";"0600";"19,0";"";"";"97,6";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"02/01/2025";"0700";"18,8";"";"";"99,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0800";"18,8";"";"";"99,9";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"02/01/2025";"0900";"18,6";"";"";"100,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"1000";"19,4";"";"";"97,9";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"02/01/2025";"1100";"20,9";"";"";"90,0";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"02/01/2025";"1200";"24,2";"";"";"68,9";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"02/01/2025";"1300";"26,6";"";"";"57,3";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"02/01/2025";"1400";"28,5";"";"";"49,6";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"02/01/2025";"1500";"30,0";"";"";"44,2";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,0"
"02/01/2025";"1600";"31,3";"";"";"40,3";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"02/01/2025";"1700";"31,9";"";"";"40,7";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"02/01/2025";"1800";"32,0";"";"";"41,8";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"02/01/2025";"1900";"31,5";"";"";"45,4";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"02/01/2025";"2000";"29,6";"";"";"57,6";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"02/01/2025";"2100";"28,0";"";"";"53,6";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"02/01/2025";"2200";"26,5";"";"";"62,5";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"02/01/2025";"2300";"25,8";"";"";"64,6";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"03/01/2025";"0000";"24,7";"";"";"76,4";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"03/01/2025";"0100";"22,1";"";"";"89,1";"";"";"";"";"";"";"";"";"1,3";"";"";"";"2,3"
"03/01/2025";"0200";"21,2";"";"";"96,2";"";"";"";"";"";"";"";"";"1,0";"";"";"";"0,0"
"03/01/2025";"0300";"21,1";"";"";"98,5";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,1"
"03/01/2025";"0400";"21,0";"";"";"99,7";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"03/01/2025";"0500";"20,9";"";"";"100,0";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"03/01/2025";"0600";"20,7";"";"";"100,0";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"03/01/2025";"0700";"20,7";"";"";"100,0";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
