"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"21,4";"";"";"92,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0100";"21,0";"";"";"92,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0200";"20,8";"";"";"93,6";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"01/01/2023";"0300";"20,6";"";"";"93,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0400";"20,1";"";"";"93,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0500";"19,7";"";"";"93,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0600";"19,5";"";"";"93,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0700";"19,5";"";"";"93,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"0800";"19,3";"";"";"94,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,2"
"01/01/2023";"0900";"19,2";"";"";"93,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1000";"19,8";"";"";"92,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2023";"1100";"23,5";"";"";"77,6";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"01/01/2023";"1200";"24,8";"";"";"71,7";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2023";"1300";"25,8";"";"";"69,6";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"01/01/2023";"1400";"27,6";"";"";"62,8";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
