Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/01/2025;0000;22,4;;;73,0;;;;;;;;;0,7;;;;0,0
01/01/2025;0100;21,9;;;74,0;;;;;;;;;0,4;;;;0,0
01/01/2025;0200;20,9;;;78,1;;;;;;;;;0,1;;;;0,0
01/01/2025;0300;20,6;;;80,1;;;;;;;;;0,1;;;;0,0
01/01/2025;0400;20,4;;;81,8;;;;;;;;;0,1;;;;0,0
01/01/2025;0500;20,0;;;84,1;;;;;;;;;0,1;;;;0,0
01/01/2025;0600;19,5;;;86,9;;;;;;;;;0,1;;;;0,0
01/01/2025;0700;19,0;;;89,9;;;;;;;;;0,0;;;;0,0
01/01/2025;0800;19,0;;;90,7;;;;;;;;;0,0;;;;0,0
01/01/2025;0900;19,0;;;91,3;;;;;;;;;0,0;;;;0,0
01/01/2025;1000;20,0;;;85,8;;;;;;;;;0,1;;;;0,0
01/01/2025;1100;23,2;;;72,9;;;;;;;;;0,3;;;;0,0
01/01/2025;1200;25,4;;;63,8;;;;;;;;;0,5;;;;0,0
01/01/2025;1300;26,3;;;58,8;;;;;;;;;1,0;;;;0,0
01/01/2025;1400;27,4;;;55,2;;;;;;;;;1,1;;;;0,0
01/01/2025;1500;28,5;;;53,2;;;;;;;;;1,0;;;;0,0
01/01/2025;1600;29,3;;;51,1;;;;;;;;;1,1;;;;0,0
01/01/2025;1700;29,8;;;49,6;;;;;;;;;1,2;;;;0,0
01/01/2025;1800;30,8;;;46,6;;;;;;;;;1,0;;;;0,0
01/01/2025;1900;30,2;;;47,6;;;;;;;;;0,5;;;;0,0
01/01/2025;2000;26,8;;;55,2;;;;;;;;;1,5;;;;2,4
01/01/2025;2100;20,8;;;81,5;;;;;;;;;0,7;;;;0,6
01/01/2025;2200;20,7;;;82,9;;;;;;;;;0,5;;;;0,0
01/01/2025;2300;20,5;;;85,5;;;;;;;;;0,1;;;;0,0
01/02/2025;0000;23,7;;;82,2;;;;;;;;;0,9;;;;0,0
01/02/2025;0100;21,2;;;87,4;;;;;;;;;1,3;;;;16,4
01/02/2025;0200;19,5;;;95,6;;;;;;;;;0,3;;;;19,0
