Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%);Status_Interp (Temp/Umi);Salto Temp. Ins. (C);Salto Umi. Ins. (%);Cabreuva Temp. Ins. (C);Cabreuva Umi. Ins. (%);Porto Feliz Temp. Ins. (C);Porto Feliz Umi. Ins. (%)
01/01/2025;0000;22,4;73,0;;21,8;79,3;23,1;76,8;23,7;72,4
01/01/2025;0100;21,9;74,0;;21,1;81,9;22,7;75,7;23,3;73,2
01/01/2025;0200;20,9;78,1;;20,7;83,8;22,1;82,1;22,7;76,0
01/01/2025;0300;20,6;80,1;;20,3;85,3;20,9;83,8;22,1;78,0
01/01/2025;0400;20,4;81,8;;20,4;85,8;20,6;86,3;21,6;80,8
01/01/2025;0500;20,0;84,1;;19,3;91,2;20,4;86,5;21,2;82,5
01/01/2025;0600;19,5;86,9;;18,6;93,4;19,7;88,7;20,6;85,2
01/01/2025;0700;19,0;89,9;;19,0;92,1;19,2;89,8;20,4;86,8
01/01/2025;0800;19,0;90,7;;19,0;92,4;19,0;90,3;20,5;86,3
01/01/2025;0900;19,0;91,3;;18,2;94,5;18,8;90,6;20,3;87,9
01/01/2025;1000;20,0;85,8;;19,9;87,8;21,1;81,0;20,8;85,5
01/01/2025;1100;23,2;72,9;;22,9;73,8;25,5;65,5;23,4;75,5
01/01/2025;1200;25,4;63,8;;24,5;65,7;26,7;63,1;26,1;63,2
01/01/2025;1300;26,3;58,8;;25,7;61,2;27,7;59,1;27,9;55,6
01/01/2025;1400;27,4;55,2;;26,9;58,1;;;28,9;51,6
01/01/2025;1500;28,5;53,2;;27,4;56,5;30,5;53,4;29,8;49,4
01/01/2025;1600;29,3;51,1;;28,4;54,1;30,0;52,3;30,3;48,5
01/01/2025;1700;29,8;49,6;;29,2;52,4;31,7;49,6;31,1;46,7
01/01/2025;1800;30,8;46,6;;30,0;50,4;31,9;47,7;32,3;43,8
01/01/2025;1900;30,2;47,6;;30,1;48,2;32,3;44,7;32,7;42,3
01/01/2025;2000;26,8;55,2;;30,4;48,9;30,2;55,4;31,9;45,3
01/01/2025;2100;20,8;81,5;;27,1;53,5;26,8;61,2;30,2;48,7
01/01/2025;2200;20,7;82,9;;24,7;58,6;25,5;67,9;26,2;55,6
01/01/2025;2300;20,5;85,5;;23,9;63,7;25,2;67,8;24,8;60,6
01/02/2025;0000;23,7;82,2;;23,3;84,2;;;25,4;74,7
01/02/2025;0100;21,2;87,4;;22,7;90,6;;;24,9;76,6
01/02/2025;0200;19,5;95,6;;21,2;94,2;;;23,0;77,8
01/02/2025;0300;19,8;96,6;;20,0;97,2;;;22,1;81,4
01/02/2025;0400;20,0;96,6;;19,8;97,4;;;22,0;81,6
01/02/2025;0500;20,1;97,0;;19,8;98,7;;;21,9;86,3
01/02/2025;0600;20,1;96,9;;19,8;99,1;;;21,6;89,5
01/02/2025;0700;20,2;96,6;;20,0;99,1;;;22,0;91,5
01/02/2025;0800;20,3;97,2;;20,3;99,1;;;21,9;94,0
01/02/2025;0900;20,5;97,6;;20,5;98,8;;;22,0;94,2
01/02/2025;1000;20,9;98,0;;20,5;97,7;;;22,2;92,7
01/02/2025;1100;21,5;96,0;;20,6;97,9;;;23,0;87,2
01/02/2025;1200;22,3;89,3;;21,5;94,1;;;23,8;80,8
01/02/2025;1300;22,9;84,3;;22,7;87,5;;;25,3;73,1
01/02/2025;1400;24,0;77,5;;23,8;82,3;;;26,0;69,0
01/02/2025;1500;25,5;70,5;;24,1;79,7;;;27,3;64,9
01/02/2025;1600;26,6;67,0;;25,5;74,7;;;27,5;66,2
01/02/2025;1700;24,0;84,6;;22,1;89,7;;;27,4;67,7
01/02/2025;1800;25,3;78,3;;22,7;91,3;;;28,0;63,3
01/02/2025;1900;25,5;77,7;;24,4;83,8;;;29,1;57,4
01/02/2025;2000;26,1;72,1;;25,0;80,8;;;28,8;59,4
01/02/2025;2100;22,8;81,2;;25,1;79,2;;;28,0;63,2
01/02/2025;2200;21,7;92,1;;24,3;83,8;;;25,0;78,9
01/02/2025;2300;21,5;92,7;;22,8;83,6;;;21,2;96,3
01/03/2025;0000;24,6;69,6;;21,3;94,0;24,3;81,8;24,5;72,6
01/03/2025;0100;24,2;72,0;;21,5;94,2;24,3;81,1;24,4;74,7
01/03/2025;0200;23,3;74,4;;21,5;91,2;24,2;77,7;24,5;75,3
01/03/2025;0300;23,3;72,8;;21,6;89,3;24,1;75,4;24,0;78,1
01/03/2025;0400;22,8;72,0;;21,5;87,8;24,3;79,4;23,8;78,1
01/03/2025;0500;22,6;73,7;;21,1;86,7;22,8;84,4;23,5;79,6
01/03/2025;0600;22,5;74,8;;20,9;87,6;22,3;85,9;23,0;81,1
01/03/2025;0700;22,1;77,7;;20,5;92,0;21,8;87,8;22,7;81,8
01/03/2025;0800;21,9;80,2;;20,0;94,4;21,1;89,6;22,2;83,6
01/03/2025;0900;22,0;79,4;;20,7;89,0;21,0;90,2;21,9;86,2
01/03/2025;1000;22,1;79,1;;21,4;84,8;21,1;90,4;21,9;87,2
01/03/2025;1100;24,0;71,8;;23,3;77,8;23,9;70,6;24,0;78,7
01/03/2025;1200;26,9;60,9;;25,8;67,4;27,8;60,3;26,7;67,3
01/03/2025;1300;28,7;52,0;;27,6;58,7;28,7;57,8;29,0;57,1
01/03/2025;1400;30,0;47,7;;29,0;48,6;29,6;56,3;31,3;43,9
01/03/2025;1500;30,8;44,3;;30,0;44,4;30,7;52,5;32,5;37,3
01/03/2025;1600;31,5;40,6;;30,8;40,0;32,5;47,0;33,3;35,0
01/03/2025;1700;32,6;39,0;;31,7;39,0;32,4;47,6;33,6;33,3
01/03/2025;1800;33,1;37,1;;32,0;37,9;32,9;44,4;34,1;31,4
01/03/2025;1900;33,3;36,2;;32,5;39,2;33,6;42,9;34,4;32,4
01/03/2025;2000;33,2;37,0;;32,4;38,5;32,9;45,1;34,6;32,6
01/03/2025;2100;30,4;49,7;;32,0;40,2;31,3;61,9;34,8;32,7
01/03/2025;2200;27,4;61,0;;28,8;59,0;28,8;70,4;31,9;44,7
01/03/2025;2300;26,8;60,5;;26,6;67,9;27,0;70,5;28,7;58,7
01/04/2025;0000;22,2;78,1;;21,4;89,1;21,8;91,6;23,8;78,8
01/04/2025;0100;21,8;79,7;;20,8;93,3;21,7;91,8;23,8;80,0
01/04/2025;0200;21,6;80,2;;20,9;92,8;21,6;91,9;23,6;79,5
01/04/2025;0300;21,6;80,1;;20,6;94,6;21,3;92,0;23,1;81,8
01/04/2025;0400;21,5;80,4;;20,1;95,9;20,9;92,1;22,4;85,5
01/04/2025;0500;21,3;81,9;;20,3;94,5;20,6;92,0;22,2;87,7
01/04/2025;0600;21,0;84,0;;20,1;94,6;20,6;92,0;22,2;87,2
01/04/2025;0700;20,7;86,1;;20,0;94,5;20,5;91,9;22,2;87,3
01/04/2025;0800;20,6;87,3;;19,7;95,2;20,3;91,7;21,6;91,1
01/04/2025;0900;20,6;87,3;;19,4;96,2;20,0;91,7;21,2;92,1
01/04/2025;1000;20,2;89,3;;19,1;97,0;19,9;91,6;21,2;91,9
01/04/2025;1100;21,4;82,7;;20,3;94,0;23,2;77,2;22,6;84,6
01/04/2025;1200;25,0;67,9;;23,7;74,9;25,6;72,2;23,9;77,4
01/04/2025;1300;26,2;63,6;;25,1;69,8;26,9;70,4;25,9;68,6
01/04/2025;1400;27,6;59,1;;26,7;62,8;27,2;68,3;27,8;60,6
