Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%);Status_Int.;Salto Temp. Ins. (C);Salto Umi. Ins. (%);Cabreuva Temp. Ins. (C);Cabreuva Umi. Ins. (%);Porto Feliz Temp. Ins. (C);Porto Feliz Umi. Ins. (%);
14/10/2025;0000;20,2;85,4;;18,9;87,7;19,6;88,4;20,4;93,1;
14/10/2025;0100;19,7;90,4;;18,5;89,2;19,4;89,2;20,0;96,1;
14/10/2025;0200;19,7;90,8;;18,4;91,8;19,4;89,8;19,8;98,4;
14/10/2025;0300;20,0;88,1;;18,7;91,3;19,3;90,3;20,0;98,9;
14/10/2025;0400;19,9;90,8;;18,9;92,0;;;20,3;96,6;
14/10/2025;0500;20,0;92,3;;18,9;92,6;19,9;90,7;20,2;99,0;
14/10/2025;0600;19,9;94,3;;18,9;93,1;20,0;91,0;20,4;100,0;
14/10/2025;0700;19,6;96,6;;18,9;93,5;20,0;90,9;20,3;100,0;
14/10/2025;0800;19,1;99,1;;18,9;93,9;20,1;90,9;20,2;100,0;
14/10/2025;0900;19,2;99,7;;19,0;93,9;20,2;91,1;20,2;100,0;
14/10/2025;1000;20,1;91,8;;19,4;93,5;20,4;90,1;20,5;100,0;
14/10/2025;1100;21,3;79,4;;20,1;90,1;22,1;77,4;21,2;96,0;
14/10/2025;1200;23,5;68,2;;20,4;84,9;;;23,2;75,7;
14/10/2025;1300;24,6;60,6;;22,9;72,6;;;25,1;64,8;
14/10/2025;1400;25,1;56,5;;25,5;58,6;;;26,2;56,8;
14/10/2025;1500;26,4;52,1;;26,1;55,3;;;27,4;52,1;
14/10/2025;1600;26,9;50,1;;27,2;50,2;;;28,5;48,2;
14/10/2025;1700;27,5;47,5;;28,5;43,7;28,5;53,3;29,2;45,7;
14/10/2025;1800;27,6;46,8;;29,1;40,5;29,0;49,9;30,1;42,1;
14/10/2025;1900;27,1;49,1;;29,4;41,3;28,8;49,3;31,1;38,4;
14/10/2025;2000;26,6;48,4;;28,2;43,4;27,1;53,4;29,4;43,9;
14/10/2025;2100;24,2;52,7;;25,4;47,3;24,2;60,8;27,0;48,5;
14/10/2025;2200;21,4;60,3;;21,7;56,8;21,3;70,0;23,8;54,7;
14/10/2025;2300;19,7;67,7;;19,8;64,2;19,8;76,7;21,6;62,1;
15/10/2025;0000;19,3;70,1;;19,2;69,9;19,4;77,6;20,5;66,3;
15/10/2025;0100;19,2;71,8;;18,8;72,4;19,1;81,0;20,3;68,0;
15/10/2025;0200;18,9;69,4;;18,6;74,4;18,9;78,1;20,0;70,4;
15/10/2025;0300;18,4;69,4;;18,5;69,7;18,7;74,4;19,7;68,6;
15/10/2025;0400;18,0;70,5;;18,0;68,3;18,2;75,7;19,2;68,1;
15/10/2025;0500;17,5;70,6;;17,5;70,8;18,0;77,5;18,7;68,6;
15/10/2025;0600;17,3;67,5;;17,2;71,9;17,6;79,3;18,3;71,1;
15/10/2025;0700;17,4;65,5;;16,8;74,6;17,4;79,5;17,9;71,8;
15/10/2025;0800;16,6;69,5;;16,1;77,6;17,3;80,4;17,4;73,1;
15/10/2025;0900;16,79;78,19;Interpolado;15,9;78,9;17,2;80,4;17,1;76,4;
15/10/2025;1000;17,39;75,66;Interpolado;16,5;78,1;18,3;73,1;17,4;75,7;
15/10/2025;1100;20,05;66,78;Interpolado;19,5;67,5;21,5;64,2;19,5;67,9;
15/10/2025;1200;22,63;58,5;Interpolado;22,4;56,9;23,4;60,8;22,3;58,1;
