Data;Hora (UTC);Temp. Ins. (C);Vizinhos Usados Temp (0-3);Umi. Ins. (%);Vizinhos Usados Umi (0-3);Salto Temp. Ins. (C);Salto Umi. Ins. (%);Cabreuva Temp. Ins. (C);Cabreuva Umi. Ins. (%)
17/10/2025;900;18,15;3;80,14;3;16,9;78,2;18,7;72,9
15/10/2025;1500;27,85;3;46,01;3;27,5;44,6;27,8;51,4
18/10/2025;1400;23,01;3;84,35;3;22,2;78,9;23,7;80,7
19/10/2025;400;16,94;3;75,19;3;16,3;76,9;16,2;78,5
20/10/2025;900;12,33;3;75,76;3;11,2;76,7;12,7;76,2
20/10/2025;2100;18,71;2;43,23;2;17,6;46,0;;
17/10/2025;100;23,78;3;59,06;3;22,5;58,1;24,4;54,6
19/10/2025;2200;15,08;3;67,89;3;14,1;66,0;14,4;76,0
20/10/2025;1100;15,38;3;57,72;3;14,8;53,7;15,6;59,1
17/10/2025;200;22,94;3;59,78;3;22,3;54,1;23,0;61,8
21/10/2025;2000;23,0;3;42,18;3;22,4;39,6;21,8;56,2
20/10/2025;1300;18,65;3;47,19;3;18,3;45,0;18,1;53,5
20/10/2025;1900;21,09;3;40,66;3;20,8;39,0;19,9;49,8
16/10/2025;1900;33,74;3;30,53;3;32,8;28,2;33,3;35,9
16/10/2025;400;18,38;3;80,89;3;17,6;80,7;18,5;83,2
21/10/2025;1300;19,89;3;39,12;3;19,8;35,6;19,3;42,6
19/10/2025;500;16,18;3;74,86;3;15,3;74,3;15,1;79,3
19/10/2025;1400;18,5;3;63,44;3;18,2;60,7;18,3;65,0
21/10/2025;1600;23,4;3;32,48;3;23,1;28,2;22,4;41,9
16/10/2025;2000;33,5;3;30,6;3;32,5;29,1;32,9;37,2
21/10/2025;900;11,48;2;70,38;2;10,5;72,9;;
19/10/2025;1700;20,02;3;57,87;3;19,4;56,5;19,2;65,9
17/10/2025;2000;34,25;3;30,92;3;32,9;29,9;33,6;37,7
21/10/2025;2200;18,24;3;58,36;3;17,0;58,7;17,3;68,4
17/10/2025;1700;34,89;3;29,18;3;33,4;28,5;35,1;33,1
21/10/2025;500;12,84;2;67,11;2;11,3;65,2;;
17/10/2025;1100;22,9;3;62,68;3;21,3;64,6;27,3;49,6
20/10/2025;600;12,25;3;78,33;3;10,8;80,8;12,5;77,5
15/10/2025;1400;26,23;3;49,16;3;25,9;47,3;26,3;54,9
19/10/2025;300;18,1;2;75,45;2;17,3;78,4;;
20/10/2025;400;12,78;3;75,84;3;11,7;76,8;12,7;76,4
17/10/2025;0;24,5;3;58,38;3;23,2;56,5;24,2;55,7
15/10/2025;2000;28,49;3;48,14;3;27,8;46,2;26,4;61,3
16/10/2025;2200;28,13;3;52,28;3;27,2;52,0;26,2;62,5
21/10/2025;1100;15,61;3;57,9;3;15,4;52,4;16,0;58,8
22/10/2025;100;15,48;3;67,58;3;14,7;64,3;14,6;74,0
22/10/2025;500;13,85;3;70,4;3;12,5;71,4;13,5;74,6
17/10/2025;800;18,73;3;77,73;3;17,7;75,1;19,5;69,2
15/10/2025;1600;29,16;3;43,82;3;28,8;41,9;28,8;50,4
16/10/2025;2300;25,62;3;59,08;3;24,4;57,5;24,6;61,8
17/10/2025;2100;32,4;3;36,76;3;31,6;32,4;32,4;42,3
21/10/2025;700;12,32;2;64,58;2;11,4;63,6;;
16/10/2025;300;18,6;3;80,25;3;17,8;80,1;18,6;83,1
20/10/2025;0;13,9;3;73,63;3;12,9;72,9;13,3;79,0
22/10/2025;1200;19,31;3;49,61;3;18,8;46,7;19,2;53,1
22/10/2025;900;13,01;3;72,25;3;11,6;73,4;13,5;69,2
22/10/2025;400;14,27;3;68,78;3;13,2;68,1;13,7;74,5
18/10/2025;0;23,75;3;79,66;3;22,8;77,6;24,0;83,0
21/10/2025;1400;21,48;3;35,06;3;21,2;31,4;20,6;42,8
17/10/2025;1200;26,35;3;48,96;3;24,4;52,5;29,4;45,1
17/10/2025;1500;33,27;3;32,98;3;31,9;33,3;33,3;35,9
19/10/2025;200;18,35;3;81,89;3;17,3;85,3;18,2;85,1
18/10/2025;1200;21,94;3;87,76;3;21,3;85,2;20,7;91,3
19/10/2025;1300;17,47;3;67,8;3;16,9;68,4;16,7;71,1
19/10/2025;0;19,54;3;95,86;3;18,7;99,1;19,5;85,8
15/10/2025;1100;20,05;3;66,78;3;19,5;67,5;21,5;64,2
17/10/2025;300;22,11;3;59,0;3;20,8;62,1;22,5;52,4
21/10/2025;400;13,35;2;68,18;2;12,0;66,4;;
20/10/2025;800;12,27;3;77,1;3;11,2;77,7;12,5;77,3
20/10/2025;1000;13,53;3;66,74;3;12,6;67,4;13,7;63,2
20/10/2025;700;12,17;3;79,22;3;10,9;81,7;12,6;78,2
19/10/2025;800;14,73;3;72,08;3;13,8;71,9;14,1;76,8
18/10/2025;2200;19,68;3;95,55;3;18,7;97,4;19,5;86,4
16/10/2025;1200;24,22;3;61,01;3;23,4;61,3;25,9;60,4
21/10/2025;200;14,24;2;67,52;2;13,5;65,0;;
21/10/2025;1900;24,42;3;32,19;3;24,1;27,6;23,3;42,9
18/10/2025;1500;22,64;3;88,88;3;21,7;85,1;23,5;84,4
18/10/2025;500;19,99;3;96,5;3;19,4;96,3;20,9;91,0
15/10/2025;1000;17,39;3;75,66;3;16,5;78,1;18,3;73,1
17/10/2025;2200;28,87;3;52,07;3;29,0;43,4;29,0;63,0
17/10/2025;700;19,24;3;76,14;3;18,0;76,2;20,1;67,5
