"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"22,7";"";"";"83,3";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"01/01/2025";"0100";"21,9";"";"";"87,6";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,0"
"01/01/2025";"0200";"21,3";"";"";"90,5";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"0300";"20,8";"";"";"92,0";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"01/01/2025";"0400";"20,6";"";"";"92,1";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,0"
"01/01/2025";"0500";"20,2";"";"";"93,6";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"01/01/2025";"0600";"19,7";"";"";"95,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0700";"19,4";"";"";"96,7";"";"";"";"";"";"";"";"";"0,1";"";"";"";"0,0"
"01/01/2025";"0800";"19,4";"";"";"97,6";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"01/01/2025";"0900";"19,3";"";"";"98,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"1000";"20,7";"";"";"95,2";"";"";"";"";"";"";"";"";"0,2";"";"";"";"0,0"
"01/01/2025";"1100";"23,1";"";"";"83,9";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"01/01/2025";"1200";"25,0";"";"";"75,6";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"1300";"26,7";"";"";"67,0";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"01/01/2025";"1400";"28,0";"";"";"62,8";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"01/01/2025";"1500";"28,8";"";"";"61,2";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"01/01/2025";"1600";"29,6";"";"";"59,5";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"01/01/2025";"1700";"30,8";"";"";"56,3";"";"";"";"";"";"";"";"";"1,2";"";"";"";"0,0"
"01/01/2025";"1800";"30,0";"";"";"57,9";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"1900";"29,5";"";"";"60,4";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"2000";"29,7";"";"";"58,0";"";"";"";"";"";"";"";"";"0,3";"";"";"";"0,0"
"01/01/2025";"2100";"30,2";"";"";"55,8";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"01/01/2025";"2200";"27,7";"";"";"64,8";"";"";"";"";"";"";"";"";"0,9";"";"";"";"0,0"
"01/01/2025";"2300";"24,4";"";"";"68,2";"";"";"";"";"";"";"";"";"3,3";"";"";"";"0,0"
"02/01/2025";"0000";"22,9";"";"";"71,7";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"02/01/2025";"0100";"22,5";"";"";"75,3";"";"";"";"";"";"";"";"";"3,0";"";"";"";"0,0"
"02/01/2025";"0200";"22,0";"";"";"80,7";"";"";"";"";"";"";"";"";"3,0";"";"";"";"0,0"
"02/01/2025";"0300";"21,3";"";"";"86,9";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"02/01/2025";"0400";"21,0";"";"";"87,6";"";"";"";"";"";"";"";"";"0,7";"";"";"";"0,0"
"02/01/2025";"0500";"20,5";"";"";"88,8";"";"";"";"";"";"";"";"";"0,6";"";"";"";"0,0"
"02/01/2025";"0600";"20,2";"";"";"90,6";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"02/01/2025";"0700";"20,4";"";"";"90,2";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"02/01/2025";"0800";"19,4";"";"";"94,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"02/01/2025";"0900";"19,0";"";"";"98,4";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"02/01/2025";"1000";"20,4";"";"";"93,9";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"02/01/2025";"1100";"22,6";"";"";"82,1";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"02/01/2025";"1200";"24,8";"";"";"74,4";"";"";"";"";"";"";"";"";"1,6";"";"";"";"0,0"
"02/01/2025";"1300";"26,6";"";"";"68,4";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
