"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"20,4";"";"";"86,9";"";"";"";"";"";"";"";"";"3,3";"";"";"";"0,0"
"01/01/2025";"0100";"19,7";"";"";"85,1";"";"";"";"";"";"";"";"";"3,3";"";"";"";"0,0"
"01/01/2025";"0200";"19,1";"";"";"83,9";"";"";"";"";"";"";"";"";"4,8";"";"";"";"0,0"
"01/01/2025";"0300";"18,7";"";"";"85,4";"";"";"";"";"";"";"";"";"5,4";"";"";"";"0,0"
"01/01/2025";"0400";"18,8";"";"";"85,9";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"01/01/2025";"0500";"18,1";"";"";"83,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0600";"17,9";"";"";"83,3";"";"";"";"";"";"";"";"";"0,4";"";"";"";"0,0"
"01/01/2025";"0700";"17,7";"";"";"81,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"0800";"17,5";"";"";"81,5";"";"";"";"";"";"";"";"";"0,8";"";"";"";"0,0"
"01/01/2025";"0900";"17,5";"";"";"81,1";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"01/01/2025";"1000";"18,2";"";"";"83,1";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"1100";"19,8";"";"";"85,7";"";"";"";"";"";"";"";"";"2,4";"";"";"";"0,0"
"01/01/2025";"1200";"22,0";"";"";"80,9";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"01/01/2025";"1300";"23,6";"";"";"78,2";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,0"
"01/01/2025";"1400";"24,4";"";"";"75,3";"";"";"";"";"";"";"";"";"1,4";"";"";"";"0,0"
"01/01/2025";"1500";"26,1";"";"";"68,6";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"1600";"26,7";"";"";"65,5";"";"";"";"";"";"";"";"";"2,0";"";"";"";"0,0"
"01/01/2025";"1700";"26,6";"";"";"68,7";"";"";"";"";"";"";"";"";"1,3";"";"";"";"0,0"
"01/01/2025";"1800";"23,0";"";"";"84,9";"";"";"";"";"";"";"";"";"5,7";"";"";"";"7,1"
"01/01/2025";"1900";"17,0";"";"";"85,7";"";"";"";"";"";"";"";"";"4,6";"";"";"";"15,4"
"01/01/2025";"2000";"18,1";"";"";"79,2";"";"";"";"";"";"";"";"";"2,2";"";"";"";"0,2"
"01/01/2025";"2100";"24,3";"";"";"64,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2200";"23,6";"";"";"58,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"01/01/2025";"2300";"22,9";"";"";"75,4";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"02/01/2025";"0000";"21,3";"";"";"79,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
